ma_s,ma_m,tre,tp,dw,win,ret,sharpe,sortino,dd,trades,ts
288,1152,10,10,0.4,y25,117.76,1.73,2.1,16.6,566,2026-08-30 00-00
288,1152,3,10,0.4,y25,30.05,0.24,0.19,79.2,425,2026-08-30 00-01
288,1152,10,10,0.4,y26,42.44,1.23,1.56,22.8,306,2026-08-30 00-01
288,2304,6,10,0.4,y26,41.86,1.19,1.53,20.7,300,2026-08-30 00-01
288,1152,3,10,0.4,y26,46.18,1.3,1.62,17.2,312,2026-08-30 00-02
384,1152,6,10,0.4,y25,-25.08,-0.15,-0.13,95.9,209,2026-08-30 00-05
384,1152,6,10,0.4,y26,31.93,0.8,0.84,22.4,312,2026-08-30 00-08
288,1440,6,10,0.4,y25,-12.08,-0.08,-0.07,96.0,258,2026-08-30 00-14
288,1152,6,10,0.4,y25,119.97,1.79,2.14,26.0,594,2026-08-30 00-14
288,1440,6,10,0.4,y26,41.15,1.19,1.53,20.5,306,2026-08-30 00-15
288,1152,6,10,0.4,y26,41.48,1.19,1.55,22.8,306,2026-08-30 00-15
144,1152,6,10,0.4,y25,-5.48,-0.04,-0.03,95.5,289,2026-08-30 00-18
144,1152,6,10,0.4,y26,32.99,0.86,1.1,23.0,240,2026-08-30 00-19
192,1152,6,10,0.4,y25,41.96,0.36,0.28,81.8,470,2026-08-30 00-19
192,1152,6,10,0.4,y26,42.48,1.2,1.56,17.1,300,2026-08-30 00-20
288,2304,6,10,0.4,y25,20.77,0.13,0.11,94.2,218,2026-08-30 00-22
288,576,6,10,0.4,y25,-21.02,-0.15,-0.13,96.0,263,2026-08-30 00-23
288,576,6,10,0.4,y26,22.51,0.61,0.8,20.6,240,2026-08-30 00-23
288,864,6,10,0.4,y25,-28.61,-0.17,-0.15,95.3,195,2026-08-30 00-24
288,864,6,10,0.4,y26,21.4,0.56,0.75,22.7,228,2026-08-30 00-26
288,1152,6,10,0.25,y25,31.68,0.24,0.19,80.1,402,2026-08-30 00-29
288,1152,6,10,0.6,y26,31.83,0.78,0.84,19.1,306,2026-08-30 00-30
288,1152,6,15,0.4,y25,-14.73,-0.1,-0.08,95.9,274,2026-08-30 00-30
288,1152,6,5,0.4,y25,32.45,0.26,0.2,84.1,437,2026-08-30 00-31
288,1152,6,10,0.25,y26,21.82,0.49,0.53,22.7,252,2026-08-30 00-32
288,1152,6,15,0.4,y26,46.17,1.41,1.79,18.2,348,2026-08-30 00-32
288,1152,6,5,0.4,y26,25.75,0.69,0.73,18.6,330,2026-08-30 00-33
288,576,6,10,0.4,y25,-21.02,,,-21.02,263,log
288,576,6,10,0.4,y26,22.51,,,-20.6,240,log
288,1152,6,10,0.6,y25,-8.04,,,-94.85,248,log
