ma_s,ma_m,tre,tp,dw,ret,sharpe,dd,trades
144,1152,6,10,0.4,5.91,0.05,95.5,289
192,1152,6,10,0.4,53.22,0.51,81.8,470
288,576,6,10,0.4,-9.76,-0.08,95.98,263
288,864,6,10,0.4,-16.62,-0.11,95.33,195
288,1152,3,10,0.4,41.95,0.38,79.2,425
288,1152,6,5,0.4,43.63,0.39,84.1,437
288,1152,6,10,0.25,43.07,0.37,80.1,402
288,1152,6,10,0.4,131.97,2.24,26.0,594
288,1152,6,10,0.6,3.95,0.03,94.9,248
288,1152,6,15,0.4,-2.73,-0.02,95.9,274
288,1152,10,10,0.4,129.69,2.17,16.6,566
288,1440,6,10,0.4,-0.09,-0.0,96.0,258
288,2304,6,10,0.4,-18.73,-0.12,94.8,176
384,1152,6,10,0.4,-13.48,-0.09,95.9,209
