seg,picks
20250701-20250801,"ETC_USDT_USDT,LINK_USDT_USDT,AAVE_USDT_USDT,DOGE_USDT_USDT,AVAX_USDT_USDT"
20250801-20250901,"LINK_USDT_USDT,AAVE_USDT_USDT,ETC_USDT_USDT,DOGE_USDT_USDT,1000SHIB_USDT_USDT"
20250901-20251001,"LINK_USDT_USDT,AAVE_USDT_USDT,DOGE_USDT_USDT,FIL_USDT_USDT,1000SHIB_USDT_USDT"
20251001-20251101,"LINK_USDT_USDT,1000SHIB_USDT_USDT,ADA_USDT_USDT,DOGE_USDT_USDT,GALA_USDT_USDT"
20251101-20251201,"LINK_USDT_USDT,ADA_USDT_USDT,SOL_USDT_USDT,AVAX_USDT_USDT,DOGE_USDT_USDT"
20251201-20260101,"LINK_USDT_USDT,ADA_USDT_USDT,SOL_USDT_USDT,AVAX_USDT_USDT,DOGE_USDT_USDT"
20260101-20260201,"SOL_USDT_USDT,LINK_USDT_USDT,ADA_USDT_USDT,ONDO_USDT_USDT,ARB_USDT_USDT"
20260201-20260301,"SOL_USDT_USDT,LINK_USDT_USDT,ADA_USDT_USDT,DOGE_USDT_USDT,ARB_USDT_USDT"
20260301-20260401,"SOL_USDT_USDT,LINK_USDT_USDT,AAVE_USDT_USDT,XRP_USDT_USDT,ADA_USDT_USDT"
20260401-20260501,"SOL_USDT_USDT,LINK_USDT_USDT,XRP_USDT_USDT,AVAX_USDT_USDT,AAVE_USDT_USDT"
20260501-20260601,"LINK_USDT_USDT,SOL_USDT_USDT,BNB_USDT_USDT,AVAX_USDT_USDT,ONDO_USDT_USDT"
20260601-20260701,"LINK_USDT_USDT,SOL_USDT_USDT,BNB_USDT_USDT,AVAX_USDT_USDT,XRP_USDT_USDT"
20260701-20260801,"LINK_USDT_USDT,SOL_USDT_USDT,BNB_USDT_USDT,AVAX_USDT_USDT,XRP_USDT_USDT"
20260801-20260901,"LINK_USDT_USDT,SOL_USDT_USDT,BNB_USDT_USDT,AVAX_USDT_USDT,XRP_USDT_USDT"
