W,X,H,lag,side,DEV:n,DEV:mean_bp,DEV:pf,DEV:t,DEV:sum_pct,VALID-C:n,VALID-C:mean_bp,VALID-C:pf,VALID-C:t,VALID-C:sum_pct,PASS
1,0.04,4,0,L,696,110.3,2.09,1.96,767.7,76,-51.6,0.56,-0.73,-39.2,False
1,0.04,4,0,S,646,-33.0,0.84,-0.45,-213.0,152,206.6,4.96,2.27,314.0,False
1,0.04,4,1,L,349,40.3,1.38,0.81,140.5,47,-65.7,0.42,-0.89,-30.9,False
1,0.04,4,1,S,214,-71.7,0.67,-1.09,-153.5,59,204.8,8.41,1.68,120.8,False
1,0.04,24,0,L,544,191.6,1.74,1.25,1042.5,76,-220.8,0.33,-1.3,-167.8,False
1,0.04,24,0,S,494,-248.7,0.5,-1.64,-1228.5,133,-27.1,0.91,-0.13,-36.1,False
1,0.04,24,1,L,282,70.6,1.24,0.44,199.0,47,-339.7,0.24,-1.25,-159.7,False
1,0.04,24,1,S,175,-343.9,0.4,-1.64,-601.8,42,282.9,2.34,0.71,118.8,False
1,0.08,4,0,L,114,39.7,1.39,0.55,45.3,38,-172.2,0.05,-15.59,-65.4,False
1,0.08,4,0,S,38,-127.0,0.52,-0.33,-48.3,0,,,,,False
1,0.08,4,1,L,88,72.7,1.87,0.95,63.9,28,-150.8,0.07,-2.22,-42.2,False
1,0.08,4,1,S,19,250.4,17.64,0.89,47.6,0,,,,,False
1,0.08,24,0,L,95,137.7,1.64,0.58,130.8,38,-374.0,0.2,-1.19,-142.1,False
1,0.08,24,0,S,38,-1805.2,0.02,-1.01,-686.0,0,,,,,False
1,0.08,24,1,L,69,193.9,2.37,1.42,133.8,28,-464.3,0.16,-0.99,-130.0,False
1,0.08,24,1,S,19,-212.8,0.24,-1.21,-40.4,0,,,,,False
4,0.04,4,0,L,2777,-6.9,0.96,-0.27,-191.8,456,-17.0,0.87,-0.35,-77.6,False
4,0.04,4,0,S,2551,9.7,1.07,0.32,247.8,589,16.9,1.17,0.5,99.7,False
4,0.04,4,1,L,1218,9.5,1.08,0.4,115.4,234,0.2,1.0,0.0,0.5,False
4,0.04,4,1,S,807,11.7,1.09,0.42,94.8,214,24.8,1.33,0.99,53.0,False
4,0.04,24,0,L,1770,-79.8,0.8,-1.07,-1413.0,380,-214.8,0.4,-3.36,-816.2,False
4,0.04,24,0,S,1590,88.1,1.32,1.25,1401.3,456,-120.3,0.58,-1.71,-548.4,False
4,0.04,24,1,L,844,-108.2,0.71,-1.38,-912.8,210,-175.7,0.48,-2.2,-368.9,False
4,0.04,24,1,S,639,5.6,1.02,0.05,35.5,168,-26.5,0.9,-0.25,-44.5,False
4,0.08,4,0,L,449,131.5,2.5,1.93,590.6,57,10.5,1.07,0.06,6.0,False
4,0.08,4,0,S,361,-201.3,0.32,-2.65,-726.9,114,-105.2,0.37,-1.66,-119.9,False
4,0.08,4,1,L,288,62.1,1.63,1.05,178.8,39,-36.3,0.75,-0.3,-14.2,False
4,0.08,4,1,S,103,-109.0,0.44,-1.98,-112.3,45,-60.7,0.53,-1.0,-27.3,False
4,0.08,24,0,L,316,144.5,1.46,0.76,456.5,57,-239.7,0.37,-1.06,-136.6,False
4,0.08,24,0,S,304,-492.8,0.24,-2.89,-1498.0,114,-187.8,0.51,-0.98,-214.1,False
4,0.08,24,1,L,192,100.1,1.31,0.49,192.1,39,-412.2,0.18,-1.32,-160.8,False
4,0.08,24,1,S,99,-361.1,0.37,-1.74,-357.5,45,39.7,1.13,0.12,17.9,False
