L,N,form,DEV:weekly_mean_bp,DEV:t_med,DEV:pf_med,DEV:sum_pct,DEV:offsets_pos,DEV:weeks,VALID-C:weekly_mean_bp,VALID-C:t_med,VALID-C:pf_med,VALID-C:sum_pct,VALID-C:offsets_pos,VALID-C:weeks,PASS
7,1,long,-472.4,-1.44,0.53,-178.4,1,37,-467.7,-0.65,0.63,-60.3,0,12,False
7,1,ls,-206.2,-0.25,0.87,-78.0,3,37,-120.1,-0.24,0.82,-15.5,3,12,False
7,2,long,-403.2,-1.6,0.52,-152.4,0,37,-424.7,-1.17,0.43,-54.5,0,12,False
7,2,ls,-166.9,-0.98,0.64,-63.1,2,37,-154.4,-0.6,0.52,-19.9,1,12,False
14,1,long,-501.5,-1.96,0.44,-184.9,0,36,-810.6,-1.34,0.36,-104.4,0,12,False
14,1,ls,-81.4,-0.06,0.98,-30.2,3,36,-268.4,-0.9,0.52,-34.5,0,12,False
14,2,long,-455.0,-1.45,0.55,-167.3,0,36,-680.0,-2.24,0.2,-87.2,0,12,False
14,2,ls,-208.1,-1.01,0.58,-76.4,0,36,-252.2,-1.39,0.37,-32.2,1,12,False
28,1,long,-300.8,-0.98,0.66,-104.6,0,34,-675.2,-1.01,0.44,-86.6,1,12,False
28,1,ls,117.8,0.68,1.38,41.1,6,34,-244.3,-0.53,0.64,-31.3,1,12,False
28,2,long,-260.1,-1.0,0.64,-90.8,0,34,-598.0,-1.51,0.34,-76.8,0,12,False
28,2,ls,21.4,0.24,1.11,7.4,4,34,-173.4,-0.56,0.67,-22.3,0,12,False
