cfg,DEV:n,DEV:per_day,DEV:mean_bp,DEV:pf,DEV:t_w,DEV:sum_pct,DEV:hold_d,DEV:stop_share,DEV:worst_pct,VALID-C:n,VALID-C:per_day,VALID-C:mean_bp,VALID-C:pf,VALID-C:t_w,VALID-C:sum_pct,VALID-C:hold_d,VALID-C:stop_share,VALID-C:worst_pct,PASS
A_S_F0.10%_raw_CH5,426,0.4,1440,2.52,-0.37,6134,54.8,0.46,-20,7,0.08,1324.0,2.34,0.88,93.0,59.9,0.57,-20.0,False
A_S_F0.10%_raw_CH7,409,0.38,1471,2.37,-0.91,6018,61.5,0.56,-25,7,0.08,1040.0,2.05,0.6,73.0,62.1,0.57,-20.0,False
A_S_F0.10%_raw_MAX,451,0.42,1068,2.25,-0.84,4815,38.9,0.42,-20,7,0.08,386.0,1.57,0.79,27.0,31.3,0.29,-20.0,False
A_S_F0.10%_conf_CH5,47,0.04,1729,3.1,1.31,813,57.1,0.38,-20,5,0.06,308.0,1.28,-0.37,15.0,52.0,0.6,-20.0,False
A_S_F0.10%_conf_CH7,47,0.04,1703,2.78,1.02,800,64.5,0.49,-20,5,0.06,-169.0,0.85,-0.76,-8.0,55.2,0.6,-20.0,False
A_S_F0.10%_conf_MAX,49,0.05,1364,3.56,1.29,668,39.5,0.18,-20,5,0.06,64.0,1.07,-0.41,3.0,29.4,0.4,-20.0,False
A_S_F0.20%_raw_CH5,130,0.12,192,1.15,1.44,250,36.3,0.65,-20,5,0.06,-1809.0,0.0,-21.33,-90.0,10.6,1.0,-20.0,False
A_S_F0.20%_raw_CH7,129,0.12,269,1.2,1.25,347,40.0,0.72,-20,5,0.06,-1809.0,0.0,-21.33,-90.0,10.6,1.0,-20.0,False
A_S_F0.20%_raw_MAX,135,0.13,9,1.01,1.36,12,27.0,0.62,-20,6,0.07,-1297.0,0.19,-2.11,-78.0,8.5,0.83,-20.0,False
A_S_F0.20%_conf_CH5,17,0.02,2114,4.16,2.4,359,64.6,0.24,-20,2,,,,,,,,,False
A_S_F0.20%_conf_CH7,17,0.02,1734,2.79,1.95,295,69.6,0.53,-20,2,,,,,,,,,False
A_S_F0.20%_conf_MAX,17,0.02,2083,5.4,2.45,354,56.7,0.12,-20,2,,,,,,,,,False
A_L_F0.10%_raw_CH5,291,0.27,426,1.35,0.88,1239,31.4,0.6,-23,74,0.82,-772.0,0.4,-3.7,-571.0,31.4,0.64,-21.0,False
A_L_F0.10%_raw_CH7,276,0.26,418,1.31,0.69,1154,38.2,0.71,-28,74,0.82,-612.0,0.55,-2.99,-453.0,36.5,0.77,-21.0,False
A_L_F0.10%_raw_MAX,302,0.28,239,1.22,0.42,720,23.9,0.51,-22,80,0.89,-419.0,0.6,-2.23,-335.0,27.5,0.56,-21.0,False
A_L_F0.10%_conf_CH5,101,0.09,636,1.51,0.86,642,27.8,0.61,-23,6,0.07,-20.0,0.98,-0.31,-1.0,15.3,0.67,-19.0,False
A_L_F0.10%_conf_CH7,100,0.09,553,1.39,0.9,553,35.8,0.7,-28,6,0.07,-33.0,0.97,-0.32,-2.0,17.3,0.67,-19.0,False
A_L_F0.10%_conf_MAX,104,0.1,482,1.49,0.75,501,20.2,0.38,-22,6,0.07,-264.0,0.78,-0.71,-16.0,15.2,0.5,-17.0,False
A_L_F0.20%_raw_CH5,162,0.15,48,1.04,-0.34,78,25.8,0.62,-22,54,0.6,-948.0,0.27,-3.52,-512.0,22.9,0.63,-21.0,False
A_L_F0.20%_raw_CH7,158,0.15,148,1.11,0.07,234,35.6,0.72,-23,53,0.59,-1159.0,0.2,-4.68,-614.0,27.2,0.87,-21.0,False
A_L_F0.20%_raw_MAX,172,0.16,175,1.16,0.16,301,20.0,0.56,-22,57,0.63,-649.0,0.38,-2.78,-370.0,23.8,0.6,-20.0,False
A_L_F0.20%_conf_CH5,61,0.06,682,1.57,0.6,416,23.4,0.62,-22,8,0.09,-489.0,0.66,-1.08,-39.0,14.4,0.75,-20.0,False
A_L_F0.20%_conf_CH7,59,0.06,906,1.69,0.88,534,34.6,0.71,-22,8,0.09,-499.0,0.65,-1.1,-40.0,15.9,0.75,-20.0,False
A_L_F0.20%_conf_MAX,62,0.06,853,1.85,0.77,529,15.6,0.48,-22,8,0.09,-409.0,0.63,-1.32,-33.0,12.1,0.38,-17.0,False
B_S_raw_CH5,307,1.12,725,1.78,0.31,2224,49.1,0.43,-33,89,0.99,569.0,1.58,0.35,506.0,66.5,0.44,-29.0,False
B_S_raw_CH7,291,1.07,863,1.8,0.33,2511,62.9,0.51,-33,83,0.92,626.0,1.61,0.47,520.0,77.1,0.46,-29.0,False
B_S_raw_MAX,411,1.51,562,1.86,0.79,2309,35.7,0.27,-26,94,1.04,629.0,2.0,0.09,592.0,43.1,0.21,-28.0,False
B_S_conf_CH5,170,0.62,552,1.55,0.32,939,38.8,0.46,-26,76,0.84,8.0,1.01,0.56,6.0,60.3,0.55,-28.0,False
B_S_conf_CH7,165,0.6,784,1.69,0.62,1294,56.9,0.55,-29,70,0.78,99.0,1.08,0.74,69.0,67.0,0.57,-28.0,False
B_S_conf_MAX,183,0.67,73,1.1,0.37,133,27.7,0.24,-26,75,0.83,30.0,1.04,-0.06,22.0,37.1,0.29,-28.0,False
B_L_raw_CH5,448,1.64,-394,0.72,-1.02,-1763,28.8,0.65,-24,130,1.44,-1273.0,0.1,-8.7,-1655.0,34.8,0.56,-21.0,False
B_L_raw_CH7,429,1.57,-663,0.57,-2.51,-2846,35.3,0.74,-24,126,1.4,-1607.0,0.06,-11.82,-2025.0,38.2,0.81,-21.0,False
B_L_raw_MAX,470,1.72,-265,0.78,-1.25,-1244,21.9,0.55,-24,130,1.44,-796.0,0.22,-4.11,-1034.0,26.2,0.45,-21.0,False
B_L_conf_CH5,175,0.64,-477,0.66,-0.78,-835,28.0,0.63,-24,29,0.32,-1289.0,0.16,-2.18,-374.0,24.2,0.72,-20.0,False
B_L_conf_CH7,174,0.64,-840,0.46,-2.83,-1462,34.5,0.75,-24,29,0.32,-1411.0,0.14,-2.83,-409.0,25.7,0.86,-21.0,False
B_L_conf_MAX,184,0.67,-459,0.62,-0.88,-845,21.0,0.48,-24,30,0.33,-919.0,0.14,-4.93,-276.0,10.7,0.37,-20.0,False
