cfg,univ,DEV:n,DEV:per_day,DEV:mean_bp,DEV:pf,DEV:t_week,DEV:adj_bp,DEV:weeks_pos,DEV:hold_d,VALID-C:n,VALID-C:per_day,VALID-C:mean_bp,VALID-C:pf,VALID-C:t_week,VALID-C:adj_bp,VALID-C:weeks_pos,VALID-C:hold_d
L_10/30_V1.5_M3,U162,925,0.87,553.6,1.65,-0.89,-55.9,0.34,20.8,97,1.08,-1219.2,0.16,-2.63,-403.3,0.25,13.3
L_10/30_V1.5_M3,ZEC,11,0.01,1375.6,2.68,0.72,1239.5,0.27,23.8,0,,,,,,,
S_10/30_V1.5_M3,U162,401,0.38,206.1,1.2,-0.6,45.8,0.43,29.6,31,0.34,2146.5,5.5,0.88,-75.0,0.5,49.0
S_10/30_V1.5_M3,ZEC,4,,,,,,,,1,,,,,,,
L_10/30_V1.5_M4,U162,866,0.81,825.0,1.74,0.52,82.3,0.41,32.6,96,1.07,-1783.8,0.11,-2.43,-381.1,0.25,19.2
L_10/30_V1.5_M4,ZEC,10,0.01,5596.5,8.77,1.12,4136.3,0.6,42.2,0,,,,,,,
S_10/30_V1.5_M4,U162,384,0.36,158.9,1.13,-0.63,116.8,0.42,37.4,31,0.34,2125.8,4.13,0.57,-218.0,0.5,54.1
S_10/30_V1.5_M4,ZEC,4,,,,,,,,1,,,,,,,
L_10/30_V2.0_M3,U162,596,0.56,708.8,1.84,0.41,-8.2,0.4,19.8,62,0.69,-1136.5,0.2,-2.99,-443.9,0.17,11.6
L_10/30_V2.0_M3,ZEC,9,0.01,1930.3,3.56,0.84,1616.1,0.33,25.7,0,,,,,,,
S_10/30_V2.0_M3,U162,168,0.16,1.2,1.0,-0.11,186.8,0.47,30.0,18,0.2,1743.4,3.59,0.3,-309.9,0.4,50.5
S_10/30_V2.0_M3,ZEC,2,,,,,,,,0,,,,,,,
L_10/30_V2.0_M4,U162,570,0.54,1193.5,2.12,0.94,177.7,0.42,32.2,61,0.68,-1803.2,0.11,-2.77,-601.6,0.08,16.9
L_10/30_V2.0_M4,ZEC,9,0.01,6440.7,12.15,1.17,4763.4,0.67,45.8,0,,,,,,,
S_10/30_V2.0_M4,U162,165,0.15,2.0,1.0,-0.08,277.5,0.44,39.0,17,0.19,1426.2,2.45,-0.04,-578.5,0.4,53.6
S_10/30_V2.0_M4,ZEC,2,,,,,,,,0,,,,,,,
L_20/50_V1.5_M3,U162,571,0.54,673.0,1.78,1.25,161.5,0.36,19.2,18,0.2,-1006.0,0.28,-0.41,120.3,0.29,13.3
L_20/50_V1.5_M3,ZEC,5,0.0,1124.1,5.71,1.25,-689.6,0.6,40.6,0,,,,,,,
S_20/50_V1.5_M3,U162,233,0.22,41.2,1.04,-0.05,139.3,0.42,31.4,7,0.08,1116.1,6.79,1.54,-668.1,0.67,33.0
S_20/50_V1.5_M3,ZEC,4,,,,,,,,0,,,,,,,
L_20/50_V1.5_M4,U162,556,0.52,988.7,1.9,1.42,340.0,0.37,31.5,18,0.2,-1593.2,0.08,-1.65,78.3,0.14,17.9
L_20/50_V1.5_M4,ZEC,5,0.0,2016.4,10.22,1.58,-1719.5,0.6,53.2,0,,,,,,,
S_20/50_V1.5_M4,U162,228,0.21,-48.8,0.96,-0.33,101.0,0.42,39.7,7,0.08,823.9,2.69,1.51,-877.6,0.67,39.4
S_20/50_V1.5_M4,ZEC,4,,,,,,,,0,,,,,,,
L_20/50_V2.0_M3,U162,357,0.34,914.8,2.12,1.68,265.0,0.4,18.2,14,0.16,-1036.3,0.33,-0.37,-21.9,0.33,10.9
L_20/50_V2.0_M3,ZEC,3,,,,,,,,0,,,,,,,
S_20/50_V2.0_M3,U162,113,0.11,-113.3,0.9,-0.24,203.2,0.38,32.3,1,,,,,,,
S_20/50_V2.0_M3,ZEC,3,,,,,,,,0,,,,,,,
L_20/50_V2.0_M4,U162,352,0.33,1318.2,2.27,1.54,514.1,0.35,30.3,14,0.16,-1698.8,0.09,-1.57,-126.5,0.17,15.4
L_20/50_V2.0_M4,ZEC,3,,,,,,,,0,,,,,,,
S_20/50_V2.0_M4,U162,111,0.1,-119.6,0.91,-0.61,173.8,0.41,40.5,1,,,,,,,
S_20/50_V2.0_M4,ZEC,3,,,,,,,,0,,,,,,,
