cfg,side,DEV:n,DEV:per_day,DEV:mean_bp,DEV:pf,DEV:t_w,DEV:sum_pct,DEV:hold_d,DEV:stop_share,VALID-C:n,VALID-C:per_day,VALID-C:mean_bp,VALID-C:pf,VALID-C:t_w,VALID-C:sum_pct,VALID-C:hold_d,VALID-C:stop_share,PASS
H1_MAX,S,54,0.2,1475,2.56,1.11,797,33.8,0.46,11,0.12,-232,0.82,0.17,-26,20.1,0.64,False
H1_CH7,S,48,0.18,1711,2.59,1.46,821,54.9,0.54,12,0.13,-377,0.73,0.16,-45,34.3,0.75,False
H1_D10,S,62,0.23,555,1.61,0.65,344,6.4,0.45,16,0.18,-272,0.76,-0.44,-44,5.7,0.56,False
H2_MAX,S,267,0.98,1558,3.33,1.53,4159,47.0,0.29,34,0.38,94,1.08,-0.0,32,34.8,0.56,False
H2_CH7,S,235,0.86,1741,3.06,1.45,4091,72.0,0.42,26,0.29,464,1.38,0.69,121,54.3,0.62,False
H2_D10,S,367,1.34,610,2.09,-0.3,2240,8.2,0.26,59,0.66,473,1.91,1.61,279,8.6,0.24,False
H3_MAX,L,173,0.63,53,1.05,-2.0,91,22.3,0.47,66,0.73,-1007,0.2,-2.61,-665,23.1,0.56,False
H3_CH7,L,158,0.58,-246,0.82,-3.4,-389,36.8,0.68,65,0.72,-1351,0.16,-2.6,-878,31.6,0.85,False
H3_D10,L,207,0.76,232,1.28,0.05,480,8.2,0.31,73,0.81,-319,0.6,-0.07,-233,8.5,0.27,False
H4S_MAX,S,77,0.28,253,1.29,0.51,195,34.1,0.35,64,0.71,378,1.53,-0.05,242,40.0,0.27,False
H4S_CH7,S,71,0.26,472,1.4,-0.04,335,58.4,0.55,59,0.66,208,1.18,0.06,123,70.2,0.56,False
H4S_D10,S,91,0.33,-49,0.93,0.47,-44,8.3,0.3,82,0.91,351,1.72,0.2,288,8.6,0.2,False
H4L_MAX,L,181,0.66,-329,0.69,-1.42,-595,20.5,0.36,61,0.68,-864,0.14,-3.15,-527,23.0,0.43,False
H4L_CH7,L,160,0.59,-818,0.5,-3.05,-1309,38.1,0.76,57,0.63,-1589,0.06,-13.99,-906,35.2,0.88,False
H4L_D10,L,210,0.77,119,1.17,-0.64,249,8.7,0.25,62,0.69,-343,0.58,-0.52,-213,8.8,0.24,False
H5_MAX,L,517,1.89,-1064,0.33,-1.35,-5500,12.7,0.73,72,0.8,-1197,0.2,-4.98,-862,18.7,0.74,False
H5_CH7,L,501,1.84,-1353,0.26,-3.07,-6781,18.4,0.91,69,0.77,-1475,0.14,-6.09,-1018,21.2,0.88,False
H5_D10,L,582,2.13,-497,0.55,-0.1,-2890,7.0,0.47,72,0.8,-981,0.23,-2.31,-706,6.8,0.56,False
REF_B_S_MAX,S,411,1.51,562,1.86,0.79,2309,35.7,0.27,94,1.04,629,2.0,0.09,592,43.1,0.21,False
REF_B_S_CH7,S,291,1.07,863,1.8,0.33,2511,62.9,0.51,83,0.92,626,1.61,0.47,520,77.1,0.46,False
REF_B_S_D10,S,512,1.88,208,1.39,0.94,1066,8.7,0.21,126,1.4,83,1.16,0.56,104,8.6,0.21,False
