W,X,H,lag,side,DEV:n,DEV:mean_bp,DEV:pf,DEV:t,DEV:sum_pct,VALID-C:n,VALID-C:mean_bp,VALID-C:pf,VALID-C:t,VALID-C:sum_pct,PASS
1,0.04,4,0,L,357,177.3,2.93,1.66,632.8,26,-280.0,0.0,,-72.8,False
1,0.04,4,0,S,514,144.5,2.03,1.22,743.0,130,64.1,1.54,0.39,83.4,False
1,0.04,4,1,L,140,11.2,1.09,0.15,15.6,3,,,,,False
1,0.04,4,1,S,52,209.6,2.45,0.81,109.0,10,26.3,1.29,0.19,2.6,False
1,0.04,24,0,L,279,187.1,1.78,1.07,522.1,26,-562.1,0.0,,-146.1,False
1,0.04,24,0,S,464,19.1,1.05,0.1,88.6,130,-216.5,0.27,-1.13,-281.4,False
1,0.04,24,1,L,124,103.3,1.37,0.42,128.0,3,,,,,False
1,0.04,24,1,S,51,-290.0,0.5,-1.23,-147.9,10,-98.3,0.11,-0.95,-9.8,False
1,0.08,4,0,L,77,176.5,3.31,1.08,135.9,0,,,,,False
1,0.08,4,0,S,26,-166.8,0.3,,-43.4,0,,,,,False
1,0.08,4,1,L,27,-2.0,0.98,-0.03,-0.5,0,,,,,False
1,0.08,4,1,S,0,,,,,0,,,,,False
1,0.08,24,0,L,77,-161.3,0.61,-0.63,-124.2,0,,,,,False
1,0.08,24,0,S,26,-2364.5,0.0,,-614.8,0,,,,,False
1,0.08,24,1,L,27,124.4,1.49,0.25,33.6,0,,,,,False
1,0.08,24,1,S,0,,,,,0,,,,,False
4,0.04,4,0,L,1879,-4.1,0.97,-0.11,-76.9,468,-21.6,0.8,-0.48,-101.0,False
4,0.04,4,0,S,2189,10.9,1.07,0.25,238.0,494,33.3,1.4,0.74,164.5,False
4,0.04,4,1,L,628,2.6,1.02,0.06,16.5,128,45.0,1.74,1.16,57.6,False
4,0.04,4,1,S,392,22.2,1.12,0.36,87.2,64,-15.8,0.8,-0.5,-10.1,False
4,0.04,24,0,L,1364,2.0,1.01,0.02,27.4,390,-103.2,0.55,-1.14,-402.6,False
4,0.04,24,0,S,1340,83.8,1.28,0.87,1123.0,416,-183.9,0.37,-1.75,-765.0,False
4,0.04,24,1,L,520,-66.6,0.81,-0.73,-346.4,103,-36.6,0.79,-0.38,-37.7,False
4,0.04,24,1,S,338,-189.6,0.63,-1.31,-640.8,58,-105.4,0.34,-1.45,-61.1,False
4,0.08,4,0,L,233,145.6,2.58,1.32,339.4,0,,,,,False
4,0.08,4,0,S,255,11.9,1.07,0.1,30.4,0,,,,,False
4,0.08,4,1,L,74,-53.3,0.62,-0.86,-39.5,0,,,,,False
4,0.08,4,1,S,26,-222.7,0.37,-1.37,-57.9,0,,,,,False
4,0.08,24,0,L,207,6.2,1.02,0.05,12.8,0,,,,,False
4,0.08,24,0,S,229,-364.3,0.38,-1.51,-834.2,0,,,,,False
4,0.08,24,1,L,73,-92.9,0.7,-0.53,-67.8,0,,,,,False
4,0.08,24,1,S,26,-770.0,0.22,-1.52,-200.2,0,,,,,False
