L,N,form,DEV:weekly_mean_bp,DEV:t_med,DEV:pf_med,DEV:sum_pct,DEV:offsets_pos,DEV:weeks,VALID-C:weekly_mean_bp,VALID-C:t_med,VALID-C:pf_med,VALID-C:sum_pct,VALID-C:offsets_pos,VALID-C:weeks,PASS
7,1,long,489.4,0.75,1.44,185.5,7,37,-295.4,-0.94,0.43,-37.9,1,12,False
7,1,ls,570.1,2.28,2.85,215.9,7,37,-16.2,-0.31,0.8,-2.1,3,12,False
7,2,long,221.6,0.47,1.27,84.1,7,37,-334.1,-1.07,0.44,-43.0,0,12,False
7,2,ls,254.1,1.51,1.84,96.3,7,37,-1.8,0.16,1.12,-0.3,4,12,False
14,1,long,187.3,0.26,1.12,68.9,7,36,-436.8,-1.54,0.26,-56.1,0,12,False
14,1,ls,244.7,1.38,1.87,90.0,6,36,-207.4,-1.32,0.37,-26.9,0,12,False
14,2,long,173.2,0.31,1.15,63.5,6,36,-386.2,-1.28,0.39,-49.6,0,12,False
14,2,ls,139.9,0.5,1.32,51.3,6,36,-136.0,-0.71,0.59,-17.6,0,12,False
28,1,long,345.0,0.97,1.52,120.4,7,34,-394.3,-1.42,0.19,-50.7,0,12,False
28,1,ls,438.0,1.93,2.66,152.7,7,34,-134.7,-1.08,0.43,-17.4,0,12,False
28,2,long,205.2,0.61,1.33,71.5,7,34,-393.9,-1.36,0.37,-50.6,0,12,False
28,2,ls,153.5,1.13,1.72,53.5,6,34,-105.9,-0.96,0.48,-13.7,0,12,False
