W,X,H,lag,side,DEV:n,DEV:mean_bp,DEV:pf,DEV:t,DEV:sum_pct,VALID-C:n,VALID-C:mean_bp,VALID-C:pf,VALID-C:t,VALID-C:sum_pct,PASS
1,0.04,4,0,L,115,41.7,1.54,0.72,47.9,85,7.7,1.07,0.15,6.5,False
1,0.04,4,0,S,85,68.0,1.83,0.73,57.8,80,35.8,1.38,0.63,28.6,False
1,0.04,4,1,L,81,5.2,1.07,0.17,4.2,64,0.8,1.01,0.02,0.5,False
1,0.04,4,1,S,59,-30.9,0.62,-0.95,-18.2,61,56.5,1.68,0.93,34.5,False
1,0.04,24,0,L,100,126.4,1.63,0.98,126.4,75,-121.6,0.53,-1.34,-91.2,False
1,0.04,24,0,S,75,-261.2,0.21,-2.6,-195.9,70,-138.3,0.49,-1.27,-96.8,False
1,0.04,24,1,L,75,174.9,2.17,1.47,131.2,54,-84.6,0.65,-0.82,-45.7,False
1,0.04,24,1,S,49,-280.8,0.19,-2.1,-137.6,54,-24.5,0.86,-0.25,-13.2,False
1,0.08,4,0,L,15,82.4,3.67,1.17,12.4,5,-371.9,0.0,,-18.6,False
1,0.08,4,0,S,10,-122.0,0.31,-0.61,-12.2,10,107.5,4.93,0.75,10.8,False
1,0.08,4,1,L,11,0.3,1.01,0.02,0.0,2,,,,,False
1,0.08,4,1,S,5,79.0,3.52,,4.0,6,56.1,2.23,0.48,3.4,False
1,0.08,24,0,L,15,399.9,5.47,1.15,60.0,5,-170.3,0.15,,-8.5,False
1,0.08,24,0,S,10,-1188.4,0.0,-2.01,-118.8,10,-65.1,0.67,-0.23,-6.5,False
1,0.08,24,1,L,11,348.3,3.86,0.75,38.3,2,,,,,False
1,0.08,24,1,S,5,-596.1,0.0,,-29.8,6,-180.2,0.38,-0.45,-10.8,False
4,0.04,4,0,L,490,2.1,1.03,0.11,10.2,265,-5.0,0.94,-0.2,-13.2,False
4,0.04,4,0,S,405,17.7,1.2,0.57,71.9,280,-33.8,0.71,-0.99,-94.6,False
4,0.04,4,1,L,343,-4.8,0.93,-0.27,-16.3,203,-11.3,0.87,-0.46,-22.8,False
4,0.04,4,1,S,213,11.8,1.16,0.45,25.1,173,-29.8,0.74,-0.81,-51.6,False
4,0.04,24,0,L,340,44.8,1.28,0.94,152.4,155,0.4,1.0,0.01,0.7,False
4,0.04,24,0,S,280,-40.5,0.82,-0.63,-113.5,180,-102.3,0.69,-0.89,-184.2,False
4,0.04,24,1,L,252,63.3,1.45,1.3,159.6,128,53.0,1.29,0.62,67.8,False
4,0.04,24,1,S,153,14.6,1.08,0.17,22.3,125,-22.0,0.91,-0.23,-27.5,False
4,0.08,4,0,L,75,47.5,1.73,1.25,35.6,60,-0.9,0.99,-0.01,-0.6,False
4,0.08,4,0,S,25,-36.9,0.68,-0.43,-9.2,25,141.9,5.59,1.33,35.5,False
4,0.08,4,1,L,64,88.1,3.12,1.78,56.4,49,15.7,1.19,0.25,7.7,False
4,0.08,4,1,S,13,-38.0,0.62,-0.48,-4.9,20,151.4,7.6,1.21,30.3,False
4,0.08,24,0,L,60,227.9,3.34,2.03,136.8,55,-123.1,0.52,-1.03,-67.7,False
4,0.08,24,0,S,20,-143.7,0.45,-0.66,-28.7,25,7.8,1.04,0.05,2.0,False
4,0.08,24,1,L,55,216.3,3.44,1.85,118.9,44,-155.4,0.42,-1.28,-68.4,False
4,0.08,24,1,S,12,-402.5,0.05,-1.61,-48.3,20,14.9,1.08,0.07,3.0,False
