L,N,form,DEV:weekly_mean_bp,DEV:t_med,DEV:pf_med,DEV:sum_pct,DEV:offsets_pos,DEV:weeks,VALID-C:weekly_mean_bp,VALID-C:t_med,VALID-C:pf_med,VALID-C:sum_pct,VALID-C:offsets_pos,VALID-C:weeks,PASS
7,1,long,232.1,0.57,1.52,88.3,6,37,-447.7,-0.91,0.51,-57.7,0,12,False
7,1,ls,144.5,0.91,1.64,54.9,6,37,-52.9,-0.08,0.94,-6.8,2,12,False
7,2,long,43.4,0.29,1.17,16.6,6,37,-279.5,-0.77,0.57,-35.9,0,12,False
7,2,ls,31.0,0.36,1.18,11.8,6,37,-224.1,-1.25,0.41,-28.8,0,12,False
14,1,long,204.5,0.54,1.52,75.6,6,36,-556.7,-1.27,0.35,-71.8,0,12,False
14,1,ls,132.0,0.76,1.46,48.8,7,36,-309.1,-0.96,0.5,-39.9,0,12,False
14,2,long,82.3,0.41,1.28,30.6,5,36,-369.8,-1.02,0.44,-47.4,0,12,False
14,2,ls,65.2,0.79,1.5,24.2,6,36,-281.7,-1.54,0.27,-36.0,0,12,False
28,1,long,346.0,0.9,1.82,120.8,7,34,-502.0,-1.81,0.31,-64.6,0,12,False
28,1,ls,93.9,0.65,1.42,32.8,7,34,-377.5,-1.18,0.38,-48.1,0,12,False
28,2,long,234.8,0.97,1.86,81.9,7,34,-258.7,-0.56,0.64,-33.0,0,12,False
28,2,ls,103.3,1.13,1.78,36.0,7,34,-231.0,-1.18,0.36,-29.6,0,12,False
