round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
351,Taker Persist 2b >57% H=18,8247,3.15,-9.96,0.489,1.019,0.15,30.21,REJECT
352,Taker Persist 2b >57% H=24,7659,4.88,-19.17,0.477,1.025,0.19,28.05,REJECT
353,Taker Persist 2b >62% H=18,1544,-5.2,-17.73,0.477,0.965,-0.25,5.66,REJECT
354,Taker Persist 2b >62% H=24,1497,3.26,-20.0,0.474,1.019,0.12,5.48,REJECT
355,Taker Persist 2b >66% H=18,250,-4.92,-11.59,0.48,0.965,-0.16,0.92,REJECT
356,Taker Persist 2b >66% H=24,245,20.23,-11.74,0.473,1.133,0.56,0.9,REJECT
357,Taker Persist 3b >57% H=18,1785,5.53,-16.2,0.482,1.036,0.25,6.54,REJECT
358,Taker Persist 3b >57% H=24,1744,13.02,-9.16,0.491,1.073,0.43,6.39,REJECT
359,Taker Persist 3b >62% H=18,160,40.82,23.38,0.525,1.338,1.15,0.59,REJECT
360,Taker Persist 3b >62% H=24,159,31.87,5.08,0.522,1.243,0.85,0.58,REJECT
361,Taker Persist 3b >66% H=18,11,64.22,18.06,0.727,1.95,0.77,0.04,REJECT
362,Taker Persist 3b >66% H=24,11,146.25,120.08,0.727,4.34,1.76,0.04,REJECT
363,Taker Persist 4b >57% H=18,369,-5.78,-20.93,0.482,0.962,-0.19,1.35,REJECT
364,Taker Persist 4b >57% H=24,365,19.42,-1.84,0.496,1.109,0.45,1.34,REJECT
365,Taker Persist 4b >62% H=18,18,14.54,-37.15,0.444,1.132,0.18,0.07,REJECT
366,Taker Surge QV>2.0x at Level H=12,1382,20.09,-6.68,0.489,1.181,0.96,5.06,REJECT
367,Taker Surge QV>2.0x at Level H=18,1350,36.35,5.81,0.507,1.269,1.12,4.95,REJECT
368,Taker Surge QV>2.0x at Level H=24,1321,56.99,-17.53,0.481,1.349,1.2,4.84,REJECT
369,Taker Surge QV>3.0x at Level H=12,327,-17.79,-4.02,0.486,0.849,-0.73,1.2,REJECT
370,Taker Surge QV>3.0x at Level H=18,323,8.35,-20.93,0.461,1.06,0.18,1.18,REJECT
371,Taker Surge QV>3.0x at Level H=24,319,34.62,-20.46,0.464,1.211,0.5,1.17,REJECT
372,Taker Surge QV>4.0x at Level H=12,108,-28.45,-20.36,0.435,0.748,-0.94,0.4,REJECT
373,Taker Surge QV>4.0x at Level H=18,107,-26.72,-43.09,0.374,0.795,-0.68,0.39,REJECT
374,Taker Surge QV>4.0x at Level H=24,107,17.13,-31.81,0.439,1.126,0.31,0.39,REJECT
375,Level Taker Surge Variant 375,107,17.13,-31.81,0.439,1.126,0.31,0.39,REJECT
376,Level Taker Surge Variant 376,107,17.13,-31.81,0.439,1.126,0.31,0.39,REJECT
377,Level Taker Surge Variant 377,107,17.13,-31.81,0.439,1.126,0.31,0.39,REJECT
378,Level Taker Surge Variant 378,107,17.13,-31.81,0.439,1.126,0.31,0.39,REJECT
379,Level Taker Surge Variant 379,107,17.13,-31.81,0.439,1.126,0.31,0.39,REJECT
380,Level Taker Surge Variant 380,107,17.13,-31.81,0.439,1.126,0.31,0.39,REJECT
381,Inst Block QV>2.0x Cnt<0.7x H=18,1,-50.03,-50.03,0.0,0.0,-50030239661.38,0.0,REJECT
382,Inst Block QV>2.0x Cnt<0.7x H=24,1,40.06,40.06,1.0,999.0,40059882679.68,0.0,REJECT
383,Inst Block QV>2.0x Cnt<0.8x H=18,5,-152.57,-50.03,0.4,0.203,-0.99,0.02,REJECT
384,Inst Block QV>2.0x Cnt<0.8x H=24,5,-46.78,40.06,0.6,0.758,-0.22,0.02,REJECT
385,Inst Block QV>2.0x Cnt<0.9x H=18,18,-124.08,-57.51,0.389,0.324,-1.63,0.07,REJECT
386,Inst Block QV>2.0x Cnt<0.9x H=24,18,-81.88,-3.57,0.5,0.566,-0.95,0.07,REJECT
387,Inst Block QV>2.5x Cnt<0.7x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
388,Inst Block QV>2.5x Cnt<0.7x H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
389,Inst Block QV>2.5x Cnt<0.8x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
390,Inst Block QV>2.5x Cnt<0.8x H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
391,Inst Block QV>2.5x Cnt<0.9x H=18,3,58.34,117.77,0.667,3.693,0.95,0.01,REJECT
392,Inst Block QV>2.5x Cnt<0.9x H=24,3,113.36,96.39,0.667,8.206,1.16,0.01,REJECT
393,Inst Block QV>3.0x Cnt<0.7x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
394,Inst Block QV>3.0x Cnt<0.7x H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
395,Inst Block QV>3.0x Cnt<0.8x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
396,Retail FOMO Fade Cnt>2.5x H=12,7,135.63,289.95,0.714,1.798,0.67,0.03,REJECT
397,Retail FOMO Fade Cnt>2.5x H=18,7,156.4,133.83,0.571,1.577,0.42,0.03,REJECT
398,Retail FOMO Fade Cnt>2.5x H=12,13,-989.92,63.68,0.538,0.142,-1.1,0.05,REJECT
399,Retail FOMO Fade Cnt>2.5x H=18,13,-980.95,-227.61,0.462,0.239,-1.06,0.05,REJECT
400,Retail FOMO Fade Cnt>2.5x H=12,22,-511.69,7.2,0.5,0.318,-0.94,0.08,REJECT
401,Retail FOMO Fade Cnt>2.5x H=18,22,-613.62,-256.62,0.364,0.321,-1.1,0.08,REJECT
402,Retail FOMO Fade Cnt>3.0x H=12,4,192.58,439.08,0.75,2.003,0.58,0.01,REJECT
403,Retail FOMO Fade Cnt>3.0x H=18,4,380.52,293.46,0.75,2.411,0.6,0.01,REJECT
404,Retail FOMO Fade Cnt>3.0x H=12,7,-1660.09,63.68,0.571,0.086,-1.0,0.03,REJECT
405,Retail FOMO Fade Cnt>3.0x H=18,7,-1507.52,231.05,0.571,0.221,-0.87,0.03,REJECT
406,Retail FOMO Fade Cnt>3.0x H=12,9,-1422.47,-313.26,0.444,0.079,-1.11,0.03,REJECT
407,Retail FOMO Fade Cnt>3.0x H=18,9,-1345.52,-756.4,0.444,0.198,-1.01,0.03,REJECT
408,Retail FOMO Fade Cnt>4.0x H=12,1,-768.17,-768.17,0.0,0.0,-768174930658.96,0.0,REJECT
409,Retail FOMO Fade Cnt>4.0x H=18,1,-1078.39,-1078.39,0.0,0.0,-1078394401242.18,0.0,REJECT
410,Retail FOMO Fade Cnt>4.0x H=12,3,-4073.34,-768.17,0.333,0.013,-1.08,0.01,REJECT
411,Taker Absorb dip<-2% tr>60% H=12,1309,-28.85,-43.51,0.449,0.844,-1.08,4.79,REJECT
412,Taker Absorb dip<-2% tr>60% H=18,1295,-40.0,-46.58,0.454,0.821,-1.24,4.74,REJECT
413,Taker Absorb dip<-2% tr>65% H=12,181,50.53,34.23,0.525,1.4,1.17,0.66,REJECT
414,Taker Absorb dip<-2% tr>65% H=18,181,25.09,-3.77,0.497,1.166,0.58,0.66,REJECT
415,Taker Absorb dip<-2% tr>70% H=12,18,-131.34,-93.53,0.389,0.319,-1.45,0.07,REJECT
416,Taker Absorb dip<-2% tr>70% H=18,18,-109.17,-110.13,0.333,0.477,-0.92,0.07,REJECT
417,Taker Absorb dip<-3% tr>60% H=12,494,-18.24,-54.3,0.443,0.911,-0.48,1.81,REJECT
418,Taker Absorb dip<-3% tr>60% H=18,493,-36.79,-60.76,0.454,0.847,-0.83,1.81,REJECT
419,Taker Absorb dip<-3% tr>65% H=12,51,118.67,64.41,0.549,2.081,1.57,0.19,REJECT
420,Taker Absorb dip<-3% tr>65% H=18,51,34.99,-37.82,0.471,1.249,0.52,0.19,REJECT
421,Taker Absorb dip<-3% tr>70% H=12,4,-21.97,95.29,0.5,0.879,-0.1,0.01,REJECT
422,Taker Absorb dip<-3% tr>70% H=18,4,46.02,-137.59,0.25,1.209,0.13,0.01,REJECT
423,Taker Absorb dip<-4% tr>60% H=12,194,46.77,-24.86,0.49,1.237,0.82,0.71,REJECT
424,Taker Absorb dip<-4% tr>60% H=18,194,38.93,39.18,0.531,1.182,0.67,0.71,REJECT
425,Taker Absorb dip<-4% tr>65% H=12,14,358.04,167.25,0.643,5.241,1.94,0.05,REJECT
