C,S,hold,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
3,0.7,240,fade,17,-21.13,-12.23,0.471,0.807,16,-8.29,-0.12,0.5,16,0.06227106227106227
3,0.7,240,follow,17,-18.87,-27.77,0.471,0.826,16,-31.71,-0.45,0.438,16,0.06227106227106227
3,0.7,1440,fade,17,-91.58,-120.05,0.412,0.728,16,-36.2,-0.19,0.438,16,0.06227106227106227
3,0.7,1440,follow,17,51.58,80.05,0.529,1.195,16,-3.8,-0.02,0.5,16,0.06227106227106227
3,inf,240,fade,4826,-42.12,-17.52,0.476,0.758,259,-0.03,-0.0,0.494,259,17.67765567765568
3,inf,240,follow,4826,2.37,-22.21,0.466,1.016,259,-39.78,-3.24,0.413,259,17.67765567765568
3,inf,1440,fade,3092,2.1,45.54,0.536,1.007,252,50.48,1.61,0.548,252,11.326007326007327
3,inf,1440,follow,3092,-41.81,-85.28,0.433,0.863,252,-90.24,-2.88,0.417,252,11.326007326007327
5,0.7,240,fade,5,-130.32,-73.81,0.4,0.352,5,-130.32,-0.69,0.4,5,0.018315018315018316
5,0.7,240,follow,5,90.32,33.81,0.6,2.042,5,90.32,0.48,0.6,5,0.018315018315018316
5,0.7,1440,fade,5,-444.08,-913.09,0.2,0.351,5,-444.08,-0.97,0.2,5,0.018315018315018316
5,0.7,1440,follow,5,404.08,873.09,0.8,2.629,5,404.08,0.89,0.8,5,0.018315018315018316
5,inf,240,fade,1656,-77.4,-48.11,0.436,0.648,216,13.53,0.63,0.509,216,6.065934065934066
5,inf,240,follow,1656,37.73,8.3,0.514,1.235,216,-53.24,-2.48,0.431,216,6.065934065934066
5,inf,1440,fade,1163,18.77,77.82,0.562,1.059,210,13.11,0.24,0.571,210,4.26007326007326
5,inf,1440,follow,1163,-58.39,-116.4,0.418,0.837,210,-52.8,-0.98,0.395,210,4.26007326007326
