thr,kind,hold,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.02,thin_fade,240,199,-169.67,-120.99,0.402,0.451,30,-132.97,-1.87,0.433,30,0.7289377289377289
0.02,thin_fade,1440,119,-101.78,-69.12,0.462,0.834,26,43.16,0.21,0.654,26,0.4358974358974359
0.02,thick_follow,240,1859,-19.2,-13.34,0.48,0.873,220,-29.76,-2.37,0.45,220,6.809523809523809
0.02,thick_follow,1440,1008,1.96,-3.87,0.496,1.006,214,-14.67,-0.35,0.449,214,3.6923076923076925
0.02,ref_fade,240,20558,-21.18,-9.01,0.486,0.85,268,-15.34,-2.51,0.422,268,75.3040293040293
0.02,ref_fade,1440,8296,-21.11,4.88,0.503,0.924,268,-14.18,-0.73,0.537,268,30.388278388278387
0.02,ref_follow,240,20558,-18.75,-30.88,0.453,0.867,268,-24.6,-4.02,0.354,268,75.3040293040293
0.02,ref_follow,1440,8296,-18.79,-44.78,0.468,0.932,268,-25.74,-1.33,0.403,268,30.388278388278387
0.04,thin_fade,240,104,-258.26,-327.49,0.346,0.397,14,-266.94,-2.23,0.286,14,0.38095238095238093
0.04,thin_fade,1440,68,81.6,96.68,0.544,1.131,14,98.98,0.37,0.714,14,0.2490842490842491
0.04,thick_follow,240,469,-37.3,-51.65,0.435,0.811,144,-33.36,-1.28,0.479,144,1.7179487179487178
0.04,thick_follow,1440,320,65.98,35.55,0.516,1.192,138,54.19,0.71,0.478,138,1.1721611721611722
0.04,ref_fade,240,4361,-30.99,-9.11,0.491,0.844,255,-8.1,-0.59,0.478,255,15.974358974358974
0.04,ref_fade,1440,2640,44.26,102.41,0.555,1.142,252,24.31,0.69,0.544,252,9.67032967032967
0.04,ref_follow,240,4361,-8.97,-30.89,0.465,0.952,255,-31.88,-2.34,0.451,255,15.974358974358974
0.04,ref_follow,1440,2640,-84.2,-142.41,0.423,0.778,252,-64.29,-1.82,0.413,252,9.67032967032967
