W,T,hold,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.03,0.3,240,toward,88588,-16.63,-20.0,0.449,0.823,273,-17.05,-5.97,0.286,273,324.4981684981685
0.03,0.3,240,away,88588,-23.07,-20.0,0.449,0.762,273,-22.65,-7.93,0.282,273,324.4981684981685
0.03,0.3,1440,toward,16036,-1.91,-15.06,0.486,0.991,273,-2.22,-0.19,0.436,273,58.73992673992674
0.03,0.3,1440,away,16036,-37.77,-23.86,0.478,0.84,273,-37.46,-3.21,0.509,273,58.73992673992674
0.03,0.6,240,toward,68435,-16.18,-20.0,0.451,0.836,273,-18.35,-5.24,0.319,273,250.67765567765568
0.03,0.6,240,away,68435,-23.58,-20.0,0.454,0.77,273,-21.42,-6.13,0.344,273,250.67765567765568
0.03,0.6,1440,toward,14972,-4.11,-15.92,0.487,0.982,273,-5.77,-0.44,0.388,273,54.84249084249084
0.03,0.6,1440,away,14972,-35.6,-23.27,0.479,0.852,273,-33.95,-2.59,0.516,273,54.84249084249084
0.06,0.3,240,toward,54092,-14.67,-20.41,0.454,0.859,273,-20.44,-5.19,0.286,273,198.13919413919413
0.06,0.3,240,away,54092,-25.16,-19.17,0.458,0.77,273,-19.4,-4.93,0.421,273,198.13919413919413
0.06,0.3,1440,toward,12967,-2.42,-6.44,0.494,0.99,273,-9.12,-0.58,0.388,273,47.498168498168496
0.06,0.3,1440,away,12967,-37.38,-33.38,0.473,0.852,273,-30.69,-1.97,0.542,273,47.498168498168496
0.06,0.6,240,toward,18436,-17.1,-21.17,0.463,0.865,273,-31.17,-5.13,0.333,273,67.53113553113553
0.06,0.6,240,away,18436,-22.8,-18.78,0.467,0.823,273,-8.75,-1.44,0.498,273,67.53113553113553
0.06,0.6,1440,toward,8003,7.41,-15.12,0.49,1.029,273,-15.81,-0.83,0.451,273,29.315018315018314
0.06,0.6,1440,away,8003,-47.29,-24.27,0.483,0.831,273,-24.09,-1.26,0.491,273,29.315018315018314
