kind,P,hold,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
open,0.9,240,long_high,16780,-22.78,-23.11,0.43,0.741,258,-33.14,-5.55,0.357,258,61.46520146520147
open,0.9,240,short_low,16432,-14.31,-11.94,0.461,0.827,258,-26.04,-3.95,0.368,258,60.19047619047619
open,0.9,720,long_high,11831,-24.7,-28.85,0.458,0.838,258,-45.21,-2.96,0.442,258,43.336996336996336
open,0.9,720,short_low,11662,-6.87,-8.99,0.486,0.953,258,-25.54,-1.54,0.473,258,42.717948717948715
open,0.95,240,long_high,9572,-24.14,-22.85,0.43,0.722,258,-33.69,-5.22,0.341,258,35.062271062271066
open,0.95,240,short_low,9331,-10.9,-9.38,0.468,0.862,257,-23.57,-3.4,0.381,257,34.17948717948718
open,0.95,720,long_high,7610,-22.62,-26.4,0.46,0.848,258,-45.63,-2.87,0.446,258,27.875457875457876
open,0.95,720,short_low,7401,-1.0,-3.11,0.495,0.993,257,-23.33,-1.4,0.463,257,27.10989010989011
control,0.9,240,long_high,17124,-26.2,-27.61,0.421,0.712,258,-32.19,-5.53,0.372,258,62.72527472527472
control,0.9,240,short_low,16347,-21.7,-18.92,0.446,0.753,258,-26.3,-4.04,0.36,258,59.879120879120876
control,0.9,720,long_high,12148,-26.56,-25.49,0.462,0.831,258,-33.5,-2.09,0.45,258,44.498168498168496
control,0.9,720,short_low,11866,-11.2,-12.18,0.483,0.924,258,-19.73,-1.25,0.446,258,43.46520146520147
control,0.95,240,long_high,9689,-22.22,-26.18,0.421,0.74,258,-30.96,-5.03,0.372,258,35.49084249084249
control,0.95,240,short_low,9332,-22.28,-18.81,0.445,0.742,258,-25.39,-3.63,0.384,258,34.18315018315018
control,0.95,720,long_high,7714,-21.81,-23.09,0.463,0.853,258,-31.16,-1.88,0.442,258,28.256410256410255
control,0.95,720,short_low,7569,-9.42,-9.29,0.486,0.935,258,-16.72,-1.04,0.453,258,27.725274725274726
