round,LB,REB,N,bp_day,t_med,t_min,t_max,pos_frac,periods
R14 depth,168,72,5,25.39,1.19,0.66,2.06,1.0,88
R14 depth,168,72,10,8.62,0.45,0.1,0.83,1.0,88
R14 depth,168,168,5,24.59,1.16,0.49,2.36,1.0,37
R14 depth,168,168,10,5.97,0.32,-0.49,1.09,0.7,37
R15 heat,24,24,5,-38.58,-1.87,-2.94,-0.64,0.0,271
R15 heat,24,24,10,-34.26,-2.02,-3.05,-1.08,0.0,271
R15 heat,72,24,5,-29.83,-1.19,-1.95,-0.64,0.0,270
R15 heat,72,24,10,-24.52,-1.49,-1.96,-0.55,0.0,270
R16 spotflow,24,24,5,-43.27,-3.01,-4.49,-1.24,0.0,271
R16 spotflow,24,24,10,-32.92,-3.12,-4.12,-1.72,0.0,271
R16 spotflow,72,24,5,-27.44,-1.69,-2.59,-1.03,0.0,269
R16 spotflow,72,24,10,-13.76,-1.34,-1.73,-0.38,0.0,269
