arm,param,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
sweep,0.001,60,14180,-20.86,-20.0,0.391,0.584,272,-20.91,-9.04,0.265,272,51.94139194139194
sweep,0.001,120,11742,-23.46,-20.0,0.417,0.647,272,-22.79,-5.61,0.368,272,43.010989010989015
sweep,0.001,240,9660,-17.38,-16.66,0.453,0.803,272,-20.99,-3.08,0.452,272,35.38461538461539
sweep,0.003,60,7689,-18.34,-17.84,0.419,0.66,272,-18.0,-6.34,0.316,272,28.164835164835164
sweep,0.003,120,6822,-21.48,-19.74,0.429,0.703,272,-19.64,-4.06,0.371,272,24.98901098901099
sweep,0.003,240,5969,-11.77,-11.42,0.474,0.875,272,-15.97,-2.1,0.474,272,21.864468864468865
break,1.5,60,14569,-20.46,-24.51,0.369,0.616,272,-29.54,-10.99,0.202,272,53.366300366300365
break,1.5,120,11615,-19.26,-25.04,0.394,0.709,272,-33.89,-7.75,0.272,272,42.54578754578755
break,1.5,240,9617,-32.7,-34.11,0.404,0.671,272,-42.58,-5.56,0.331,272,35.227106227106226
break,2.5,60,5910,-21.86,-25.82,0.374,0.625,270,-25.59,-5.7,0.252,270,21.64835164835165
break,2.5,120,5427,-20.07,-29.91,0.381,0.706,270,-27.81,-5.44,0.311,270,19.87912087912088
break,2.5,240,5198,-35.09,-39.5,0.389,0.658,270,-37.35,-4.26,0.344,270,19.04029304029304
