K,S,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
1.0,4,60,1295,-26.55,-23.56,0.389,0.515,238,-25.97,-4.03,0.319,238,4.743589743589744
1.0,4,120,1269,-25.28,-24.19,0.403,0.629,238,-17.09,-1.8,0.374,238,4.648351648351649
1.0,4,240,1233,-23.83,-19.74,0.454,0.747,238,-14.84,-1.23,0.42,238,4.516483516483516
1.0,4,480,1221,-46.19,-50.44,0.414,0.664,238,-31.44,-2.05,0.361,238,4.472527472527473
1.0,8,60,377,-31.84,-30.79,0.366,0.439,160,-31.21,-3.98,0.331,160,1.380952380952381
1.0,8,120,377,-15.68,-20.25,0.414,0.751,160,-9.38,-0.75,0.438,160,1.380952380952381
1.0,8,240,375,-18.45,-20.0,0.437,0.803,160,-6.1,-0.37,0.475,160,1.3736263736263736
1.0,8,480,375,-21.0,-50.38,0.419,0.838,160,2.32,0.1,0.431,160,1.3736263736263736
1.5,4,60,22328,-20.59,-22.05,0.38,0.612,273,-18.41,-9.77,0.19,273,81.78754578754578
1.5,4,120,21764,-19.31,-21.81,0.416,0.716,273,-16.12,-5.0,0.275,273,79.72161172161172
1.5,4,240,20007,-17.21,-19.48,0.445,0.806,273,-14.07,-3.4,0.326,273,73.28571428571429
1.5,4,480,16816,-17.62,-19.33,0.464,0.86,273,-13.04,-2.16,0.381,273,61.5970695970696
1.5,8,60,12336,-22.18,-22.94,0.378,0.591,273,-18.93,-7.38,0.22,273,45.18681318681319
1.5,8,120,12336,-23.07,-24.23,0.408,0.669,273,-18.84,-4.77,0.278,273,45.18681318681319
1.5,8,240,11946,-21.31,-21.73,0.44,0.764,273,-17.47,-3.82,0.341,273,43.75824175824176
1.5,8,480,10824,-22.19,-20.0,0.461,0.827,273,-18.89,-2.59,0.396,273,39.64835164835165
