Z_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
2.0,60,symmetric,26565,-20.6,-15.56,0.417,0.607,273,-21.12,-6.31,0.315,273,97.3076923076923
2.0,60,long_only,13046,-20.73,-16.83,0.41,0.605,269,1.24,0.26,0.513,269,47.78754578754579
2.0,60,short_only,14061,-20.31,-13.99,0.426,0.612,271,-0.46,-0.11,0.428,271,51.505494505494504
2.0,120,symmetric,21502,-17.45,-12.44,0.451,0.735,273,-16.85,-4.19,0.414,273,78.76190476190476
2.0,120,long_only,11139,-16.32,-13.47,0.446,0.75,269,16.13,2.59,0.565,269,40.8021978021978
2.0,120,short_only,11668,-18.58,-12.11,0.455,0.718,271,9.97,1.67,0.494,271,42.73992673992674
2.0,240,symmetric,17418,-19.21,-17.84,0.453,0.781,273,-18.11,-3.12,0.425,273,63.8021978021978
2.0,240,long_only,9687,-18.16,-21.18,0.444,0.793,269,23.63,2.5,0.569,269,35.48351648351648
2.0,240,short_only,10144,-20.12,-12.73,0.467,0.77,271,15.49,1.74,0.524,271,37.15750915750916
2.5,60,symmetric,6065,-22.69,-15.25,0.418,0.583,273,-20.81,-4.16,0.388,273,22.216117216117215
2.5,60,long_only,2457,-19.96,-13.31,0.42,0.602,247,-0.27,-0.04,0.51,247,9.0
2.5,60,short_only,3651,-23.75,-16.3,0.42,0.582,258,-3.67,-0.74,0.45,258,13.373626373626374
2.5,120,symmetric,5669,-22.13,-14.23,0.439,0.682,273,-17.58,-3.08,0.44,273,20.765567765567766
2.5,120,long_only,2352,-21.41,-14.95,0.437,0.688,247,13.93,1.56,0.53,247,8.615384615384615
2.5,120,short_only,3438,-21.54,-13.69,0.444,0.691,258,5.99,0.78,0.496,258,12.593406593406593
2.5,240,symmetric,5312,-23.23,-19.39,0.447,0.737,273,-19.95,-3.1,0.447,273,19.457875457875456
2.5,240,long_only,2265,-13.75,-19.4,0.443,0.829,247,21.43,2.02,0.534,247,8.296703296703297
2.5,240,short_only,3292,-27.81,-16.02,0.455,0.7,258,17.07,1.65,0.519,258,12.058608058608058
