W,OI_thr,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
12,0.05,120,879,-27.83,-18.99,0.456,0.788,226,-38.9,-2.47,0.42,226,3.21978021978022
12,0.05,240,859,-26.75,-0.51,0.499,0.854,226,-43.58,-1.91,0.473,226,3.1465201465201464
12,0.05,360,849,-21.84,9.07,0.514,0.898,226,-37.34,-1.29,0.491,226,3.10989010989011
12,0.08,120,212,16.36,-9.67,0.486,1.139,124,-3.05,-0.13,0.484,124,0.7765567765567766
12,0.08,240,206,52.53,52.13,0.553,1.354,124,24.46,0.62,0.524,124,0.7545787545787546
12,0.08,360,205,46.61,39.02,0.556,1.236,124,18.76,0.35,0.524,124,0.7509157509157509
12,0.1,120,94,25.01,-17.9,0.447,1.213,67,23.75,0.7,0.448,67,0.3443223443223443
12,0.1,240,93,41.13,14.25,0.516,1.322,67,47.81,1.07,0.507,67,0.34065934065934067
12,0.1,360,92,-11.58,14.07,0.522,0.945,67,6.39,0.09,0.507,67,0.336996336996337
24,0.05,120,1337,-10.95,-20.0,0.458,0.909,256,-29.52,-2.54,0.414,256,4.897435897435898
24,0.05,240,1300,1.45,8.17,0.51,1.009,256,-25.72,-1.61,0.438,256,4.761904761904762
24,0.05,360,1278,12.85,1.43,0.504,1.074,256,-15.73,-0.85,0.473,256,4.681318681318682
24,0.08,120,373,12.21,4.43,0.504,1.097,167,-3.17,-0.17,0.509,167,1.3663003663003663
24,0.08,240,363,48.04,38.54,0.556,1.336,167,24.38,1.0,0.533,167,1.3296703296703296
24,0.08,360,360,43.17,26.62,0.539,1.238,167,20.49,0.67,0.527,167,1.3186813186813187
24,0.1,120,186,33.63,5.22,0.505,1.28,120,12.92,0.43,0.533,120,0.6813186813186813
24,0.1,240,184,23.81,25.35,0.538,1.146,120,27.36,0.71,0.5,120,0.673992673992674
24,0.1,360,184,9.14,-7.01,0.489,1.05,120,1.0,0.02,0.492,120,0.673992673992674
48,0.05,120,2321,-31.3,-30.59,0.427,0.745,267,-40.71,-4.22,0.352,267,8.501831501831502
48,0.05,240,2237,-29.45,-20.0,0.465,0.819,267,-48.06,-3.61,0.382,267,8.194139194139193
48,0.05,360,2193,-13.92,-0.04,0.5,0.924,267,-36.61,-2.04,0.453,267,8.032967032967033
48,0.08,120,777,-18.18,-29.19,0.436,0.856,233,-11.96,-0.49,0.378,233,2.8461538461538463
48,0.08,240,757,-36.69,-11.19,0.478,0.799,233,-34.3,-1.2,0.433,233,2.772893772893773
48,0.08,360,747,-12.02,-2.13,0.497,0.939,233,-4.35,-0.14,0.485,233,2.7362637362637363
48,0.1,120,435,-12.72,-26.38,0.446,0.905,197,-13.7,-0.63,0.426,197,1.5934065934065933
48,0.1,240,423,-31.05,-2.9,0.492,0.834,197,-38.8,-1.42,0.492,197,1.5494505494505495
48,0.1,360,422,5.28,8.46,0.519,1.028,197,0.55,0.02,0.518,197,1.5457875457875458
