offset,rsi_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.02,25,60,long_only,10707,-8.47,1.67,0.505,0.887,266,21.02,3.43,0.624,266,39.21978021978022
0.02,25,60,symmetric,21105,-15.62,-0.47,0.499,0.809,273,-4.34,-1.15,0.469,273,77.3076923076923
0.02,25,120,long_only,9546,-5.35,7.47,0.513,0.945,266,35.52,4.16,0.579,266,34.967032967032964
0.02,25,120,symmetric,18805,-13.67,5.13,0.509,0.867,273,-0.42,-0.08,0.484,273,68.88278388278388
0.02,25,240,long_only,8663,-13.17,-1.22,0.498,0.897,266,51.07,4.09,0.586,266,31.732600732600734
0.02,25,240,symmetric,16722,-17.25,5.64,0.51,0.868,273,-2.01,-0.27,0.52,273,61.252747252747255
0.02,30,60,long_only,18007,-9.6,-0.8,0.498,0.871,269,15.26,3.14,0.591,269,65.95970695970696
0.02,30,60,symmetric,35012,-14.59,-1.01,0.497,0.817,273,-6.56,-2.21,0.451,273,128.24908424908426
0.02,30,120,long_only,15285,-6.73,4.52,0.508,0.931,269,32.37,4.21,0.606,269,55.989010989010985
0.02,30,120,symmetric,29395,-11.76,4.92,0.509,0.885,273,-2.93,-0.67,0.505,273,107.67399267399267
0.02,30,240,long_only,12873,-15.09,-7.65,0.488,0.884,269,56.09,3.57,0.606,269,47.15384615384615
0.02,30,240,symmetric,23741,-18.62,0.22,0.5,0.859,273,-6.09,-0.95,0.516,273,86.96336996336996
0.035,25,60,long_only,4489,8.07,22.02,0.539,1.089,231,41.46,4.35,0.662,231,16.44322344322344
0.035,25,60,symmetric,8917,-11.53,10.47,0.519,0.892,273,6.37,1.02,0.502,273,32.663003663003664
0.035,25,120,long_only,4023,14.33,40.94,0.563,1.125,231,62.31,4.74,0.589,231,14.736263736263735
0.035,25,120,symmetric,7987,-9.82,25.32,0.537,0.927,273,16.11,1.92,0.527,273,29.256410256410255
0.035,25,240,long_only,3715,-4.34,26.0,0.532,0.972,231,81.98,4.31,0.628,231,13.608058608058608
0.035,25,240,symmetric,7230,-23.59,21.35,0.529,0.864,273,12.43,1.09,0.546,273,26.483516483516482
0.035,30,60,long_only,6042,6.97,19.2,0.536,1.076,240,37.75,4.88,0.654,240,22.13186813186813
0.035,30,60,symmetric,12130,-9.59,10.89,0.521,0.91,273,7.46,1.41,0.52,273,44.43223443223443
0.035,30,120,long_only,5247,10.7,39.42,0.558,1.09,239,56.3,4.87,0.582,239,19.21978021978022
0.035,30,120,symmetric,10389,-8.73,24.78,0.534,0.935,273,14.31,2.01,0.535,273,38.05494505494506
0.035,30,240,long_only,4557,-5.34,21.79,0.527,0.967,239,85.29,4.08,0.611,239,16.692307692307693
0.035,30,240,symmetric,8786,-21.71,17.52,0.523,0.876,273,14.94,1.48,0.568,273,32.18315018315018
