D_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.0002,60,follow,15312,-22.47,-20.0,0.414,0.698,273,-24.04,-10.98,0.212,273,56.08791208791209
0.0002,60,fade,15312,-17.53,-20.0,0.431,0.755,273,-15.96,-7.3,0.278,273,56.08791208791209
0.0002,240,follow,14947,-16.65,-20.0,0.462,0.869,273,-16.84,-4.42,0.341,273,54.75091575091575
0.0002,240,fade,14947,-23.35,-20.0,0.455,0.821,273,-23.16,-6.08,0.337,273,54.75091575091575
0.0002,480,follow,11040,-12.85,-11.23,0.483,0.923,273,-13.8,-2.0,0.421,273,40.43956043956044
0.0002,480,fade,11040,-27.15,-28.77,0.46,0.845,273,-26.2,-3.81,0.352,273,40.43956043956044
0.0004,60,follow,5059,-27.91,-21.75,0.425,0.7,273,-27.26,-6.25,0.315,273,18.531135531135533
0.0004,60,fade,5059,-12.09,-18.25,0.446,0.857,273,-12.74,-2.92,0.399,273,18.531135531135533
0.0004,240,follow,4885,-17.77,-15.3,0.471,0.882,273,-16.39,-2.26,0.418,273,17.893772893772894
0.0004,240,fade,4885,-22.23,-24.7,0.454,0.854,273,-23.61,-3.26,0.388,273,17.893772893772894
0.0004,480,follow,3487,-1.07,-1.17,0.498,0.994,273,5.22,0.43,0.527,273,12.772893772893774
0.0004,480,fade,3487,-38.93,-38.83,0.451,0.815,273,-45.22,-3.7,0.37,273,12.772893772893774
