rvol_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
2.5,30,both,61454,-12.13,-20.0,0.381,0.734,273,-13.14,-7.07,0.249,273,225.1062271062271
2.5,30,long,26217,-6.82,-18.32,0.394,0.843,271,-11.27,-4.66,0.284,271,96.03296703296704
2.5,30,short,35248,-16.07,-22.32,0.372,0.659,273,-17.29,-7.6,0.227,273,129.1135531135531
2.5,60,both,55726,-9.7,-20.0,0.407,0.825,273,-11.03,-4.28,0.282,273,204.12454212454213
2.5,60,long,24065,-2.97,-18.32,0.412,0.944,271,-11.14,-3.34,0.343,271,88.15018315018315
2.5,60,short,31761,-14.7,-21.21,0.404,0.743,273,-21.06,-6.57,0.275,273,116.34065934065934
2.5,120,both,49772,-7.33,-21.71,0.426,0.897,273,-9.2,-2.67,0.355,273,182.3150183150183
2.5,120,long,22141,-1.31,-22.02,0.424,0.981,271,-16.87,-3.45,0.336,271,81.1025641025641
2.5,120,short,28343,-10.65,-20.53,0.43,0.853,273,-28.06,-5.59,0.293,273,103.82051282051282
3.5,30,both,30083,-10.67,-20.18,0.384,0.776,273,-12.27,-4.59,0.264,273,110.1941391941392
3.5,30,long,12268,-2.72,-16.89,0.403,0.939,266,-9.03,-3.01,0.368,266,44.937728937728934
3.5,30,short,17818,-16.12,-23.34,0.371,0.677,271,-18.34,-5.71,0.232,271,65.26739926739927
3.5,60,both,28824,-7.86,-20.0,0.412,0.865,273,-10.04,-2.78,0.355,273,105.58241758241758
3.5,60,long,11836,4.02,-15.75,0.428,1.074,266,-8.63,-1.96,0.376,266,43.35531135531136
3.5,60,short,17012,-15.99,-22.71,0.402,0.738,271,-22.44,-5.26,0.255,271,62.315018315018314
3.5,120,both,27315,-6.2,-21.77,0.43,0.918,273,-9.21,-2.09,0.37,273,100.05494505494505
3.5,120,long,11430,5.08,-20.0,0.436,1.071,265,-14.79,-2.59,0.415,265,41.86813186813187
3.5,120,short,16091,-12.25,-22.55,0.429,0.841,271,-29.93,-4.98,0.295,271,58.94139194139194
