btc_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.008,30,catchup,783,-6.63,-30.12,0.367,0.909,67,-23.1,-1.44,0.328,67,2.868131868131868
0.008,30,momentum,9981,-11.39,-18.81,0.442,0.845,103,-12.61,-1.39,0.437,103,36.56043956043956
0.008,60,catchup,757,-34.82,-41.0,0.369,0.687,67,-28.76,-1.53,0.343,67,2.772893772893773
0.008,60,momentum,8775,-11.61,-12.98,0.466,0.867,103,-10.9,-0.82,0.515,103,32.142857142857146
0.008,120,catchup,742,-28.99,-36.27,0.399,0.767,67,-15.46,-0.66,0.433,67,2.717948717948718
0.008,120,momentum,7386,12.84,1.56,0.502,1.119,103,19.45,0.97,0.524,103,27.054945054945055
0.012,30,catchup,102,-28.39,-30.66,0.382,0.619,23,-12.69,-0.44,0.391,23,0.37362637362637363
0.012,30,momentum,3016,10.39,-0.94,0.497,1.134,42,3.17,0.17,0.452,42,11.047619047619047
0.012,60,catchup,101,-93.37,-74.9,0.307,0.308,23,-45.33,-1.39,0.348,23,0.36996336996337
0.012,60,momentum,2741,52.88,45.77,0.59,1.781,42,36.84,1.71,0.69,42,10.04029304029304
0.012,120,catchup,101,-90.85,-90.09,0.307,0.386,23,-32.63,-0.89,0.348,23,0.36996336996337
0.012,120,momentum,2425,118.04,54.01,0.582,2.353,42,105.17,2.48,0.571,42,8.882783882783883
