offset,rsi_thr,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.02,25,60,1882,-9.05,-10.15,0.462,0.838,170,24.33,2.88,0.541,170,6.893772893772894
0.02,25,120,1530,-10.9,-6.9,0.482,0.85,170,32.06,2.89,0.582,170,5.604395604395604
0.02,25,240,1372,-35.46,-32.91,0.434,0.672,170,46.25,3.02,0.559,170,5.0256410256410255
0.02,25,480,1295,-42.88,-65.9,0.418,0.708,169,44.6,2.06,0.586,169,4.743589743589744
0.02,30,60,4838,-12.65,-10.5,0.463,0.791,224,8.0,1.3,0.5,224,17.721611721611723
0.02,30,120,3632,-10.39,-6.04,0.484,0.864,224,22.44,2.54,0.567,224,13.304029304029305
0.02,30,240,2957,-25.68,-21.33,0.456,0.765,223,45.91,2.9,0.578,223,10.831501831501832
0.02,30,480,2597,-38.54,-44.01,0.432,0.744,223,42.06,1.97,0.529,223,9.512820512820513
0.04,25,60,946,7.71,6.99,0.524,1.13,131,47.55,4.14,0.611,131,3.4652014652014653
0.04,25,120,788,9.96,9.26,0.518,1.131,131,49.03,3.99,0.649,131,2.8864468864468864
0.04,25,240,721,-25.1,-38.7,0.442,0.791,131,60.64,3.01,0.565,131,2.641025641025641
0.04,25,480,688,-40.04,-77.8,0.404,0.76,130,48.66,1.76,0.5,130,2.52014652014652
0.04,30,60,1887,6.76,3.91,0.515,1.101,167,24.48,2.66,0.545,167,6.912087912087912
0.04,30,120,1437,21.3,22.37,0.541,1.263,167,39.17,3.18,0.587,167,5.263736263736264
0.04,30,240,1213,-0.16,-13.94,0.477,0.999,165,51.06,2.59,0.576,165,4.443223443223443
0.04,30,480,1107,-18.66,-47.69,0.453,0.889,164,27.66,1.11,0.53,164,4.054945054945055
