lb,v_mult,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
48,1.5,120,16454,-20.57,-29.86,0.406,0.758,255,-61.45,-7.82,0.251,255,60.27106227106227
48,1.5,240,14091,-22.99,-32.58,0.424,0.791,255,-85.34,-7.04,0.259,255,51.61538461538461
48,1.5,480,11647,-23.54,-23.26,0.462,0.845,255,-112.05,-6.42,0.322,255,42.663003663003664
48,2.0,120,12016,-18.03,-27.61,0.415,0.791,254,-61.32,-6.48,0.248,254,44.014652014652015
48,2.0,240,10881,-19.95,-28.65,0.433,0.82,254,-79.66,-6.21,0.299,254,39.857142857142854
48,2.0,480,9346,-16.25,-18.15,0.473,0.892,254,-109.03,-5.94,0.339,254,34.234432234432234
96,1.5,120,11815,-16.66,-28.84,0.411,0.807,247,-64.41,-7.57,0.267,247,43.27838827838828
96,1.5,240,10187,-14.94,-30.03,0.428,0.862,247,-87.24,-7.02,0.271,247,37.315018315018314
96,1.5,480,8352,-5.74,-18.8,0.472,0.96,247,-116.31,-6.28,0.308,247,30.593406593406595
96,2.0,120,8908,-13.63,-26.31,0.422,0.844,241,-66.29,-5.93,0.286,241,32.63003663003663
96,2.0,240,8107,-13.89,-26.08,0.439,0.874,241,-83.14,-5.91,0.29,241,29.695970695970697
96,2.0,480,6941,-6.12,-16.57,0.477,0.959,241,-110.2,-5.62,0.311,241,25.424908424908423
