st_mult,adx_thr,hold_h,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
2.5,20,12,5877,-16.81,-16.27,0.48,0.898,273,-45.68,-2.76,0.418,273,21.52747252747253
2.5,20,24,5021,-14.51,-15.8,0.486,0.935,273,-55.28,-2.24,0.443,273,18.39194139194139
2.5,20,48,3919,67.23,37.28,0.532,1.251,268,-13.24,-0.35,0.448,268,14.355311355311356
2.5,25,12,3648,-21.66,-20.0,0.476,0.874,268,-64.5,-3.26,0.384,268,13.362637362637363
2.5,25,24,3321,-16.67,-15.02,0.488,0.928,268,-77.6,-2.73,0.41,268,12.164835164835164
2.5,25,48,2843,79.45,40.3,0.536,1.31,255,-45.89,-1.06,0.4,255,10.413919413919414
3.0,20,12,4677,-19.48,-24.88,0.466,0.884,272,-47.94,-2.7,0.415,272,17.13186813186813
3.0,20,24,4100,-23.01,-27.96,0.47,0.9,269,-48.23,-1.89,0.409,269,15.018315018315018
3.0,20,48,3320,92.39,39.91,0.535,1.356,262,-0.18,-0.0,0.447,262,12.16117216117216
3.0,25,12,2532,-30.29,-30.35,0.464,0.833,255,-63.88,-2.58,0.384,255,9.274725274725276
3.0,25,24,2344,-26.24,-38.21,0.466,0.888,253,-67.13,-2.28,0.387,253,8.586080586080586
3.0,25,48,2084,77.6,39.07,0.527,1.303,249,-45.54,-1.02,0.45,249,7.633699633699634
