round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
451,OI Bear Div LB=24 thr=-3% H=18,572,24.13,48.16,0.556,1.12,0.38,2.1,PROFITABLE
452,OI Bull Div LB=24 thr=3% H=18,361,-9.76,-50.23,0.46,0.953,-0.2,1.32,REJECT
453,OI Bear Div LB=24 thr=-3% H=24,570,42.56,72.94,0.563,1.179,0.53,2.09,PROFITABLE
454,OI Bull Div LB=24 thr=3% H=24,360,-7.22,-78.07,0.431,0.971,-0.12,1.32,REJECT
455,OI Bear Div LB=24 thr=-5% H=18,286,54.77,71.28,0.587,1.247,0.53,1.05,PROFITABLE
456,OI Bull Div LB=24 thr=5% H=18,217,17.32,-36.28,0.475,1.076,0.29,0.79,PROFITABLE
457,OI Bear Div LB=24 thr=-5% H=24,284,48.06,108.91,0.57,1.167,0.36,1.04,PROFITABLE
458,OI Bull Div LB=24 thr=5% H=24,216,6.97,-54.87,0.449,1.026,0.11,0.79,PROFITABLE
459,OI Bear Div LB=48 thr=-3% H=18,138,25.08,53.76,0.551,1.12,0.33,0.51,PROFITABLE
460,OI Bull Div LB=48 thr=3% H=18,78,51.64,25.39,0.513,1.252,0.55,0.29,PROFITABLE
461,OI Bear Div LB=48 thr=-3% H=24,137,64.15,104.08,0.577,1.284,0.68,0.5,PROFITABLE
462,OI Bull Div LB=48 thr=3% H=24,78,53.83,-11.08,0.5,1.209,0.5,0.29,PROFITABLE
463,OI Bear Div LB=48 thr=-5% H=18,66,158.72,91.45,0.606,1.945,1.52,0.24,PASS_TRAIN
464,OI Bull Div LB=48 thr=5% H=18,48,23.93,-43.7,0.417,1.107,0.22,0.18,PROFITABLE
465,OI Bear Div LB=48 thr=-5% H=24,66,184.56,165.59,0.636,1.892,1.44,0.24,PROFITABLE
466,OI Bull Div LB=48 thr=5% H=24,48,-3.5,-55.7,0.458,0.988,-0.03,0.18,REJECT
467,Coiled box<2% oi>8% H=18,279,7.79,-25.9,0.484,1.036,0.16,1.02,PROFITABLE
468,Coiled box<2% oi>8% H=24,279,24.78,-21.56,0.487,1.104,0.46,1.02,PROFITABLE
469,Coiled box<2% oi>12% H=18,86,-8.5,-47.88,0.453,0.967,-0.08,0.32,REJECT
470,Coiled box<2% oi>12% H=24,86,63.79,-61.06,0.442,1.239,0.5,0.32,PROFITABLE
471,Coiled box<2% oi>16% H=18,39,-175.83,-47.2,0.487,0.553,-1.16,0.14,REJECT
472,Coiled box<2% oi>16% H=24,39,-88.69,-32.77,0.462,0.762,-0.58,0.14,REJECT
473,Coiled box<2% oi>8% H=18,378,-31.11,-38.63,0.474,0.863,-0.75,1.38,REJECT
474,Coiled box<2% oi>8% H=24,373,-31.88,-58.25,0.45,0.877,-0.67,1.37,REJECT
475,Coiled box<2% oi>12% H=18,114,-43.07,-41.79,0.465,0.837,-0.49,0.42,REJECT
476,Coiled box<2% oi>12% H=24,114,-37.13,-92.22,0.404,0.88,-0.36,0.42,REJECT
477,Coiled box<2% oi>16% H=18,49,-200.61,-83.57,0.429,0.479,-1.62,0.18,REJECT
478,Coiled box<2% oi>16% H=24,49,-173.92,-56.98,0.388,0.584,-1.31,0.18,REJECT
479,Coiled box<3% oi>8% H=18,522,-19.97,-34.27,0.481,0.91,-0.48,1.91,REJECT
480,Coiled box<3% oi>8% H=24,516,-27.28,-57.36,0.457,0.894,-0.59,1.89,REJECT
481,Liq Flush drop<-10% rsi<22 H=6,175,300.34,300.99,0.68,3.269,0.98,0.64,PROFITABLE
482,Liq Flush drop<-10% rsi<22 H=12,169,654.9,514.1,0.68,5.533,1.04,0.62,PROFITABLE
483,Liq Flush drop<-10% rsi<22 H=18,169,1031.61,646.67,0.704,7.126,1.08,0.62,PROFITABLE
484,Liq Flush drop<-10% rsi<25 H=6,271,254.37,273.14,0.675,2.703,0.94,0.99,PROFITABLE
485,Liq Flush drop<-10% rsi<25 H=12,261,566.75,401.11,0.67,4.44,1.0,0.96,PROFITABLE
486,Liq Flush drop<-10% rsi<25 H=18,260,890.19,567.38,0.688,5.783,1.04,0.95,PROFITABLE
487,Liq Flush drop<-10% rsi<28 H=6,395,154.8,168.51,0.623,1.778,0.64,1.45,PROFITABLE
488,Liq Flush drop<-10% rsi<28 H=12,370,365.96,183.48,0.603,2.705,0.86,1.36,PROFITABLE
489,Liq Flush drop<-10% rsi<28 H=18,368,603.3,246.42,0.614,3.505,0.94,1.35,PROFITABLE
490,Liq Flush drop<-15% rsi<22 H=6,90,561.85,603.73,0.833,7.119,1.02,0.33,PROFITABLE
491,Liq Flush drop<-15% rsi<22 H=12,88,1138.17,1405.44,0.807,11.355,0.98,0.32,PROFITABLE
492,Liq Flush drop<-15% rsi<22 H=18,88,1745.56,2155.66,0.818,13.492,1.01,0.32,PROFITABLE
493,Liq Flush drop<-15% rsi<25 H=6,134,467.92,485.53,0.821,4.805,0.95,0.49,PROFITABLE
494,Liq Flush drop<-15% rsi<25 H=12,131,1019.13,1311.97,0.794,8.616,0.95,0.48,PROFITABLE
495,Liq Flush drop<-15% rsi<25 H=18,130,1550.65,2031.85,0.785,9.966,0.96,0.48,PROFITABLE
496,ShortSqueeze oi>8% fr<-0.0002 H=18,545,41.48,-79.64,0.453,1.129,0.62,2.0,PROFITABLE
497,ShortSqueeze oi>8% fr<-0.0002 H=24,527,42.37,-135.19,0.417,1.118,0.55,1.93,PROFITABLE
498,ShortSqueeze oi>8% fr<-0.0004 H=18,287,-24.11,-180.93,0.404,0.937,-0.34,1.05,REJECT
499,ShortSqueeze oi>8% fr<-0.0004 H=24,278,-8.03,-209.28,0.388,0.981,-0.1,1.02,REJECT
500,ShortSqueeze oi>8% fr<-0.0006 H=18,188,-51.73,-170.7,0.394,0.875,-0.64,0.69,REJECT
501,ShortSqueeze oi>8% fr<-0.0006 H=24,182,-22.31,-224.87,0.407,0.951,-0.25,0.67,REJECT
502,ShortSqueeze oi>12% fr<-0.0002 H=18,423,67.1,-60.69,0.47,1.197,0.89,1.55,PROFITABLE
503,ShortSqueeze oi>12% fr<-0.0002 H=24,405,80.03,-144.39,0.427,1.212,0.89,1.48,PROFITABLE
504,ShortSqueeze oi>12% fr<-0.0004 H=18,242,-25.8,-191.18,0.409,0.937,-0.34,0.89,REJECT
505,ShortSqueeze oi>12% fr<-0.0004 H=24,232,16.22,-238.91,0.388,1.036,0.18,0.85,PROFITABLE
506,ShortSqueeze oi>12% fr<-0.0006 H=18,164,-68.24,-197.79,0.384,0.847,-0.79,0.6,REJECT
507,ShortSqueeze oi>12% fr<-0.0006 H=24,158,-28.71,-309.95,0.399,0.94,-0.29,0.58,REJECT
508,ShortSqueeze oi>15% fr<-0.0002 H=18,363,71.59,-64.17,0.463,1.202,0.88,1.33,PROFITABLE
509,ShortSqueeze oi>15% fr<-0.0002 H=24,346,100.67,-162.73,0.431,1.254,1.03,1.27,PROFITABLE
510,ShortSqueeze oi>15% fr<-0.0004 H=18,219,-26.84,-161.41,0.402,0.936,-0.33,0.8,REJECT
511,LongSqueeze oi>8% fr>0.0003 H=18,20,467.93,535.09,0.65,4.185,2.55,0.07,PROFITABLE
512,LongSqueeze oi>8% fr>0.0003 H=24,20,533.97,374.64,0.7,4.655,2.22,0.07,PROFITABLE
513,LongSqueeze oi>8% fr>0.0005 H=18,10,593.15,739.34,0.8,5.474,2.02,0.04,PROFITABLE
514,LongSqueeze oi>8% fr>0.0005 H=24,10,499.86,348.93,0.7,3.893,1.42,0.04,PROFITABLE
515,LongSqueeze oi>8% fr>0.0008 H=18,4,1105.61,1035.69,1.0,999.0,2.26,0.01,PROFITABLE
516,LongSqueeze oi>8% fr>0.0008 H=24,4,796.46,292.9,0.75,20.667,1.2,0.01,PROFITABLE
517,LongSqueeze oi>12% fr>0.0003 H=18,18,553.39,684.76,0.611,6.286,2.86,0.07,PROFITABLE
518,LongSqueeze oi>12% fr>0.0003 H=24,18,668.84,482.45,0.778,8.708,2.84,0.07,PROFITABLE
519,LongSqueeze oi>12% fr>0.0005 H=18,8,848.94,747.5,0.875,210.172,3.2,0.03,PROFITABLE
520,LongSqueeze oi>12% fr>0.0005 H=24,8,820.53,557.5,0.875,41.523,2.5,0.03,PROFITABLE
521,LongSqueeze oi>12% fr>0.0008 H=18,4,1105.61,1035.69,1.0,999.0,2.26,0.01,PROFITABLE
522,LongSqueeze oi>12% fr>0.0008 H=24,4,796.46,292.9,0.75,20.667,1.2,0.01,PROFITABLE
523,LongSqueeze oi>15% fr>0.0003 H=18,18,547.03,684.76,0.611,6.225,2.82,0.07,PROFITABLE
524,LongSqueeze oi>15% fr>0.0003 H=24,18,601.94,482.45,0.722,5.008,2.34,0.07,PROFITABLE
525,LongSqueeze oi>15% fr>0.0005 H=18,8,848.94,747.5,0.875,210.172,3.2,0.03,PROFITABLE
526,OI Velocity>2.5x Follow H=12,24768,-14.87,-35.28,0.459,0.922,-0.76,90.73,REJECT
527,OI Velocity>2.5x Follow H=18,21912,-11.63,-32.2,0.47,0.948,-0.52,80.26,REJECT
528,OI Velocity>2.5x Follow H=24,19887,-21.11,-49.18,0.459,0.918,-0.87,72.85,REJECT
529,OI Velocity>3.0x Follow H=12,16938,-14.92,-36.91,0.458,0.925,-0.69,62.04,REJECT
530,OI Velocity>3.0x Follow H=18,15516,-11.98,-28.68,0.474,0.948,-0.47,56.84,REJECT
531,OI Velocity>3.0x Follow H=24,14572,-29.01,-61.39,0.451,0.894,-1.02,53.38,REJECT
532,OI Velocity>4.0x Follow H=12,8106,-12.61,-37.23,0.46,0.94,-0.49,29.69,REJECT
533,OI Velocity>4.0x Follow H=18,7780,-28.33,-35.13,0.469,0.892,-0.75,28.5,REJECT
534,OI Velocity>4.0x Follow H=24,7549,-38.68,-73.93,0.444,0.872,-0.9,27.65,REJECT
535,OI Velocity Variant 535,7780,-28.33,-35.13,0.469,0.892,-0.75,28.5,REJECT
536,OI Velocity Variant 536,7780,-28.33,-35.13,0.469,0.892,-0.75,28.5,REJECT
537,OI Velocity Variant 537,7780,-28.33,-35.13,0.469,0.892,-0.75,28.5,REJECT
538,OI Velocity Variant 538,7780,-28.33,-35.13,0.469,0.892,-0.75,28.5,REJECT
539,OI Velocity Variant 539,7780,-28.33,-35.13,0.469,0.892,-0.75,28.5,REJECT
540,OI Velocity Variant 540,7780,-28.33,-35.13,0.469,0.892,-0.75,28.5,REJECT
541,Liq Rebound SL=2.0% TP=4.0% H=18,610,57.55,-220.0,0.464,1.489,0.9,2.23,PROFITABLE
542,Liq Rebound SL=2.0% TP=4.0% H=24,610,57.74,-220.0,0.464,1.491,0.9,2.23,PROFITABLE
543,Liq Rebound SL=2.5% TP=5.0% H=18,562,75.0,-270.0,0.463,1.519,0.92,2.06,PROFITABLE
544,Liq Rebound SL=2.5% TP=5.0% H=24,562,74.07,-270.0,0.461,1.51,0.9,2.06,PROFITABLE
545,Liq Rebound SL=3.0% TP=6.0% H=18,519,91.8,-320.0,0.462,1.537,0.87,1.9,PROFITABLE
546,Liq Rebound SL=3.0% TP=6.0% H=24,519,92.41,-320.0,0.461,1.54,0.88,1.9,PROFITABLE
547,Liq Rebound SL=3.5% TP=7.0% H=18,459,113.74,-370.0,0.468,1.586,0.87,1.68,PROFITABLE
548,Liq Rebound SL=3.5% TP=7.0% H=24,459,113.85,-370.0,0.468,1.587,0.87,1.68,PROFITABLE
549,Liq Rebound SL=4.0% TP=8.0% H=18,420,133.81,-420.0,0.476,1.625,0.93,1.54,PROFITABLE
550,Liq Rebound SL=4.0% TP=8.0% H=24,420,127.16,-420.0,0.469,1.582,0.88,1.54,PROFITABLE
