round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
211,BTC 4h Bull Gated Alt Breakout,15908,11.9,-20.0,0.485,1.049,0.33,58.27,REJECT
212,BTC Low-Vol Calm Alt Breakout,19981,4.17,-26.03,0.479,1.018,0.15,73.19,REJECT
213,BTC 24h Surge Alt Momentum Follow,5423,-44.06,-134.75,0.411,0.849,-0.57,19.86,REJECT
214,BTC 6% Overextension Alt Fade,595,-65.43,131.8,0.58,0.793,-0.3,2.18,REJECT
215,ETH/BTC Altseason Breakout Gating,7234,-32.49,-69.92,0.447,0.88,-0.61,26.5,REJECT
216,BTC Capitulation Spillover Snap,813,49.23,26.27,0.524,1.3,0.46,2.98,REJECT
217,Alt Relative Strength in BTC Chop,3114,-72.32,-115.43,0.425,0.777,-1.3,11.41,REJECT
218,Alt Relative Weakness Short,4802,-14.87,-48.72,0.456,0.942,-0.19,17.59,REJECT
219,BTC FR Regime Transmission,3689,-49.73,-57.98,0.436,0.827,-0.55,13.51,REJECT
220,Market Breadth Gated EMA Cross,24346,-43.08,-48.22,0.454,0.824,-1.61,89.18,REJECT
221,Alt Market Breadth Thrust Follow,4878,0.44,-99.52,0.441,1.001,0.0,17.87,REJECT
222,BTC Taker Flow Spillover Follow,8675,15.94,-23.59,0.465,1.102,0.42,31.78,REJECT
223,BTC+Alt Dual SuperTrend Break,13493,-11.85,-53.95,0.456,0.953,-0.28,49.42,REJECT
224,BTC Macro 100d Filter MA Cross,15959,-28.93,-71.64,0.432,0.876,-0.85,58.46,REJECT
225,Beta-Residual Breakout Long,9115,-24.81,-96.22,0.428,0.917,-0.57,33.39,REJECT
226,BTC Dump Rebound Leader,1308,199.82,127.2,0.573,1.95,0.95,4.79,REJECT
227,High Alt Dispersion Breakout,3347,51.66,-7.32,0.493,1.217,0.6,12.26,REJECT
228,Weekend Alt Momentum Breakout,6518,30.19,-5.41,0.496,1.13,0.54,23.88,REJECT
229,BTC OI Inflow Alt Breakout,2321,-8.04,-65.6,0.457,0.973,-0.06,8.5,REJECT
230,BTC Bull + Alt Break + SL/TP,2723,-7.07,-320.0,0.369,0.963,-0.13,9.97,REJECT
231,Hybrid: Taker Surge+ATR+BTC Bull,216,87.6,61.8,0.551,1.674,1.5,0.79,PASS_TRAIN
232,Hybrid: TT Long+Vol+4h Break,4030,-15.3,-80.04,0.433,0.943,-0.26,14.76,REJECT
233,Hybrid: 1d Bull+FR Discount+Break,2236,-34.17,-71.65,0.452,0.884,-0.65,8.19,REJECT
234,Hybrid: OI Flush+TT Rebound,120,1620.18,2060.59,0.783,9.922,0.95,0.44,REJECT
235,Hybrid: FVG+4h ST+Low FR,3491,-13.01,-73.12,0.439,0.947,-0.33,12.79,REJECT
236,Hybrid: XS Leader 20-EMA Dip Reclaim,1657,-85.38,-134.21,0.422,0.782,-1.09,6.07,REJECT
237,Hybrid: Short Squeeze Triple Trigger,369,35.04,-152.77,0.404,1.09,0.48,1.35,REJECT
238,Hybrid: Trend Dip + Dynamic SL/TP,379,-0.86,-270.0,0.409,0.994,-0.02,1.39,REJECT
239,Hybrid: Vol + OI Dual Confirmation,2767,7.57,-118.04,0.422,1.022,0.11,10.14,REJECT
240,Hybrid: CMF Flow + 4h ST Cross,8038,-45.77,-56.18,0.449,0.815,-1.48,29.44,REJECT
241,Hybrid: Keltner Break + ADX>25,23125,-5.59,-33.34,0.472,0.977,-0.2,84.71,REJECT
242,Hybrid: Smart Money Long Divergence,1905,22.72,-23.65,0.477,1.117,0.47,6.98,REJECT
243,Hybrid: High-Beta Alt + BTC Protection,5866,-8.24,-64.92,0.449,0.972,-0.12,21.49,REJECT
244,Hybrid: Donchian + ATR SL/TP (2:4),20180,-21.43,-220.0,0.333,0.853,-2.0,73.92,REJECT
245,Hybrid: 3-of-4 Confluence Consensus,17986,-64.02,-66.76,0.438,0.756,-2.06,65.88,REJECT
246,Hybrid: Multi-Factor Composite >=4.0,14288,-42.92,-71.89,0.44,0.837,-1.3,52.34,REJECT
247,Hybrid: Multi-Factor + BTC Bull Gate,12029,-29.54,-57.96,0.45,0.883,-0.77,44.06,REJECT
248,Hybrid: Regime-Switching Dual Arm,11265,-9.59,-29.73,0.466,0.956,-0.31,41.26,REJECT
249,Hybrid: Conviction Breakout + SL/TP,212,9.98,-70.44,0.462,1.08,0.37,0.78,REJECT
250,Master MTF 1d/4h/1h Consensus,5024,-64.06,-84.02,0.405,0.733,-1.68,18.4,REJECT
