round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
651,DualSq+Taker>55%+BTC H=18,550,169.12,137.77,0.644,2.187,1.76,2.01,PASS_TRAIN
652,DualSq+Taker>55%+BTC H=24,546,146.63,116.15,0.612,1.954,2.09,2.0,PASS_TRAIN
653,DualSq+Taker>55%NoBTC H=18,1016,98.62,79.97,0.582,1.628,1.73,3.72,PASS_TRAIN
654,DualSq+Taker>55%NoBTC H=24,1006,73.36,57.54,0.553,1.405,1.59,3.68,PASS_TRAIN
655,DualSq+Taker>60%+BTC H=18,152,193.24,120.03,0.664,2.529,1.36,0.56,REJECT
656,DualSq+Taker>60%+BTC H=24,150,175.48,130.09,0.613,2.415,1.67,0.55,PASS_TRAIN
657,DualSq+Taker>60%NoBTC H=18,291,120.59,74.22,0.584,1.919,1.53,1.07,PASS_TRAIN
658,DualSq+Taker>60%NoBTC H=24,288,102.18,45.33,0.559,1.686,1.63,1.05,PASS_TRAIN
659,DualSq+Taker>65%+BTC H=18,34,307.0,156.63,0.735,6.175,2.13,0.12,REJECT
660,DualSq+Taker>65%+BTC H=24,34,293.07,195.45,0.706,5.698,2.07,0.12,REJECT
661,DualSq+Taker>65%NoBTC H=18,59,217.13,105.79,0.678,4.529,2.37,0.22,PASS_TRAIN
662,DualSq+Taker>65%NoBTC H=24,58,237.51,169.39,0.69,4.69,2.5,0.21,PASS_TRAIN
663,DualSq+Taker Variant 663,58,237.51,169.39,0.69,4.69,2.5,0.21,PASS_TRAIN
664,DualSq+Taker Variant 664,58,237.51,169.39,0.69,4.69,2.5,0.21,PASS_TRAIN
665,DualSq+Taker Variant 665,58,237.51,169.39,0.69,4.69,2.5,0.21,PASS_TRAIN
666,Deriv Conf oi<-3% fr>2bp H=18,12,-152.62,-112.04,0.417,0.488,-1.03,0.04,REJECT
667,Deriv Conf oi<-3% fr>2bp H=24,12,-185.18,-124.0,0.333,0.452,-1.23,0.04,REJECT
668,Deriv Conf oi<-3% fr>2bp H=36,12,4.75,-175.92,0.417,1.017,0.02,0.04,REJECT
669,Deriv Conf oi<-3% fr>4bp H=18,4,-489.22,-649.09,0.25,0.17,-2.92,0.01,REJECT
670,Deriv Conf oi<-3% fr>4bp H=24,4,-393.08,-507.8,0.25,0.325,-1.29,0.01,REJECT
671,Deriv Conf oi<-3% fr>4bp H=36,4,-197.6,-86.04,0.5,0.518,-0.48,0.01,REJECT
672,Deriv Conf oi<-5% fr>2bp H=18,11,-153.81,-172.83,0.364,0.5,-0.97,0.04,REJECT
