thr,kind,hold,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.015,spot_follow,240,4459,-16.04,-34.23,0.44,0.867,268,-25.1,-3.89,0.396,268,16.333333333333332
0.015,spot_follow,1440,2952,10.29,-27.55,0.478,1.041,268,-12.33,-0.63,0.407,268,10.813186813186814
0.015,perp_fade,240,774,-36.02,-14.27,0.468,0.736,225,-36.67,-1.91,0.462,225,2.8351648351648353
0.015,perp_fade,1440,638,-2.77,12.44,0.505,0.989,220,8.85,0.19,0.532,220,2.336996336996337
0.015,ref_follow,240,27820,-17.19,-27.56,0.45,0.855,273,-21.07,-4.21,0.377,273,101.9047619047619
0.015,ref_follow,1440,9759,-9.99,-26.02,0.479,0.958,273,-15.36,-1.08,0.425,273,35.747252747252745
0.015,ref_fade,240,27820,-22.68,-12.39,0.477,0.813,273,-18.83,-3.76,0.403,273,101.9047619047619
0.015,ref_fade,1440,9759,-29.83,-13.83,0.489,0.88,273,-24.5,-1.72,0.502,273,35.747252747252745
0.03,spot_follow,240,1171,-17.33,-53.79,0.435,0.888,218,-11.65,-0.65,0.459,218,4.289377289377289
0.03,spot_follow,1440,928,-54.11,-90.26,0.452,0.843,214,-65.67,-1.49,0.449,214,3.399267399267399
0.03,perp_fade,240,79,-147.42,-17.72,0.468,0.48,52,-104.5,-1.07,0.481,52,0.2893772893772894
0.03,perp_fade,1440,68,-109.33,180.92,0.603,0.747,50,-85.43,-0.53,0.58,50,0.2490842490842491
0.03,ref_follow,240,7083,-7.36,-36.23,0.452,0.951,269,-25.99,-2.8,0.45,269,25.945054945054945
0.03,ref_follow,1440,3969,-48.55,-89.52,0.443,0.84,266,-59.1,-2.25,0.432,266,14.538461538461538
0.03,ref_fade,240,7083,-32.55,-3.51,0.495,0.798,269,-13.97,-1.51,0.457,269,25.945054945054945
0.03,ref_fade,1440,3969,8.64,49.52,0.529,1.032,266,19.14,0.73,0.53,266,14.538461538461538
