LB,arm,N,mean_bp_avg,t_med,t_min,t_max,offsets_pos,days
24,long_top,5,-24.556934216126297,-0.7988908823415475,-1.3175776426978647,-0.32516586566791744,0,258
24,long_top,10,-30.334991020755123,-1.0543172346882108,-1.3121761609937304,-0.6733843863540554,0,258
24,short_bottom,5,-10.520594756017374,-0.36571177346009337,-0.8535218915310504,-0.04959919543484908,0,258
24,short_bottom,10,-16.678065220245898,-0.5904230062908259,-0.8612404553818247,-0.27469517685121336,0,258
24,ref_all_long,5,-26.53793860881446,-0.9455840571395531,-1.1701455549924429,-0.7596341063758871,0,258
24,ref_all_long,10,-26.53793860881446,-0.9455840571395531,-1.1701455549924429,-0.7596341063758871,0,258
72,long_top,5,-36.160748126126656,-1.1206776598291643,-1.639850524928709,-0.907959609636831,0,258
72,long_top,10,-32.57637754661391,-1.0970834060320485,-1.6129442800226164,-0.7613038085237821,0,258
72,short_bottom,5,-16.378393345860935,-0.5608163795765329,-0.7407608893545437,-0.23314781944151614,0,258
72,short_bottom,10,-11.590192615785362,-0.39438961656502025,-0.503673551563447,-0.2693084036768538,0,258
72,ref_all_long,5,-26.60675785255121,-0.9485760856555288,-1.1732019031637555,-0.7624212577372932,0,258
72,ref_all_long,10,-26.60675785255121,-0.9485760856555288,-1.1732019031637555,-0.7624212577372932,0,258
