OI_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.06,120,both,914,-11.3,-26.46,0.452,0.922,229,-18.56,-0.74,0.406,229,3.347985347985348
0.06,120,long,534,-21.19,-59.15,0.412,0.868,203,-39.42,-1.26,0.36,203,1.956043956043956
0.06,120,short,528,-14.18,-11.27,0.483,0.893,195,-20.88,-1.12,0.456,195,1.934065934065934
0.06,240,both,881,-16.99,-21.46,0.476,0.913,229,-44.99,-1.89,0.454,229,3.227106227106227
0.06,240,long,526,-18.08,-69.98,0.43,0.907,203,-63.75,-1.83,0.433,203,1.9267399267399268
0.06,240,short,512,-22.21,15.48,0.512,0.886,195,-29.97,-1.09,0.472,195,1.8754578754578755
0.06,480,both,852,-17.15,-47.56,0.451,0.931,229,-27.44,-0.82,0.467,229,3.120879120879121
0.06,480,long,515,-52.72,-119.91,0.412,0.804,203,-79.88,-1.83,0.409,203,1.8864468864468864
0.06,480,short,498,6.96,8.85,0.506,1.031,195,-18.51,-0.47,0.528,195,1.8241758241758241
0.08,120,both,370,32.66,-12.89,0.473,1.253,162,36.68,1.04,0.475,162,1.3553113553113554
0.08,120,long,204,27.48,-13.78,0.461,1.183,124,26.4,0.52,0.492,124,0.7472527472527473
0.08,120,short,212,16.36,-9.67,0.486,1.139,124,-3.05,-0.13,0.484,124,0.7765567765567766
0.08,240,both,361,38.25,-5.98,0.488,1.232,161,5.31,0.15,0.491,161,1.3223443223443223
0.08,240,long,202,1.94,-50.09,0.426,1.01,124,-21.4,-0.41,0.444,124,0.73992673992674
0.08,240,short,206,52.53,52.13,0.553,1.354,124,24.46,0.62,0.524,124,0.7545787545787546
0.08,480,both,351,24.13,-12.99,0.484,1.103,161,-21.27,-0.46,0.472,161,1.2857142857142858
0.08,480,long,197,-5.53,-87.32,0.452,0.978,124,-4.37,-0.07,0.435,124,0.7216117216117216
0.08,480,short,200,46.32,33.67,0.54,1.207,124,9.5,0.17,0.516,124,0.7326007326007326
