sl,tp,v_mult,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.0,0.0,1.0,120,250,27.77,-31.67,0.452,1.188,131,45.96,0.99,0.473,131,0.9157509157509157
0.0,0.0,1.0,240,243,34.7,-4.03,0.49,1.204,131,33.11,0.72,0.496,131,0.8901098901098901
0.0,0.0,1.5,120,175,44.35,-44.55,0.44,1.29,109,61.85,1.07,0.495,109,0.6410256410256411
0.0,0.0,1.5,240,173,23.9,-20.0,0.457,1.125,109,22.08,0.39,0.486,109,0.6336996336996337
0.0,0.05,1.0,120,269,18.08,-4.14,0.498,1.133,131,2.27,0.08,0.534,131,0.9853479853479854
0.0,0.05,1.0,240,264,50.48,76.02,0.564,1.353,131,16.86,0.49,0.573,131,0.967032967032967
0.0,0.05,1.5,120,188,16.23,-8.37,0.489,1.115,109,4.93,0.15,0.523,109,0.6886446886446886
0.0,0.05,1.5,240,185,37.49,71.44,0.546,1.236,109,5.38,0.13,0.569,109,0.6776556776556777
0.025,0.0,1.0,120,277,-24.43,-145.11,0.35,0.827,131,-6.23,-0.25,0.382,131,1.0146520146520146
0.025,0.0,1.0,240,274,-22.82,-270.0,0.328,0.858,131,-1.0,-0.03,0.359,131,1.0036630036630036
0.025,0.0,1.5,120,188,-21.4,-163.36,0.34,0.85,109,-0.45,-0.01,0.376,109,0.6886446886446886
0.025,0.0,1.5,240,186,-16.73,-270.0,0.306,0.899,109,6.44,0.16,0.339,109,0.6813186813186813
0.025,0.05,1.0,120,291,-12.59,-121.92,0.381,0.907,131,-4.97,-0.27,0.435,131,1.065934065934066
0.025,0.05,1.0,240,288,-13.0,-270.0,0.385,0.912,131,-11.24,-0.56,0.427,131,1.054945054945055
0.025,0.05,1.5,120,197,-9.38,-123.68,0.381,0.93,109,4.73,0.2,0.44,109,0.7216117216117216
0.025,0.05,1.5,240,194,-11.49,-270.0,0.376,0.924,109,-0.17,-0.01,0.404,109,0.7106227106227107
0.035,0.0,1.0,120,267,-21.4,-84.43,0.393,0.861,131,8.59,0.26,0.412,131,0.978021978021978
0.035,0.0,1.0,240,265,-7.09,-129.84,0.389,0.959,131,23.96,0.61,0.397,131,0.9706959706959707
0.035,0.0,1.5,120,183,-17.59,-90.08,0.377,0.889,109,10.68,0.26,0.404,109,0.6703296703296703
0.035,0.0,1.5,240,182,-3.77,-170.84,0.363,0.979,109,24.21,0.5,0.376,109,0.6666666666666666
0.035,0.05,1.0,120,286,-13.87,-67.16,0.43,0.904,131,-3.71,-0.18,0.481,131,1.0476190476190477
0.035,0.05,1.0,240,283,0.37,-51.75,0.456,1.002,131,3.55,0.16,0.473,131,1.0366300366300367
0.035,0.05,1.5,120,196,-15.12,-70.77,0.423,0.897,109,-1.54,-0.06,0.459,109,0.717948717948718
0.035,0.05,1.5,240,193,-5.28,-88.77,0.44,0.968,109,2.36,0.08,0.44,109,0.706959706959707
