F_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.0003,480,fade_both,2431,-8.42,-34.72,0.444,0.951,270,-0.23,-0.01,0.463,270,8.904761904761905
0.0003,480,short_only,338,107.38,21.73,0.544,1.729,120,116.72,2.86,0.517,120,1.2380952380952381
0.0003,480,long_only,2093,-27.12,-55.73,0.428,0.847,261,-37.5,-2.03,0.391,261,7.666666666666667
0.0003,960,fade_both,1550,-7.4,-61.52,0.448,0.97,267,-6.49,-0.21,0.461,267,5.677655677655678
0.0003,960,short_only,233,124.9,30.58,0.532,1.532,118,179.77,2.73,0.551,118,0.8534798534798534
0.0003,960,long_only,1317,-30.81,-85.15,0.433,0.876,256,-68.29,-2.17,0.395,256,4.824175824175824
0.0005,480,fade_both,1173,-17.65,-71.71,0.41,0.911,230,-16.74,-0.69,0.409,230,4.2967032967032965
0.0005,480,short_only,117,131.93,15.46,0.53,1.916,57,69.84,0.98,0.526,57,0.42857142857142855
0.0005,480,long_only,1056,-34.22,-84.31,0.397,0.832,214,-43.3,-1.76,0.388,214,3.868131868131868
0.0005,960,fade_both,754,-39.38,-108.64,0.397,0.861,228,-51.77,-1.42,0.417,228,2.761904761904762
0.0005,960,short_only,77,140.32,-16.03,0.481,1.56,54,126.29,1.08,0.537,54,0.28205128205128205
0.0005,960,long_only,677,-59.82,-121.01,0.387,0.792,212,-71.97,-1.92,0.401,212,2.47985347985348
