max_sweep,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.005,60,both,29035,-19.95,-13.63,0.439,0.654,272,-12.8,-5.29,0.353,272,106.35531135531136
0.005,60,fade_high,13815,-19.9,-11.96,0.445,0.657,267,6.7,1.63,0.472,267,50.604395604395606
0.005,60,fade_low,15227,-20.0,-14.68,0.433,0.652,264,5.15,0.9,0.492,264,55.776556776556774
0.005,120,both,24927,-21.76,-13.5,0.455,0.716,272,-11.09,-3.01,0.408,272,91.3076923076923
0.005,120,fade_high,11947,-21.03,-8.12,0.473,0.726,267,15.66,2.89,0.536,267,43.76190476190476
0.005,120,fade_low,13020,-22.84,-18.68,0.439,0.703,263,18.59,2.55,0.593,263,47.69230769230769
0.005,240,both,20842,-25.85,-14.03,0.464,0.745,272,-11.13,-1.98,0.478,272,76.34432234432235
0.005,240,fade_high,10132,-24.35,-7.71,0.478,0.755,267,36.21,4.32,0.61,267,37.11355311355312
0.005,240,fade_low,10857,-27.53,-20.77,0.451,0.735,263,37.12,3.65,0.639,263,39.76923076923077
0.01,60,both,34110,-19.2,-12.81,0.445,0.681,272,-12.26,-4.89,0.364,272,124.94505494505495
0.01,60,fade_high,16017,-19.77,-11.46,0.451,0.678,268,7.4,1.82,0.485,268,58.67032967032967
0.01,60,fade_low,18106,-18.85,-13.88,0.44,0.682,265,3.66,0.7,0.502,265,66.32234432234432
0.01,120,both,28793,-20.15,-12.93,0.459,0.744,272,-9.7,-2.57,0.419,272,105.46886446886447
0.01,120,fade_high,13586,-20.79,-6.72,0.478,0.74,268,15.27,2.81,0.56,268,49.765567765567766
0.01,120,fade_low,15259,-20.26,-18.36,0.443,0.741,264,18.79,2.66,0.572,264,55.89377289377289
0.01,240,both,23553,-24.63,-13.22,0.468,0.765,272,-11.06,-1.93,0.489,272,86.27472527472527
0.01,240,fade_high,11320,-25.86,-6.77,0.483,0.754,268,34.41,4.11,0.59,268,41.46520146520147
0.01,240,fade_low,12448,-24.87,-20.0,0.453,0.765,264,36.32,3.6,0.625,264,45.5970695970696
0.015,60,both,35221,-18.65,-12.63,0.447,0.693,272,-11.79,-4.73,0.357,272,129.01465201465203
0.015,60,fade_high,16510,-19.62,-11.33,0.452,0.685,268,8.39,2.04,0.474,268,60.476190476190474
0.015,60,fade_low,18724,-17.93,-13.68,0.441,0.699,266,3.86,0.74,0.504,266,68.58608058608058
0.015,120,both,29653,-19.25,-12.78,0.46,0.758,272,-9.04,-2.39,0.419,272,108.61904761904762
0.015,120,fade_high,13964,-20.78,-6.76,0.478,0.745,268,17.16,3.05,0.563,268,51.15018315018315
0.015,120,fade_low,15749,-18.67,-17.86,0.445,0.762,265,19.01,2.68,0.566,265,57.688644688644686
0.015,240,both,24146,-23.76,-12.68,0.47,0.775,272,-10.52,-1.84,0.493,272,88.44688644688645
0.015,240,fade_high,11591,-25.98,-6.54,0.484,0.756,268,37.55,4.28,0.586,268,42.45787545787546
0.015,240,fade_low,12797,-23.08,-20.0,0.457,0.782,265,34.44,3.39,0.623,265,46.875457875457876
