pair,issues,first,last,rows,gaps,max_gap,funding_first,funding_unmatched_by_mark,mark_missing_hours
1000BONK_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
1000FLOKI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
1000PEPE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
1000SHIB_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
AAVE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
ADA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
AI16Z_USDT_USDT,,2025-01-02 13:45:00+00:00,2026-08-31 23:59:00+00:00,873255,0,0 days 00:01:00,2025-01-02 16:00:00+00:00,0,0
AIXBT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
APT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
ARB_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
ATOM_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
AVAX_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
BCH_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
BNB_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
BTC_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
CRV_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
DOGE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
DOT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
EIGEN_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
ENA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
ETC_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
