A,V,hold,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
3,5,60,follow,47902,-19.25,-20.0,0.373,0.57,273,-19.79,-15.01,0.04,273,175.46520146520146
3,5,60,fade,47902,-20.6,-20.0,0.375,0.546,273,-20.06,-15.22,0.018,273,175.46520146520146
3,5,240,follow,29366,-18.4,-20.0,0.441,0.771,273,-18.6,-8.77,0.198,273,107.56776556776556
3,5,240,fade,29366,-21.41,-20.0,0.439,0.738,273,-21.22,-10.01,0.172,273,107.56776556776556
3,10,60,follow,22040,-20.57,-20.82,0.368,0.559,273,-21.73,-9.29,0.092,273,80.73260073260073
3,10,60,fade,22040,-19.29,-18.92,0.382,0.578,273,-18.13,-7.75,0.073,273,80.73260073260073
3,10,240,follow,15659,-18.1,-20.0,0.436,0.772,273,-18.0,-4.63,0.26,273,57.35897435897436
3,10,240,fade,15659,-21.73,-19.95,0.438,0.732,273,-21.84,-5.62,0.22,273,57.35897435897436
5,5,60,follow,12719,-18.34,-18.38,0.376,0.556,273,-18.91,-17.22,0.11,273,46.58974358974359
5,5,60,fade,12719,-21.58,-21.31,0.359,0.501,273,-21.02,-19.15,0.092,273,46.58974358974359
5,5,240,follow,9992,-15.22,-19.15,0.443,0.791,273,-13.97,-5.39,0.319,273,36.6007326007326
5,5,240,fade,9992,-24.68,-20.7,0.433,0.683,273,-25.95,-10.01,0.231,273,36.6007326007326
5,10,60,follow,6432,-19.6,-19.45,0.374,0.549,272,-20.18,-12.3,0.195,272,23.560439560439562
5,10,60,fade,6432,-20.33,-20.4,0.364,0.538,272,-19.76,-12.05,0.173,272,23.560439560439562
5,10,240,follow,5310,-15.5,-19.01,0.441,0.79,272,-11.0,-2.8,0.353,272,19.45054945054945
5,10,240,fade,5310,-24.43,-20.77,0.432,0.689,272,-28.93,-7.35,0.261,272,19.45054945054945
