K,P,hold,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
1,0.9,240,long_high,19116,-27.18,-28.17,0.433,0.725,237,-20.02,-3.43,0.456,237,70.02197802197803
1,0.9,240,short_low,18110,-18.1,-14.03,0.462,0.812,237,-11.12,-1.95,0.426,237,66.33699633699634
1,0.9,1440,long_high,7878,-64.74,-58.71,0.45,0.746,237,-40.08,-1.58,0.485,237,28.857142857142858
1,0.9,1440,short_low,7609,-1.57,-12.34,0.489,0.993,237,15.15,0.61,0.456,237,27.871794871794872
1,0.95,240,long_high,11907,-25.11,-27.35,0.433,0.742,237,-16.96,-2.74,0.456,237,43.61538461538461
1,0.95,240,short_low,10813,-22.56,-17.22,0.458,0.771,236,-14.31,-2.39,0.386,236,39.608058608058606
1,0.95,1440,long_high,5949,-69.17,-64.96,0.446,0.736,236,-37.73,-1.44,0.487,236,21.791208791208792
1,0.95,1440,short_low,5539,-17.58,-19.26,0.485,0.923,235,16.21,0.63,0.494,235,20.28937728937729
5,0.9,240,long_high,16082,-23.89,-23.14,0.444,0.756,237,-12.23,-2.06,0.485,237,58.908424908424905
5,0.9,240,short_low,15138,-21.84,-14.74,0.46,0.78,237,-6.76,-1.07,0.443,237,55.45054945054945
5,0.9,1440,long_high,6283,-55.32,-47.77,0.458,0.784,237,-18.64,-0.7,0.511,237,23.014652014652015
5,0.9,1440,short_low,6173,-11.34,0.85,0.501,0.951,237,23.6,0.93,0.511,237,22.611721611721613
5,0.95,240,long_high,10237,-23.04,-23.49,0.445,0.764,237,-7.41,-1.2,0.511,237,37.498168498168496
5,0.95,240,short_low,9185,-22.61,-14.71,0.463,0.776,237,-3.28,-0.49,0.451,237,33.64468864468864
5,0.95,1440,long_high,4695,-62.13,-51.45,0.456,0.758,235,-19.1,-0.7,0.498,235,17.197802197802197
5,0.95,1440,short_low,4427,-7.85,2.79,0.503,0.965,236,34.97,1.34,0.542,236,16.216117216117215
