base,T,day,price,fund,net
LPT,2025-08-27 12:00:00+00:00,2025-08-27,0.009422850412249772,0.00361365,0.010036500412249773
API3,2025-08-20 00:00:00+00:00,2025-08-20,0.005453607487655665,0.00451225,0.006965857487655664
LPT,2025-06-29 07:00:00+00:00,2025-06-29,0.006866696521868887,0.0008092,0.004675896521868887
API3,2025-04-13 16:00:00+00:00,2025-04-13,0.002649963864129079,0.002286,0.0019359638641290788
LPT,2025-05-31 01:00:00+00:00,2025-05-31,-0.017068191098407515,0.00976953,-0.010298661098407515
USUAL,2025-04-07 00:00:00+00:00,2025-04-07,0.0033698399326032025,0.00335039,0.0037202299326032024
ANIME,2025-02-24 00:00:00+00:00,2025-02-24,-0.003731343283582045,0.00186617,-0.004865173283582045
ENA,2025-02-22 04:00:00+00:00,2025-02-22,0.0053156146179402786,0.00205045,0.005366064617940279
ME,2025-02-12 08:00:00+00:00,2025-02-12,0.00829445308449972,0.00280611,0.008100563084499721
REZ,2025-03-07 08:00:00+00:00,2025-03-07,0.013829787234042712,0.01549001,0.02631979723404271
LPT,2025-08-29 08:00:00+00:00,2025-08-29,-0.0017943409247757058,0.00094973,-0.0038446109247757057
ACH,2025-02-18 16:00:00+00:00,2025-02-18,0.012740458656511633,0.00689325,0.016633708656511634
AUCTION,2025-03-16 16:00:00+00:00,2025-03-16,0.011138874672607546,0.00121645,0.009355324672607548
ME,2025-02-09 08:00:00+00:00,2025-02-09,0.010784901138406244,0.00559701,0.013381911138406245
MEW,2025-03-26 16:00:00+00:00,2025-03-26,0.004096834264432081,0.00502056,0.006117394264432081
LPT,2025-05-31 00:00:00+00:00,2025-05-31,-0.023512676763450813,0.00501175,-0.021500926763450813
LPT,2025-05-31 09:00:00+00:00,2025-05-31,0.010788456351703779,0.00428272,0.01207117635170378
API3,2025-08-20 23:00:00+00:00,2025-08-20,0.003739612188365715,0.00039656,0.001136172188365715
MOVE,2025-05-04 08:00:00+00:00,2025-05-04,0.0030012004801920344,0.00312171,0.004122910480192034
MOVE,2025-04-15 08:00:00+00:00,2025-04-15,0.0034188034188034067,0.00190298,0.003321783418803407
VANA,2025-03-21 08:00:00+00:00,2025-03-21,-0.015393149355151903,0.00014439,-0.018248759355151904
MEME,2025-04-18 12:00:00+00:00,2025-04-18,0.013014055179594086,0.00252044,0.012534495179594086
API3,2025-08-20 01:00:00+00:00,2025-08-20,-0.0008713561470214959,0.00252126,-0.001350096147021496
MOVE,2025-05-04 16:00:00+00:00,2025-05-04,0.009849362688296726,0.00217958,0.010028942688296726
BANANA,2025-02-11 04:00:00+00:00,2025-02-11,-0.002628504672897103,0.00023686,-0.005391644672897103
COOKIE,2025-02-11 00:00:00+00:00,2025-02-11,-0.014963659683625452,0.01142836,-0.006535299683625452
ME,2025-09-22 12:00:00+00:00,2025-09-22,-0.043290577207696135,0.01232636,-0.033964217207696136
ME,2025-02-10 00:00:00+00:00,2025-02-10,0.005325443786982298,0.00533566,0.007661103786982297
API3,2025-08-21 02:00:00+00:00,2025-08-21,0.00040807998367697884,0.00180821,-0.000783710016323021
MELANIA,2025-03-11 08:00:00+00:00,2025-03-11,0.005706134094151327,0.00408288,0.006789014094151328
MAGIC,2025-07-09 16:00:00+00:00,2025-07-09,0.00952858575727178,0.00471083,0.01123941575727178
OM,2025-08-03 16:00:00+00:00,2025-08-03,0.002087682672234026,0.00123332,0.0013210026722340258
PYTH,2025-08-29 08:00:00+00:00,2025-08-29,-0.010488676996424195,0.00142697,-0.012061706996424195
VANA,2025-01-23 12:00:00+00:00,2025-01-23,0.006670321637426868,0.01429774,0.01796806163742687
MAGIC,2025-04-21 20:00:00+00:00,2025-04-21,-0.014643545279383496,0.02189346,0.004249914720616504
UXLINK,2025-03-18 08:00:00+00:00,2025-03-18,0.00468427955780415,0.00233507,0.004019349557804149
MEW,2025-03-27 08:00:00+00:00,2025-03-27,0.007307270734380644,0.00278192,0.007089190734380644
VANA,2025-03-17 08:00:00+00:00,2025-03-17,0.003336234406730476,0.00231194,0.0026481744067304762
MOVE,2025-06-26 12:00:00+00:00,2025-06-26,0.004388370817334231,0.00643869,0.008827060817334231
COW,2025-04-13 20:00:00+00:00,2025-04-13,-0.005685618729096897,0.00275613,-0.0059294887290968976
