K,V,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
2.0,3.0,120,fade,3433,-15.77,-7.07,0.482,0.827,255,-10.43,-0.98,0.478,255,12.575091575091575
2.0,3.0,120,follow,3433,-23.69,-31.47,0.419,0.755,255,-28.95,-2.71,0.416,255,12.575091575091575
2.0,3.0,240,fade,3408,-22.87,-12.06,0.471,0.796,255,6.04,0.45,0.502,255,12.483516483516484
2.0,3.0,240,follow,3408,-16.59,-26.76,0.447,0.848,255,-45.41,-3.35,0.424,255,12.483516483516484
2.0,5.0,120,fade,1411,-32.03,-11.76,0.47,0.681,204,-17.79,-1.25,0.461,204,5.168498168498169
2.0,5.0,120,follow,1411,-7.34,-27.74,0.434,0.917,204,-21.33,-1.5,0.412,204,5.168498168498169
2.0,5.0,240,fade,1409,-25.99,-27.62,0.444,0.773,204,-3.87,-0.26,0.475,204,5.1611721611721615
2.0,5.0,240,follow,1409,-13.38,-10.98,0.479,0.875,204,-35.26,-2.33,0.441,204,5.1611721611721615
3.0,3.0,120,fade,721,-40.31,-15.21,0.474,0.652,129,-26.8,-1.22,0.481,129,2.641025641025641
3.0,3.0,120,follow,721,0.92,-23.5,0.456,1.01,129,-12.39,-0.56,0.411,129,2.641025641025641
3.0,3.0,240,fade,720,-5.95,4.26,0.504,0.945,129,-12.73,-0.59,0.496,129,2.6373626373626373
3.0,3.0,240,follow,720,-33.45,-44.26,0.435,0.728,129,-26.47,-1.23,0.411,129,2.6373626373626373
3.0,5.0,120,fade,528,-29.94,8.73,0.523,0.733,112,-38.69,-1.31,0.473,112,1.934065934065934
3.0,5.0,120,follow,528,-9.42,-48.24,0.396,0.91,112,-0.46,-0.02,0.411,112,1.934065934065934
3.0,5.0,240,fade,527,6.88,13.33,0.52,1.065,112,-20.88,-0.83,0.473,112,1.9304029304029304
3.0,5.0,240,follow,527,-46.26,-51.96,0.421,0.657,112,-18.27,-0.73,0.42,112,1.9304029304029304
