LB,V,hold_h,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
24,1.0,4,long,12119,-13.53,-29.02,0.431,0.874,272,-70.7,-7.19,0.272,272,44.391941391941394
24,1.0,4,short,14916,-11.0,-16.5,0.46,0.889,272,-60.0,-7.72,0.287,272,54.637362637362635
24,1.0,12,long,8111,-4.12,-23.22,0.469,0.975,271,-99.76,-5.76,0.343,271,29.71062271062271
24,1.0,12,short,9651,4.83,-0.98,0.499,1.03,272,-78.97,-4.45,0.349,272,35.35164835164835
24,1.0,24,long,6268,-8.82,-50.11,0.457,0.962,272,-107.73,-4.08,0.375,272,22.95970695970696
24,1.0,24,short,7249,6.52,4.96,0.504,1.03,271,-102.52,-3.95,0.387,271,26.553113553113555
24,1.5,4,long,7627,-14.37,-31.06,0.431,0.878,271,-69.2,-7.44,0.321,271,27.937728937728938
24,1.5,4,short,9351,-10.67,-17.59,0.455,0.899,268,-60.23,-6.48,0.295,268,34.252747252747255
24,1.5,12,long,5863,-1.47,-23.75,0.471,0.991,270,-96.74,-5.22,0.367,270,21.476190476190474
24,1.5,12,short,7013,-3.89,-10.45,0.486,0.977,268,-97.24,-5.05,0.332,268,25.68864468864469
24,1.5,24,long,4858,-7.32,-49.96,0.456,0.969,271,-112.15,-4.05,0.391,271,17.794871794871796
24,1.5,24,short,5677,7.26,-3.36,0.497,1.034,267,-110.48,-4.14,0.371,267,20.794871794871796
72,1.0,4,long,6353,-16.19,-35.56,0.422,0.859,267,-69.37,-6.85,0.33,267,23.27106227106227
72,1.0,4,short,8958,-7.68,-21.65,0.453,0.928,254,-62.65,-7.0,0.287,254,32.81318681318681
72,1.0,12,long,4328,-16.71,-41.2,0.447,0.907,263,-114.7,-5.6,0.35,263,15.853479853479854
72,1.0,12,short,5788,10.92,-10.98,0.486,1.066,252,-85.38,-4.36,0.341,252,21.2014652014652
72,1.0,24,long,3353,-31.88,-73.63,0.432,0.877,261,-139.84,-4.29,0.375,261,12.282051282051283
72,1.0,24,short,4375,7.15,-18.22,0.484,1.032,253,-125.29,-4.09,0.379,253,16.025641025641026
72,1.5,4,long,4235,-18.95,-38.56,0.425,0.85,260,-75.58,-6.08,0.365,260,15.512820512820513
72,1.5,4,short,6058,-10.93,-27.73,0.438,0.905,244,-56.89,-5.1,0.324,244,22.19047619047619
72,1.5,12,long,3265,-18.39,-43.59,0.445,0.903,255,-106.14,-4.53,0.376,255,11.95970695970696
72,1.5,12,short,4463,4.02,-24.96,0.47,1.023,243,-94.8,-4.37,0.333,243,16.347985347985347
72,1.5,24,long,2696,-29.06,-80.7,0.432,0.89,254,-122.39,-3.56,0.425,254,9.875457875457876
72,1.5,24,short,3574,7.29,-17.51,0.486,1.032,242,-105.86,-3.32,0.384,242,13.091575091575091
