W,R_thr,arm,hold,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
60,0.015,divergence,60,3813,-14.45,-7.97,0.474,0.783,267,-8.93,-2.3,0.461,267,13.967032967032967
60,0.015,divergence,120,3662,-2.78,8.89,0.52,0.966,267,-0.85,-0.16,0.502,267,13.413919413919414
60,0.015,continuation,60,77798,-22.64,-29.16,0.396,0.662,273,-24.4,-14.95,0.161,273,284.97435897435895
60,0.015,continuation,120,60539,-21.05,-29.33,0.422,0.753,273,-24.38,-9.43,0.249,273,221.75457875457874
60,0.025,divergence,60,892,-16.53,-3.0,0.494,0.794,202,-7.43,-0.77,0.525,202,3.2673992673992673
60,0.025,divergence,120,870,-2.92,24.61,0.539,0.97,202,6.26,0.55,0.559,202,3.1868131868131866
60,0.025,continuation,60,29672,-25.74,-35.74,0.406,0.693,273,-29.48,-11.56,0.216,273,108.68864468864469
60,0.025,continuation,120,25353,-27.67,-40.12,0.422,0.744,273,-33.3,-8.41,0.267,273,92.86813186813187
120,0.015,divergence,60,2920,-16.31,-13.89,0.447,0.714,269,-16.2,-4.44,0.353,269,10.695970695970695
120,0.015,divergence,120,2553,-14.74,-11.33,0.471,0.805,269,-12.34,-2.33,0.42,269,9.351648351648352
120,0.015,continuation,60,60604,-20.65,-27.45,0.392,0.656,273,-25.02,-13.62,0.165,273,221.99267399267399
120,0.015,continuation,120,45235,-21.14,-28.52,0.417,0.729,273,-26.12,-8.37,0.249,273,165.6959706959707
120,0.025,divergence,60,816,-12.17,-8.41,0.471,0.82,199,-11.54,-1.34,0.427,199,2.989010989010989
120,0.025,divergence,120,733,-13.16,-9.91,0.476,0.853,199,-4.36,-0.41,0.467,199,2.6849816849816848
120,0.025,continuation,60,29165,-22.73,-30.49,0.406,0.685,273,-30.4,-12.0,0.194,273,106.83150183150182
120,0.025,continuation,120,22993,-21.84,-32.14,0.424,0.762,273,-30.56,-7.35,0.304,273,84.22344322344323
