W,OI_thr,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
12,0.05,120,363,-50.52,-29.52,0.421,0.68,161,-60.23,-2.42,0.391,161,1.3296703296703296
12,0.05,240,351,-29.13,-24.92,0.476,0.84,161,-39.42,-1.58,0.435,161,1.2857142857142858
12,0.05,720,333,-57.35,-36.47,0.468,0.801,161,-59.76,-1.32,0.46,161,1.2197802197802199
12,0.08,120,64,14.71,19.4,0.547,1.112,52,11.83,0.18,0.5,52,0.23443223443223443
12,0.08,240,63,90.57,71.44,0.619,1.785,52,81.93,1.25,0.615,52,0.23076923076923078
12,0.08,720,62,71.86,32.76,0.532,1.313,52,88.61,0.91,0.558,52,0.2271062271062271
48,0.08,120,315,-0.43,-19.84,0.451,0.997,154,-8.57,-0.38,0.455,154,1.1538461538461537
48,0.08,240,300,7.28,9.15,0.51,1.045,154,-10.3,-0.39,0.494,154,1.098901098901099
48,0.08,720,275,17.05,-30.06,0.487,1.067,151,-2.44,-0.05,0.503,151,1.0073260073260073
48,0.12,120,86,65.03,-8.86,0.488,1.609,65,63.65,1.27,0.523,65,0.315018315018315
48,0.12,240,84,15.39,39.04,0.56,1.106,65,-6.01,-0.11,0.538,65,0.3076923076923077
48,0.12,720,79,120.45,-10.92,0.494,1.533,65,121.82,1.15,0.492,65,0.2893772893772894
