pat,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
inside,60,both,46426,-19.57,-21.33,0.381,0.624,273,-19.59,-12.54,0.172,273,170.05860805860806
inside,60,long,24360,-19.65,-22.73,0.372,0.633,273,-22.63,-9.18,0.22,273,89.23076923076923
inside,60,short,25281,-20.19,-20.05,0.388,0.609,273,-22.28,-9.89,0.205,273,92.6043956043956
inside,120,both,44871,-17.72,-23.05,0.411,0.744,273,-17.28,-7.39,0.256,273,164.36263736263737
inside,120,long,23919,-18.07,-23.72,0.409,0.743,273,-23.19,-5.86,0.326,273,87.61538461538461
inside,120,short,24822,-17.62,-22.37,0.414,0.744,273,-21.56,-5.59,0.282,273,90.92307692307692
inside,240,both,36104,-19.5,-25.3,0.432,0.794,273,-19.26,-5.77,0.293,273,132.24908424908426
inside,240,long,21433,-22.47,-25.89,0.431,0.767,273,-30.46,-4.79,0.399,273,78.5091575091575
inside,240,short,21885,-16.17,-23.84,0.435,0.826,273,-23.04,-3.98,0.348,273,80.16483516483517
inside,480,both,26276,-20.04,-20.66,0.463,0.85,273,-19.23,-3.57,0.388,273,96.24908424908425
inside,480,long,17542,-24.73,-27.59,0.452,0.819,273,-35.77,-3.32,0.429,273,64.25641025641026
inside,480,short,17859,-14.18,-16.38,0.471,0.891,273,-24.95,-2.36,0.421,273,65.41758241758242
nr4,60,both,86477,-21.6,-23.14,0.37,0.582,273,-21.32,-17.15,0.136,273,316.76556776556777
nr4,60,long,45937,-21.44,-24.41,0.362,0.594,273,-25.04,-11.13,0.183,273,168.26739926739927
nr4,60,short,49010,-21.77,-22.07,0.378,0.575,273,-24.5,-11.87,0.194,273,179.52380952380952
nr4,120,both,74200,-19.3,-23.38,0.409,0.715,273,-19.24,-9.15,0.22,273,271.79487179487177
nr4,120,long,42447,-19.26,-25.2,0.401,0.718,273,-25.98,-7.23,0.341,273,155.4835164835165
nr4,120,short,44916,-20.3,-22.47,0.413,0.702,273,-25.83,-6.73,0.278,273,164.52747252747253
nr4,240,both,56865,-16.43,-22.16,0.44,0.821,273,-16.77,-5.35,0.289,273,208.2967032967033
nr4,240,long,36192,-18.52,-25.58,0.429,0.799,273,-29.45,-4.89,0.388,273,132.57142857142858
nr4,240,short,37971,-18.65,-20.44,0.444,0.798,273,-27.24,-4.47,0.333,273,139.0879120879121
nr4,480,both,35906,-11.47,-16.45,0.471,0.908,273,-11.29,-2.47,0.341,273,131.52380952380952
nr4,480,long,26488,-18.72,-23.55,0.454,0.851,273,-33.31,-3.39,0.44,273,97.02564102564102
nr4,480,short,27331,-17.16,-19.08,0.466,0.867,273,-28.64,-2.63,0.388,273,100.11355311355311
