period,C_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
14,40,60,both,69031,-23.22,-26.01,0.383,0.635,273,-30.85,-14.58,0.132,273,252.86080586080587
14,40,60,long,33281,-21.63,-28.56,0.371,0.664,273,-39.69,-14.15,0.143,273,121.9084249084249
14,40,60,short,35758,-24.64,-23.64,0.394,0.609,273,-45.71,-12.82,0.161,273,130.981684981685
14,40,120,both,46855,-23.63,-28.3,0.405,0.71,273,-31.3,-9.39,0.238,273,171.63003663003664
14,40,120,long,22760,-21.39,-30.64,0.394,0.739,273,-46.01,-10.54,0.231,273,83.36996336996337
14,40,120,short,24260,-24.71,-26.16,0.415,0.694,273,-55.88,-9.15,0.238,273,88.86446886446886
14,40,240,both,33950,-20.79,-28.11,0.431,0.799,273,-25.76,-4.74,0.366,273,124.35897435897436
14,40,240,long,17074,-15.12,-31.47,0.422,0.852,273,-51.07,-7.3,0.352,273,62.54212454212454
14,40,240,short,18238,-22.2,-23.96,0.444,0.785,273,-63.93,-6.52,0.3,273,66.8058608058608
14,50,60,both,42209,-25.07,-27.27,0.383,0.626,273,-35.9,-14.38,0.158,273,154.6117216117216
14,50,60,long,20303,-22.34,-29.76,0.371,0.668,273,-44.18,-13.58,0.158,273,74.36996336996337
14,50,60,short,21912,-27.45,-24.7,0.395,0.59,271,-47.29,-12.57,0.155,271,80.26373626373626
14,50,120,both,30029,-26.7,-31.17,0.401,0.688,273,-37.22,-9.61,0.264,273,109.99633699633699
14,50,120,long,14477,-23.21,-35.16,0.39,0.73,273,-51.0,-10.58,0.234,273,53.02930402930403
14,50,120,short,15581,-28.8,-27.99,0.412,0.662,271,-59.84,-9.42,0.244,271,57.07326007326007
14,50,240,both,23413,-24.05,-29.83,0.428,0.778,273,-30.57,-4.91,0.377,273,85.76190476190476
14,50,240,long,11623,-15.96,-34.01,0.416,0.851,273,-54.48,-7.22,0.319,273,42.57509157509158
14,50,240,short,12355,-27.17,-25.64,0.443,0.75,271,-66.19,-6.47,0.332,271,45.256410256410255
