tb_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.55,60,both,11345,-26.88,-27.53,0.357,0.548,273,-26.89,-8.74,0.245,273,41.556776556776555
0.55,60,long,4651,-19.14,-24.19,0.366,0.65,272,-27.41,-6.78,0.254,272,17.036630036630036
0.55,60,short,6708,-32.22,-29.84,0.351,0.486,272,-37.48,-8.86,0.261,272,24.571428571428573
0.55,120,both,11219,-28.6,-28.6,0.393,0.623,273,-28.08,-6.39,0.289,273,41.095238095238095
0.55,120,long,4632,-22.53,-27.65,0.398,0.68,272,-33.31,-5.49,0.294,272,16.967032967032967
0.55,120,short,6672,-32.92,-29.81,0.39,0.587,272,-40.76,-6.37,0.298,272,24.439560439560438
0.55,240,both,10968,-26.93,-29.57,0.427,0.721,273,-30.14,-5.35,0.315,273,40.175824175824175
0.55,240,long,4594,-21.2,-29.71,0.426,0.767,272,-42.16,-4.97,0.357,272,16.82783882783883
0.55,240,short,6599,-31.47,-29.79,0.427,0.688,272,-52.95,-5.64,0.316,272,24.17216117216117
0.6,60,both,6168,-25.99,-26.36,0.351,0.524,273,-23.91,-7.07,0.253,273,22.593406593406595
0.6,60,long,2198,-17.58,-21.46,0.365,0.64,265,-23.19,-5.8,0.317,265,8.051282051282051
0.6,60,short,3978,-30.49,-29.33,0.344,0.471,271,-33.22,-7.28,0.251,271,14.571428571428571
0.6,120,both,6141,-26.38,-27.98,0.39,0.623,273,-26.55,-4.88,0.297,273,22.494505494505493
0.6,120,long,2194,-19.15,-25.05,0.397,0.691,265,-28.93,-4.89,0.377,265,8.036630036630036
0.6,120,short,3972,-30.51,-30.11,0.386,0.59,271,-40.3,-5.39,0.306,271,14.54945054945055
0.6,240,both,6059,-24.25,-27.33,0.428,0.73,273,-27.86,-3.84,0.326,273,22.194139194139193
0.6,240,long,2185,-22.63,-29.35,0.421,0.728,265,-38.26,-4.1,0.381,265,8.003663003663004
0.6,240,short,3943,-25.57,-25.74,0.432,0.727,271,-45.85,-4.28,0.31,271,14.443223443223443
0.65,60,both,2420,-24.62,-25.19,0.343,0.501,269,-26.82,-6.22,0.257,269,8.864468864468865
0.65,60,long,761,-14.45,-20.0,0.355,0.674,229,-14.88,-1.83,0.349,229,2.7875457875457874
0.65,60,short,1659,-29.28,-28.73,0.338,0.433,255,-34.16,-6.84,0.282,255,6.076923076923077
0.65,120,both,2416,-20.19,-24.31,0.396,0.663,269,-20.16,-3.23,0.305,269,8.84981684981685
0.65,120,long,761,-12.05,-21.3,0.401,0.77,229,-14.02,-1.64,0.384,229,2.7875457875457874
0.65,120,short,1659,-24.26,-26.31,0.393,0.619,255,-27.85,-3.75,0.365,255,6.076923076923077
0.65,240,both,2401,-17.51,-22.86,0.439,0.774,269,-18.66,-2.52,0.353,269,8.794871794871796
0.65,240,long,759,-15.56,-23.57,0.44,0.784,229,-18.91,-1.6,0.397,229,2.78021978021978
0.65,240,short,1656,-18.69,-23.47,0.437,0.768,255,-27.88,-2.9,0.345,255,6.065934065934066
