oi_thr,p_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.02,0.02,60,long_bounce,22113,-0.63,-7.45,0.485,0.994,273,-5.83,-1.16,0.465,273,81.0
0.02,0.02,60,short_exhaust,120,-72.23,-154.4,0.342,0.649,58,49.28,0.87,0.569,58,0.43956043956043955
0.02,0.02,60,both,22181,-0.65,-7.54,0.485,0.994,273,-5.78,-1.17,0.465,273,81.24908424908425
0.02,0.02,120,long_bounce,19655,-11.9,-5.75,0.492,0.918,273,-10.58,-1.51,0.436,273,71.99633699633699
0.02,0.02,120,short_exhaust,119,-16.19,-123.78,0.336,0.914,58,97.46,1.26,0.517,58,0.4358974358974359
0.02,0.02,120,both,19713,-11.97,-5.94,0.491,0.918,273,-10.45,-1.51,0.429,273,72.20879120879121
0.02,0.02,240,long_bounce,17007,-19.03,-15.81,0.484,0.895,273,-9.27,-0.84,0.487,273,62.2967032967033
0.02,0.02,240,short_exhaust,119,-73.82,-165.73,0.336,0.721,58,60.98,0.6,0.534,58,0.4358974358974359
0.02,0.02,240,both,17049,-19.63,-16.32,0.483,0.892,273,-10.04,-0.92,0.48,273,62.45054945054945
0.02,0.03,60,long_bounce,8217,6.69,0.53,0.501,1.055,271,-5.3,-0.65,0.48,271,30.0989010989011
0.02,0.03,60,short_exhaust,44,77.54,-9.67,0.477,1.535,31,146.98,1.69,0.581,31,0.16117216117216118
0.02,0.03,60,both,8249,7.19,0.69,0.501,1.059,271,-4.82,-0.61,0.48,271,30.216117216117215
0.02,0.03,120,long_bounce,7578,-16.03,11.78,0.514,0.911,271,-23.54,-2.03,0.45,271,27.75824175824176
0.02,0.03,120,short_exhaust,44,178.49,35.91,0.523,2.325,31,295.57,2.76,0.613,31,0.16117216117216118
0.02,0.03,120,both,7603,-15.14,12.15,0.515,0.916,271,-21.85,-1.91,0.454,271,27.84981684981685
0.02,0.03,240,long_bounce,6815,-23.32,-0.12,0.5,0.894,271,-25.62,-1.66,0.446,271,24.963369963369964
0.02,0.03,240,short_exhaust,44,170.92,38.85,0.545,1.988,31,269.68,2.07,0.645,31,0.16117216117216118
0.02,0.03,240,both,6835,-22.53,-0.0,0.5,0.897,271,-24.47,-1.58,0.443,271,25.036630036630036
0.04,0.02,60,long_bounce,8594,-0.49,-3.46,0.494,0.996,273,-16.49,-1.61,0.443,273,31.479853479853478
0.04,0.02,60,short_exhaust,74,-112.3,-186.65,0.243,0.431,25,95.72,1.14,0.56,25,0.27106227106227104
0.04,0.02,60,both,8645,-0.92,-4.39,0.492,0.992,273,-17.53,-1.73,0.44,273,31.666666666666668
0.04,0.02,120,long_bounce,7976,-16.25,-3.85,0.495,0.904,273,-26.01,-1.94,0.436,273,29.216117216117215
0.04,0.02,120,short_exhaust,73,-50.68,-128.61,0.274,0.71,25,175.33,1.41,0.52,25,0.2673992673992674
0.04,0.02,120,both,8025,-16.62,-5.0,0.494,0.902,273,-26.7,-2.0,0.44,273,29.395604395604394
0.04,0.02,240,long_bounce,7196,-35.18,-22.92,0.477,0.84,273,-31.05,-1.97,0.454,273,26.358974358974358
0.04,0.02,240,short_exhaust,73,-101.88,-204.24,0.219,0.585,25,121.67,0.75,0.48,25,0.2673992673992674
0.04,0.02,240,both,7238,-35.76,-25.19,0.476,0.837,273,-32.56,-2.08,0.451,273,26.512820512820515
0.04,0.03,60,long_bounce,5725,1.71,5.31,0.508,1.013,269,-12.82,-1.01,0.465,269,20.97069597069597
0.04,0.03,60,short_exhaust,27,-38.95,-151.48,0.37,0.797,17,94.35,0.77,0.529,17,0.0989010989010989
0.04,0.03,60,both,5746,1.92,5.33,0.508,1.015,270,-12.23,-0.97,0.459,270,21.047619047619047
0.04,0.03,120,long_bounce,5340,-19.19,10.87,0.514,0.898,269,-31.64,-1.95,0.45,269,19.560439560439562
0.04,0.03,120,short_exhaust,27,77.34,-78.28,0.407,1.41,17,274.02,1.58,0.588,17,0.0989010989010989
0.04,0.03,120,both,5359,-18.69,10.88,0.514,0.901,270,-29.7,-1.84,0.452,270,19.63003663003663
0.04,0.03,240,long_bounce,4883,-35.01,-6.74,0.495,0.853,269,-39.17,-2.07,0.454,269,17.886446886446887
0.04,0.03,240,short_exhaust,27,95.71,-189.4,0.37,1.397,17,303.31,1.37,0.529,17,0.0989010989010989
0.04,0.03,240,both,4898,-34.08,-6.4,0.496,0.857,270,-37.77,-2.0,0.456,270,17.94139194139194
