z_thr,hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
2.0,480,both,12132,-22.16,-20.0,0.47,0.859,270,-7.37,-0.71,0.485,270,44.43956043956044
2.0,480,short_only,1151,-0.48,20.29,0.52,0.998,233,34.48,1.31,0.515,233,4.216117216117216
2.0,480,long_only,10987,-24.9,-23.13,0.464,0.838,268,2.24,0.15,0.466,268,40.24542124542125
2.0,960,both,9428,-16.23,-22.93,0.475,0.924,270,6.63,0.38,0.504,270,34.53479853479853
2.0,960,short_only,935,65.3,61.07,0.566,1.278,229,69.68,1.78,0.568,229,3.4249084249084247
2.0,960,long_only,8508,-24.36,-32.79,0.466,0.885,268,7.47,0.34,0.5,268,31.164835164835164
2.5,480,both,8928,-23.81,-24.17,0.465,0.856,270,-9.78,-0.87,0.452,270,32.7032967032967
2.5,480,short_only,849,15.26,34.47,0.542,1.077,207,45.92,1.47,0.502,207,3.10989010989011
2.5,480,long_only,8082,-28.48,-29.31,0.457,0.824,267,-0.26,-0.01,0.434,267,29.604395604395606
2.5,960,both,7181,-17.08,-24.98,0.475,0.923,270,3.68,0.2,0.481,270,26.304029304029303
2.5,960,short_only,714,88.96,85.99,0.587,1.38,202,99.41,2.14,0.564,202,2.6153846153846154
2.5,960,long_only,6478,-27.54,-38.15,0.463,0.875,267,4.19,0.18,0.472,267,23.72893772893773
3.0,480,both,6670,-24.7,-28.08,0.46,0.856,270,-10.77,-0.89,0.463,270,24.43223443223443
3.0,480,short_only,641,7.16,31.7,0.532,1.035,188,-0.38,-0.01,0.5,188,2.347985347985348
3.0,480,long_only,6031,-28.75,-34.1,0.452,0.829,265,-2.1,-0.11,0.46,265,22.09157509157509
3.0,960,both,5509,-15.43,-31.15,0.469,0.932,270,1.69,0.09,0.463,270,20.17948717948718
3.0,960,short_only,554,75.87,99.52,0.581,1.298,183,51.91,0.98,0.53,183,2.029304029304029
3.0,960,long_only,4963,-25.35,-45.51,0.457,0.888,265,0.31,0.01,0.449,265,18.17948717948718
