f_thr,min_streak,hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
0.003,1,120,557,-28.24,2.09,0.504,0.849,144,-19.33,-0.84,0.479,144,2.04029304029304
0.003,1,235,537,-39.06,16.05,0.518,0.846,144,-19.33,-0.57,0.556,144,1.967032967032967
0.003,2,120,307,4.72,16.64,0.515,1.029,97,39.87,1.37,0.526,97,1.1245421245421245
0.003,2,235,292,-29.8,6.25,0.507,0.88,97,-1.13,-0.02,0.515,97,1.0695970695970696
0.004,1,120,415,-23.53,19.71,0.525,0.88,127,2.91,0.1,0.528,127,1.52014652014652
0.004,1,235,398,-42.26,21.03,0.518,0.845,127,-10.65,-0.25,0.543,127,1.4578754578754578
0.004,2,120,221,1.43,27.99,0.525,1.008,80,47.32,1.44,0.55,80,0.8095238095238095
0.004,2,235,210,-28.93,14.77,0.519,0.892,80,11.35,0.18,0.512,80,0.7692307692307693
0.005,1,120,315,-39.49,0.23,0.502,0.819,113,-7.04,-0.19,0.504,113,1.1538461538461537
0.005,1,235,302,-64.0,-0.2,0.5,0.787,112,-35.63,-0.66,0.464,112,1.1062271062271063
0.005,2,120,158,-8.62,2.76,0.506,0.957,60,54.82,1.28,0.55,60,0.5787545787545788
0.005,2,235,150,-62.77,30.23,0.527,0.801,60,4.34,0.05,0.517,60,0.5494505494505495
