round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
51,MTF MA Ribbon Consensus,4706,-86.2,-93.09,0.4,0.619,-3.15,17.24,REJECT
52,MTF MA Ribbon Pullback Reclaim,4895,-74.9,-80.37,0.417,0.671,-2.76,17.93,REJECT
53,MTF SuperTrend 4h + 1h EMA Cross,32047,-32.72,-44.43,0.452,0.845,-1.91,117.39,REJECT
54,MTF SuperTrend 4h + 1h RSI Dip,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
55,MTF Donchian 4h Break + 1d Filter,4714,-147.71,-168.99,0.384,0.615,-2.72,17.27,REJECT
56,MTF Donchian 1h Break + ATR Exp,12598,-0.83,-36.38,0.473,0.997,-0.02,46.15,REJECT
57,MTF Dual Thrust Range Exp,60690,-12.42,-20.0,0.476,0.926,-0.99,222.31,REJECT
58,MTF 4h ADX Trend + 1h EMA Cross,23934,-38.29,-57.7,0.448,0.845,-1.79,87.67,REJECT
59,MTF MA Slope Consensus,6702,-68.68,-168.59,0.4,0.817,-1.4,24.55,REJECT
60,MTF Aroon Trend Onset,1374,-8.63,-29.64,0.451,0.963,-0.22,5.03,REJECT
61,MTF Guppy GMMA Expansion,25813,-37.47,-57.36,0.454,0.874,-1.51,94.55,REJECT
62,MTF Kaufman ER Trend Pulse,2746,-113.55,-108.63,0.418,0.693,-1.5,10.06,REJECT
63,MTF MACD Hist Burst + 4h ST,27021,-9.65,-27.11,0.472,0.953,-0.46,98.98,REJECT
64,MTF Keltner Breakout + 4h Trend,17031,-0.14,-34.92,0.471,0.999,-0.0,62.38,REJECT
65,MTF Keltner Break + SL/TP,27717,-1.34,-320.0,0.37,0.993,-0.08,101.53,REJECT
66,MTF Vortex Proxy Consensus,35404,-26.92,-56.17,0.451,0.891,-1.25,129.68,REJECT
67,MTF 3 Consecutive Trend Bars,33155,-7.17,-18.25,0.482,0.964,-0.39,121.45,REJECT
68,MTF Directional Momentum Thrust,18791,-19.06,-44.18,0.465,0.932,-0.52,68.83,REJECT
69,MTF Choppiness Gated Trend,11115,2.83,-32.5,0.476,1.011,0.07,40.71,REJECT
70,MTF CMF Flow + Trend Consensus,21701,-1.62,-41.88,0.465,0.993,-0.06,79.49,REJECT
71,MTF RSI<25 Dip in 1d Bull,527,-50.65,-20.0,0.476,0.71,-0.62,1.93,REJECT
72,MTF RSI<20 Deep Dip in 4h Bull,19,-30.88,-97.2,0.421,0.848,-0.29,0.07,REJECT
73,MTF BB %B Lower Reclaim,5530,-66.3,-71.67,0.418,0.656,-2.19,20.26,REJECT
