round,name,n_tr,mean_bp_tr,med_bp_tr,win_tr,pf_tr,day_t_tr,per_day_tr,status_tr,n_va,mean_bp_va,med_bp_va,win_va,pf_va,day_t_va,per_day_va,status_va
51,MTF MA Ribbon Consensus,4706,-86.2,-93.09,0.4,0.619,-3.15,17.24,REJECT,8142,10.89,-9.84,0.49,1.066,0.3,90.47,PROFITABLE
52,MTF MA Ribbon Pullback Reclaim,4895,-74.9,-80.37,0.417,0.671,-2.76,17.93,REJECT,7090,32.8,42.16,0.55,1.207,0.81,78.78,PROFITABLE
53,MTF SuperTrend 4h + 1h EMA Cross,32047,-32.72,-44.43,0.452,0.845,-1.91,117.39,REJECT,10416,-19.68,-20.0,0.474,0.879,-0.89,115.73,REJECT
54,MTF SuperTrend 4h + 1h RSI Dip,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
55,MTF Donchian 4h Break + 1d Filter,4714,-147.71,-168.99,0.384,0.615,-2.72,17.27,REJECT,2734,-58.74,-37.82,0.475,0.799,-0.63,30.38,REJECT
56,MTF Donchian 1h Break + ATR Exp,12598,-0.83,-36.38,0.473,0.997,-0.02,46.15,REJECT,4935,-88.31,-90.42,0.401,0.618,-2.27,54.83,REJECT
57,MTF Dual Thrust Range Exp,60690,-12.42,-20.0,0.476,0.926,-0.99,222.31,REJECT,20402,-6.18,-6.39,0.491,0.953,-0.33,226.69,REJECT
58,MTF 4h ADX Trend + 1h EMA Cross,23934,-38.29,-57.7,0.448,0.845,-1.79,87.67,REJECT,7543,-35.04,-39.41,0.453,0.828,-1.05,83.81,REJECT
59,MTF MA Slope Consensus,6702,-68.68,-168.59,0.4,0.817,-1.4,24.55,REJECT,1503,-122.66,-138.04,0.413,0.641,-1.73,16.7,REJECT
60,MTF Aroon Trend Onset,1374,-8.63,-29.64,0.451,0.963,-0.22,5.03,REJECT,1337,25.38,-20.0,0.346,1.233,0.8,14.86,PROFITABLE
61,MTF Guppy GMMA Expansion,25813,-37.47,-57.36,0.454,0.874,-1.51,94.55,REJECT,8937,-39.69,-20.0,0.471,0.831,-1.13,99.3,REJECT
62,MTF Kaufman ER Trend Pulse,2746,-113.55,-108.63,0.418,0.693,-1.5,10.06,REJECT,1355,-183.9,-154.75,0.387,0.451,-2.05,15.06,REJECT
63,MTF MACD Hist Burst + 4h ST,27021,-9.65,-27.11,0.472,0.953,-0.46,98.98,REJECT,8835,-16.77,-29.69,0.456,0.894,-0.65,98.17,REJECT
64,MTF Keltner Breakout + 4h Trend,17031,-0.14,-34.92,0.471,0.999,-0.0,62.38,REJECT,6633,-14.3,-20.0,0.449,0.917,-0.41,73.7,REJECT
65,MTF Keltner Break + SL/TP,27717,-1.34,-320.0,0.37,0.993,-0.08,101.53,REJECT,8780,-4.55,-320.0,0.369,0.975,-0.13,97.56,REJECT
66,MTF Vortex Proxy Consensus,35404,-26.92,-56.17,0.451,0.891,-1.25,129.68,REJECT,12096,-24.72,-20.0,0.465,0.871,-0.95,134.4,REJECT
67,MTF 3 Consecutive Trend Bars,33155,-7.17,-18.25,0.482,0.964,-0.39,121.45,REJECT,11046,15.37,9.56,0.513,1.102,0.59,122.73,PROFITABLE
68,MTF Directional Momentum Thrust,18791,-19.06,-44.18,0.465,0.932,-0.52,68.83,REJECT,5291,-68.76,-71.42,0.427,0.712,-1.53,58.79,REJECT
69,MTF Choppiness Gated Trend,11115,2.83,-32.5,0.476,1.011,0.07,40.71,PROFITABLE,4280,-38.13,-39.59,0.459,0.813,-0.88,47.56,REJECT
70,MTF CMF Flow + Trend Consensus,21701,-1.62,-41.88,0.465,0.993,-0.06,79.49,REJECT,7468,-28.99,-22.34,0.472,0.854,-0.98,82.98,REJECT
71,MTF RSI<25 Dip in 1d Bull,527,-50.65,-20.0,0.476,0.71,-0.62,1.93,REJECT,64,-166.23,-123.2,0.312,0.547,-1.29,0.71,REJECT
72,MTF RSI<20 Deep Dip in 4h Bull,19,-30.88,-97.2,0.421,0.848,-0.29,0.07,REJECT,12,110.76,-105.36,0.333,1.838,0.75,0.13,PROFITABLE
73,MTF BB %B Lower Reclaim,5530,-66.3,-71.67,0.418,0.656,-2.19,20.26,REJECT,1517,-43.91,-59.23,0.388,0.674,-1.35,16.86,REJECT
74,MTF BB 3-Sigma Stretch Fade,8560,-57.89,-25.01,0.469,0.756,-1.71,31.36,REJECT,3664,48.3,65.13,0.577,1.374,1.31,40.71,PROFITABLE
75,MTF Keltner 2-ATR Dip Bounce,4365,-58.42,-89.91,0.409,0.733,-1.51,15.99,REJECT,1208,-64.68,-89.92,0.365,0.641,-1.43,13.42,REJECT
76,MTF Connors RSI3 Dip in 1d Bull,6346,-31.17,-38.03,0.444,0.808,-1.12,23.25,REJECT,497,-69.83,-33.71,0.435,0.625,-2.33,5.52,REJECT
77,MTF RSI<25 + Volume Climax,2813,-81.96,-37.29,0.458,0.688,-0.86,10.3,REJECT,1481,-23.76,-20.0,0.477,0.855,-0.3,16.46,REJECT
78,MTF Williams %R Oversold Snap,4563,-43.18,-70.71,0.434,0.807,-1.14,16.71,REJECT,1158,-76.47,-87.23,0.358,0.57,-2.11,12.87,REJECT
79,MTF CCI Oversold Snapback,345,7.61,-28.03,0.472,1.046,0.15,1.26,PROFITABLE,105,-78.27,-103.45,0.324,0.44,-1.26,1.17,REJECT
80,MTF Distance from 4h EMA Stretch,31745,-21.13,2.94,0.503,0.912,-0.9,116.28,REJECT,9595,-19.89,-11.58,0.487,0.896,-0.58,106.61,REJECT
81,MTF BB+RSI Double Exhaustion,8246,-67.93,-11.84,0.487,0.726,-1.5,30.21,REJECT,3260,-33.2,-12.07,0.485,0.812,-0.78,36.22,REJECT
