base,med_qv,first,last,days
BTC,15883505625.6346,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
ETH,13390557409.25552,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
SOL,3624378177.477,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
XRP,1821289408.1928,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
DOGE,1280222078.65645,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
1000PEPE,878671071.2514832,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
SUI,781172816.3812,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
ADA,519058957.6686,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
BNB,459260311.055,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
FARTCOIN,439188054.49752,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
ENA,416815248.4276,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
TRUMP,373092807.051645,2025-01-18 00:00:00+00:00,2026-08-16 00:00:00+00:00,576
LINK,362496409.63563,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
WIF,335939370.29162,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
AVAX,296451119.318,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
LTC,268108479.634,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
AAVE,247665112.504,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
WLD,174537343.4389,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
PENGU,160415121.540896,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
UNI,156002814.723,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
PNUT,153016682.07642,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
BCH,150023984.51291,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
DOT,147781481.9038,2025-01-01 00:00:00+00:00,2026-08-16 00:00:00+00:00,593
