round,family,name,hold,sl,tp,tr_trades,tr_pf,tr_mean_bp,tr_t,va_trades,va_pf,va_mean_bp,va_t,status
751,F1_TrendPullback,ST30_RSI35_Hold12_SL6,12,0.06,0.12,2460,0.79,-35.3,-0.89,619,0.79,-33.4,-0.65,FAIL
752,F1_TrendPullback,ST30_RSI35_Hold12_SL7,12,0.07,0.14,2442,0.8,-35.3,-0.88,614,0.8,-32.1,-0.59,FAIL
753,F1_TrendPullback,ST30_RSI35_Hold12_SL8,12,0.08,0.16,2420,0.81,-32.3,-0.83,613,0.79,-34.8,-0.61,FAIL
754,F1_TrendPullback,ST30_RSI35_Hold18_SL6,18,0.06,0.12,2414,0.77,-48.3,-0.96,594,0.7,-60.1,-0.98,FAIL
755,F1_TrendPullback,ST30_RSI35_Hold18_SL7,18,0.07,0.14,2389,0.76,-51.9,-0.99,588,0.72,-56.0,-0.85,FAIL
756,F1_TrendPullback,ST30_RSI35_Hold18_SL8,18,0.08,0.16,2366,0.75,-55.5,-1.02,587,0.7,-61.1,-0.88,FAIL
757,F1_TrendPullback,ST30_RSI35_Hold24_SL6,24,0.06,0.12,2382,0.89,-26.4,-0.42,591,0.68,-72.0,-1.01,FAIL
758,F1_TrendPullback,ST30_RSI35_Hold24_SL7,24,0.07,0.14,2353,0.88,-28.8,-0.42,585,0.7,-68.8,-0.9,FAIL
759,F1_TrendPullback,ST30_RSI35_Hold24_SL8,24,0.08,0.16,2328,0.89,-28.2,-0.39,584,0.68,-75.7,-0.94,FAIL
760,F1_TrendPullback,ST30_RSI40_Hold12_SL6,12,0.06,0.12,6041,0.75,-43.9,-1.48,1732,0.77,-32.9,-0.96,FAIL
761,F1_TrendPullback,ST30_RSI40_Hold12_SL7,12,0.07,0.14,5945,0.75,-43.4,-1.47,1716,0.77,-33.6,-0.93,FAIL
762,F1_TrendPullback,ST30_RSI40_Hold12_SL8,12,0.08,0.16,5877,0.75,-43.1,-1.48,1709,0.75,-35.9,-0.98,FAIL
763,F1_TrendPullback,ST30_RSI40_Hold18_SL6,18,0.06,0.12,5708,0.81,-39.7,-1.09,1605,0.7,-53.2,-1.2,FAIL
764,F1_TrendPullback,ST30_RSI40_Hold18_SL7,18,0.07,0.14,5576,0.81,-40.6,-1.09,1584,0.71,-52.9,-1.14,FAIL
765,F1_TrendPullback,ST30_RSI40_Hold18_SL8,18,0.08,0.16,5496,0.81,-39.6,-1.04,1574,0.69,-56.3,-1.17,FAIL
766,F1_TrendPullback,ST30_RSI40_Hold24_SL6,24,0.06,0.12,5505,0.92,-18.7,-0.45,1551,0.69,-61.9,-1.24,FAIL
767,F1_TrendPullback,ST30_RSI40_Hold24_SL7,24,0.07,0.14,5359,0.93,-17.2,-0.39,1526,0.69,-63.2,-1.19,FAIL
768,F1_TrendPullback,ST30_RSI40_Hold24_SL8,24,0.08,0.16,5268,0.94,-12.8,-0.28,1516,0.67,-68.8,-1.23,FAIL
769,F1_TrendPullback,ST30_RSI45_Hold12_SL6,12,0.06,0.12,12087,0.73,-48.6,-2.05,3940,0.88,-16.1,-0.61,FAIL
770,F1_TrendPullback,ST30_RSI45_Hold12_SL7,12,0.07,0.14,11867,0.72,-49.4,-2.05,3910,0.88,-15.1,-0.55,FAIL
771,F1_TrendPullback,ST30_RSI45_Hold12_SL8,12,0.08,0.16,11724,0.72,-49.2,-2.01,3899,0.86,-17.8,-0.63,FAIL
772,F1_TrendPullback,ST30_RSI45_Hold18_SL6,18,0.06,0.12,10817,0.78,-45.9,-1.58,3474,0.88,-18.2,-0.53,FAIL
773,F1_TrendPullback,ST30_RSI45_Hold18_SL7,18,0.07,0.14,10537,0.77,-48.5,-1.63,3425,0.9,-15.6,-0.44,FAIL
774,F1_TrendPullback,ST30_RSI45_Hold18_SL8,18,0.08,0.16,10349,0.77,-48.7,-1.58,3406,0.88,-18.8,-0.52,FAIL
775,F1_TrendPullback,ST30_RSI45_Hold24_SL6,24,0.06,0.12,10017,0.87,-30.3,-0.94,3240,0.89,-20.8,-0.5,FAIL
776,F1_TrendPullback,ST30_RSI45_Hold24_SL7,24,0.07,0.14,9680,0.86,-31.8,-0.94,3187,0.89,-20.0,-0.46,FAIL
777,F1_TrendPullback,ST30_RSI45_Hold24_SL8,24,0.08,0.16,9457,0.87,-30.7,-0.87,3168,0.87,-24.6,-0.54,FAIL
778,F1_TrendPullback,ST30_RSI50_Hold12_SL6,12,0.06,0.12,19302,0.76,-42.9,-1.94,6989,0.92,-9.6,-0.4,FAIL
779,F1_TrendPullback,ST30_RSI50_Hold12_SL7,12,0.07,0.14,18938,0.76,-42.9,-1.88,6932,0.92,-9.7,-0.4,FAIL
780,F1_TrendPullback,ST30_RSI50_Hold12_SL8,12,0.08,0.16,18689,0.75,-44.6,-1.93,6898,0.91,-11.6,-0.47,FAIL
781,F1_TrendPullback,ST30_RSI50_Hold18_SL6,18,0.06,0.12,16467,0.78,-47.1,-1.74,5739,1.02,3.2,0.1,FAIL
782,F1_TrendPullback,ST30_RSI50_Hold18_SL7,18,0.07,0.14,16025,0.77,-48.9,-1.75,5660,1.03,4.2,0.13,FAIL
783,F1_TrendPullback,ST30_RSI50_Hold18_SL8,18,0.08,0.16,15704,0.77,-50.4,-1.78,5621,1.02,2.9,0.09,FAIL
784,F1_TrendPullback,ST30_RSI50_Hold24_SL6,24,0.06,0.12,14555,0.85,-36.2,-1.22,5154,1.05,7.7,0.2,FAIL
785,F1_TrendPullback,ST30_RSI50_Hold24_SL7,24,0.07,0.14,13966,0.85,-36.2,-1.16,5045,1.06,10.9,0.26,FAIL
786,F1_TrendPullback,ST30_RSI50_Hold24_SL8,24,0.08,0.16,13610,0.84,-39.0,-1.21,4993,1.05,9.3,0.21,FAIL
787,F1_TrendPullback,ST25_RSI35_Hold12_SL6,12,0.06,0.12,1791,0.79,-35.9,-0.92,426,0.67,-57.5,-0.92,FAIL
788,F1_TrendPullback,ST25_RSI35_Hold12_SL7,12,0.07,0.14,1783,0.8,-33.9,-0.87,423,0.66,-60.6,-0.9,FAIL
789,F1_TrendPullback,ST25_RSI35_Hold12_SL8,12,0.08,0.16,1775,0.81,-32.6,-0.84,422,0.64,-66.8,-0.96,FAIL
790,F1_TrendPullback,ST25_RSI35_Hold18_SL6,18,0.06,0.12,1770,0.77,-46.8,-0.99,419,0.65,-72.8,-1.02,FAIL
