round,idea,theta,hold,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share,event
R1,top3 cum24F short,0.0012,72.0,540,1.98,26.63,63.3,0.528,1.07,259.0,-0.34,-0.0,0.537,1.22,0.99,
R1,top3 cum24F short,0.0006,72.0,558,2.04,13.32,60.6,0.525,1.033,266.0,-10.29,-0.13,0.526,1.32,1.92,
R1,top3 cum24F short,0.0012,24.0,794,2.91,-4.62,5.04,0.501,0.982,270.0,-6.23,-0.17,0.507,3.16,2.56,
R1,top3 cum24F short,0.0009,72.0,557,2.04,10.85,59.92,0.524,1.027,266.0,-13.99,-0.18,0.526,1.62,2.36,
R1,top3 cum24F short,0.0012,48.0,616,2.26,-6.02,-12.42,0.497,0.982,262.0,-11.87,-0.19,0.5,4.15,2.73,
R1,top3 cum24F short,0.0006,24.0,815,2.99,-8.38,3.1,0.501,0.968,272.0,-9.04,-0.24,0.507,1.62,1.38,
R1,top3 cum24F short,0.0006,48.0,635,2.33,-11.36,-21.69,0.493,0.967,268.0,-18.41,-0.29,0.489,1.79,1.41,
R1,top3 cum24F short,0.0009,24.0,814,2.98,-8.61,1.42,0.5,0.967,272.0,-10.82,-0.29,0.507,1.58,1.34,
R1,top3 cum24F short,0.0009,48.0,634,2.32,-13.56,-24.62,0.492,0.96,268.0,-21.15,-0.34,0.489,1.5,1.18,
R2,bottom3 cum24F long,-0.0012,72.0,386,1.41,-4.37,-110.89,0.409,0.989,224.0,22.95,0.28,0.429,7.4,6.35,
R2,bottom3 cum24F long,-0.0009,72.0,394,1.44,-15.95,-125.8,0.401,0.961,228.0,6.18,0.08,0.421,1.99,1.7,
R2,bottom3 cum24F long,-0.0006,72.0,400,1.47,-12.0,-122.79,0.405,0.97,232.0,2.37,0.03,0.422,2.17,2.23,
R2,bottom3 cum24F long,-0.0006,48.0,502,1.84,-24.55,-77.43,0.434,0.925,252.0,-31.37,-0.64,0.476,0.84,0.96,
R2,bottom3 cum24F long,-0.0012,48.0,486,1.78,-22.97,-67.61,0.44,0.93,246.0,-32.76,-0.64,0.48,1.11,1.06,
R2,bottom3 cum24F long,-0.0009,48.0,495,1.81,-29.09,-79.02,0.434,0.912,250.0,-43.21,-0.88,0.472,0.86,0.82,
R2,bottom3 cum24F long,-0.0012,24.0,722,2.64,-27.23,-57.36,0.44,0.887,258.0,-37.12,-1.16,0.469,0.43,0.37,
R2,bottom3 cum24F long,-0.0009,24.0,735,2.69,-29.14,-62.13,0.437,0.879,259.0,-39.47,-1.25,0.459,0.4,0.34,
R2,bottom3 cum24F long,-0.0006,24.0,746,2.73,-30.36,-62.68,0.436,0.874,263.0,-40.3,-1.29,0.464,0.37,0.32,
R3,exh short + OI up,0.0009,48.0,2113,7.74,44.22,62.15,0.538,1.135,265.0,-2.77,-0.06,0.502,0.19,0.34,
R3,exh short + OI up,0.0009,24.0,2639,9.67,0.6,7.68,0.505,1.002,267.0,-11.4,-0.34,0.487,8.7,20.67,
R3,exh short + OI up,0.0012,48.0,1293,4.74,30.6,65.69,0.542,1.098,247.0,-17.9,-0.38,0.502,0.46,0.65,
R3,exh short + OI up,0.0012,24.0,1615,5.92,-11.94,9.14,0.506,0.949,251.0,-17.05,-0.51,0.466,0.68,1.15,
R4,exh short @settle+5h hold20,0.0015,,6121,22.42,8.45,8.36,0.511,1.046,272.0,-9.67,-0.45,0.456,0.37,0.9,
R4,exh short @settle+5h hold20,0.0012,,7093,25.98,6.83,5.61,0.507,1.037,272.0,-13.33,-0.65,0.449,0.39,1.08,
R4,exh short @settle+5h hold20,0.0009,,11664,42.73,-0.08,5.37,0.505,1.0,272.0,-21.87,-0.98,0.478,27.82,78.73,
R5,interval-change fade funding,,,0,,,,,,,,,,,,ch
R5,interval-change fade funding,,,0,,,,,,,,,,,,ch
R6,wide settlement candle fade,,8.0,5694,20.86,6.41,21.05,0.536,1.05,272.0,-3.35,-0.22,0.537,0.27,1.36,
R6,wide settlement candle fade,,16.0,5080,18.61,-26.61,6.18,0.507,0.865,271.0,-12.44,-0.69,0.539,0.16,0.51,
R7,funding z + premium agree,0.0012,48.0,5423,19.86,34.74,21.49,0.514,1.116,265.0,34.54,1.51,0.521,0.23,0.2,
R7,funding z + premium agree,0.0009,48.0,5514,20.2,32.66,17.91,0.511,1.109,265.0,32.94,1.46,0.521,0.23,0.21,
R7,funding z + premium agree,0.0012,24.0,8569,31.39,15.22,10.63,0.511,1.068,265.0,12.31,0.77,0.528,0.3,0.69,
R7,funding z + premium agree,0.0009,24.0,8763,32.1,13.29,8.12,0.509,1.059,265.0,11.03,0.68,0.528,0.31,0.75,
