round,idea,thr,hold,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share,vthr,hold_h,hold_m
R9,dislocation reversion,2.0,4.0,75597,276.91,-21.46,-20.44,0.397,0.63,273,-21.49,-17.17,0.143,0.03,0.02,,,
R10,dislocation continuation,2.0,4.0,75597,276.91,-18.2,-18.71,0.41,0.676,273,-18.18,-14.53,0.15,0.03,0.02,,,
R9,dislocation reversion,2.0,8.0,61623,225.73,-19.85,-20.0,0.43,0.731,273,-19.26,-9.06,0.231,0.03,0.03,,,
R10,dislocation continuation,2.0,8.0,61623,225.73,-19.82,-20.0,0.43,0.732,273,-20.41,-9.6,0.242,0.03,0.03,,,
R9,dislocation reversion,2.0,16.0,45772,167.66,-20.35,-20.0,0.451,0.792,273,-20.31,-7.29,0.293,0.04,0.04,,,
R10,dislocation continuation,2.0,16.0,45772,167.66,-19.32,-20.0,0.45,0.802,273,-19.37,-6.95,0.278,0.04,0.05,,,
R9,dislocation reversion,2.5,4.0,42111,154.25,-21.52,-20.44,0.4,0.644,273,-21.68,-12.48,0.176,0.03,0.02,,,
R10,dislocation continuation,2.5,4.0,42111,154.25,-18.09,-18.57,0.413,0.691,273,-17.94,-10.32,0.198,0.03,0.03,,,
R9,dislocation reversion,2.5,8.0,36966,135.41,-18.46,-19.47,0.433,0.756,273,-17.93,-6.48,0.271,0.05,0.05,,,
R10,dislocation continuation,2.5,8.0,36966,135.41,-21.17,-20.0,0.429,0.726,273,-21.7,-7.85,0.264,0.03,0.05,,,
R9,dislocation reversion,2.5,16.0,30278,110.91,-17.64,-17.44,0.456,0.821,273,-17.75,-4.97,0.337,0.05,0.08,,,
R10,dislocation continuation,2.5,16.0,30278,110.91,-21.99,-21.68,0.445,0.783,273,-21.89,-6.13,0.297,0.05,0.07,,,
R9,dislocation reversion,3.0,4.0,23759,87.03,-21.27,-21.52,0.399,0.662,273,-21.98,-10.11,0.231,0.03,0.04,,,
R10,dislocation continuation,3.0,4.0,23759,87.03,-18.27,-17.27,0.421,0.7,273,-17.57,-8.08,0.275,0.04,0.05,,,
R9,dislocation reversion,3.0,8.0,21874,80.12,-16.93,-19.48,0.436,0.785,273,-17.1,-4.65,0.315,0.08,0.11,,,
R10,dislocation continuation,3.0,8.0,21874,80.12,-22.62,-20.0,0.433,0.723,273,-22.47,-6.11,0.297,0.04,0.09,,,
R9,dislocation reversion,3.0,16.0,19207,70.36,-13.37,-15.42,0.46,0.866,273,-13.94,-2.94,0.392,0.06,0.18,,,
R10,dislocation continuation,3.0,16.0,19207,70.36,-26.2,-23.81,0.441,0.754,273,-25.64,-5.41,0.337,0.05,0.1,,,
R11,dislocation + taker agree fade,2.5,4.0,20511,75.13,-23.41,-20.0,0.4,0.612,273,-23.04,-13.05,0.179,0.04,0.04,,,
R11f,dislocation + taker agree follow,2.5,4.0,20511,75.13,-16.04,-18.66,0.409,0.716,273,-16.43,-9.31,0.256,0.04,0.04,,,
R11,dislocation + taker agree fade,2.5,8.0,18869,69.12,-20.92,-18.72,0.434,0.724,273,-19.85,-7.82,0.267,0.07,0.08,,,
R11f,dislocation + taker agree follow,2.5,8.0,18869,69.12,-18.55,-20.0,0.427,0.752,273,-19.64,-7.74,0.271,0.04,0.08,,,
R11,dislocation + taker agree fade,2.5,16.0,16614,60.86,-21.11,-16.39,0.459,0.789,273,-20.73,-6.34,0.315,0.04,0.05,,,
R11f,dislocation + taker agree follow,2.5,16.0,16614,60.86,-18.38,-22.32,0.441,0.815,273,-18.78,-5.75,0.297,0.05,0.07,,,
R14,dislocation + vol spike fade,2.5,8.0,6687,24.49,-17.46,-22.82,0.447,0.834,272,-27.57,-3.86,0.364,0.31,0.38,2.0,,
R14,dislocation + vol spike fade,2.5,16.0,6337,23.21,-19.05,-23.14,0.451,0.85,272,-28.52,-3.43,0.397,0.2,0.4,2.0,,
R12,XS prem daily LS,,,2730,10.0,-10.66,-3.64,0.496,0.952,273,-10.66,-1.16,0.48,0.47,0.25,,24.0,
R12,XS prem daily LS,,,2330,8.53,10.43,-2.53,0.499,1.034,273,12.37,0.89,0.505,0.67,0.35,,48.0,
R15,mid-cap dislocation fade,2.5,8.0,55911,204.8,-18.93,-20.0,0.435,0.761,273,-18.38,-7.2,0.26,0.03,0.05,,,
R15,mid-cap dislocation fade,2.5,16.0,45731,167.51,-18.1,-18.89,0.455,0.826,273,-17.72,-5.17,0.341,0.04,0.08,,,
R13,5m dislocation fade,2.5,,89248,326.92,-20.42,-20.0,0.402,0.65,273,-20.35,-15.0,0.114,0.03,0.03,,,60.0
R13,5m dislocation fade,2.5,,70060,256.63,-19.26,-18.44,0.433,0.74,273,-18.89,-11.31,0.194,0.04,0.05,,,120.0
R13,5m dislocation fade,2.5,,50294,184.23,-18.06,-18.48,0.455,0.813,273,-18.04,-6.34,0.319,0.05,0.08,,,240.0
R13,5m dislocation fade,3.0,,52657,192.88,-20.61,-20.0,0.401,0.664,273,-20.29,-11.92,0.172,0.03,0.04,,,60.0
R13,5m dislocation fade,3.0,,44609,163.4,-18.12,-18.18,0.437,0.765,273,-17.34,-8.51,0.253,0.07,0.06,,,120.0
R13,5m dislocation fade,3.0,,35238,129.08,-17.09,-18.23,0.455,0.828,273,-17.25,-4.9,0.319,0.06,0.13,,,240.0
