round,idea,hold,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share,weekday
R17_weekly,expiry-window long BTC/ETH,2.0,78,0.29,-3.85,-15.12,0.423,0.883,39,-3.85,-0.28,0.462,1.86,2.11,
R17_weeklys,expiry-window short BTC/ETH,2.0,78,0.29,-26.15,-14.88,0.372,0.41,39,-26.15,-1.9,0.385,0.7,0.34,
R17_weekly,expiry-window long BTC/ETH,4.0,78,0.29,10.44,-2.76,0.474,1.389,39,10.44,0.82,0.436,0.95,0.48,
R17_weeklys,expiry-window short BTC/ETH,4.0,78,0.29,-40.44,-27.24,0.346,0.259,39,-40.44,-3.17,0.333,0.62,0.14,
R17_weekly,expiry-window long BTC/ETH,8.0,78,0.29,11.74,-13.64,0.487,1.201,39,11.74,0.45,0.487,0.75,1.05,
R17_weeklys,expiry-window short BTC/ETH,8.0,78,0.29,-41.74,-16.36,0.423,0.513,39,-41.74,-1.6,0.436,0.57,0.31,
R18_monthly,expiry-window long BTC/ETH,2.0,18,0.07,-47.35,-33.79,0.278,0.142,9,-47.35,-1.89,0.222,0.56,0.53,
R18_monthlys,expiry-window short BTC/ETH,2.0,18,0.07,17.35,3.79,0.5,1.963,9,17.35,0.69,0.444,0.67,1.25,
R18_monthly,expiry-window long BTC/ETH,4.0,18,0.07,-25.05,-30.02,0.333,0.47,9,-25.05,-0.8,0.222,0.5,0.87,
R18_monthlys,expiry-window short BTC/ETH,4.0,18,0.07,-4.95,0.02,0.5,0.86,9,-4.95,-0.16,0.444,0.51,4.06,
R18_monthly,expiry-window long BTC/ETH,8.0,18,0.07,-19.92,-46.15,0.333,0.77,9,-19.92,-0.31,0.333,0.64,1.94,
R18_monthlys,expiry-window short BTC/ETH,8.0,18,0.07,-10.08,16.15,0.556,0.87,9,-10.08,-0.16,0.556,0.78,3.56,
R19,CME quarterly expiry long BTC,2.0,3,0.01,-56.69,-73.87,0.333,0.152,3,-56.69,-1.23,0.333,1.0,0.74,
