round,idea,thr,hold,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share
R29,toptrader pos ratio fade,1.5,24,7941,29.09,-6.85,-12.92,0.487,0.97,271,-11.2,-0.81,0.494,0.3,0.75
R29,toptrader pos ratio fade,1.5,48,4967,18.19,16.03,-0.26,0.5,1.052,271,8.52,0.4,0.487,0.23,0.47
R29,toptrader pos ratio fade,2.0,24,4717,17.28,-4.58,-16.15,0.484,0.981,271,0.0,0.0,0.48,0.96,2.07
R29,toptrader pos ratio fade,2.0,48,3258,11.93,-0.4,-24.26,0.485,0.999,271,-0.96,-0.04,0.435,13.12,24.78
R30,smart-retail divergence fade,1.5,24,8432,30.89,-24.66,-20.0,0.484,0.897,271,-21.26,-1.89,0.417,0.12,0.12
R30,smart-retail divergence fade,1.5,48,5265,19.29,-25.45,-19.26,0.489,0.922,271,-20.7,-1.15,0.476,0.18,0.19
R30,smart-retail divergence fade,2.0,24,4970,18.21,-32.52,-14.9,0.487,0.87,271,-20.69,-1.49,0.48,0.1,0.18
R30,smart-retail divergence fade,2.0,48,3534,12.95,-30.56,-8.85,0.495,0.909,271,-12.41,-0.57,0.443,0.2,0.2
R31,vol dry-up + OI up breakout,,24,585,2.14,-45.98,-31.71,0.472,0.794,141,-47.26,-1.17,0.447,0.26,0.26
R31,vol dry-up + OI up breakout,,48,551,2.02,17.4,43.4,0.523,1.055,138,19.66,0.29,0.486,0.81,1.11
R32,taker share term fade,0.1,6,18288,66.99,-19.41,-26.2,0.452,0.851,272,-20.85,-3.31,0.349,0.12,0.14
R32f,taker share term follow,0.1,6,18288,66.99,-20.59,-13.8,0.474,0.842,272,-19.15,-3.04,0.408,0.12,0.12
R32,taker share term fade,0.1,12,10220,37.44,-24.25,-34.34,0.457,0.869,272,-25.81,-2.24,0.39,0.13,0.19
R32f,taker share term follow,0.1,12,10220,37.44,-15.75,-5.66,0.494,0.912,272,-14.19,-1.23,0.478,0.21,0.28
