round,idea,age_h,hold,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share,thr
R41,new listing momentum long,2.0,12,194,0.71,9.13,-250.14,0.335,1.013,120,-29.92,-0.17,0.342,6.41,5.92,
R42,new listing fade short,2.0,12,194,0.71,-49.13,210.14,0.624,0.93,120,-10.08,-0.06,0.65,1.19,1.12,
R41,new listing momentum long,2.0,24,194,0.71,-108.59,-674.72,0.304,0.894,120,-162.11,-0.74,0.35,0.85,0.74,
R42,new listing fade short,2.0,24,194,0.71,68.59,634.72,0.655,1.074,120,122.11,0.56,0.633,1.34,1.17,
R41,new listing momentum long,2.0,48,194,0.71,-276.92,-768.88,0.325,0.785,120,-430.75,-1.79,0.358,0.32,0.32,
R42,new listing fade short,2.0,48,194,0.71,236.92,728.88,0.639,1.231,120,390.75,1.62,0.617,0.38,0.38,
R41,new listing momentum long,6.0,12,192,0.7,81.83,-170.36,0.406,1.141,120,103.09,0.63,0.408,0.77,0.71,
R42,new listing fade short,6.0,12,192,0.7,-121.83,130.36,0.557,0.82,120,-143.09,-0.88,0.55,0.52,0.48,
R41,new listing momentum long,6.0,24,192,0.7,-172.39,-505.7,0.365,0.817,120,-233.33,-1.06,0.4,0.47,0.47,
R42,new listing fade short,6.0,24,192,0.7,132.39,465.7,0.609,1.169,120,193.33,0.88,0.592,0.61,0.61,
R41,new listing momentum long,6.0,48,192,0.7,-288.36,-697.4,0.365,0.758,120,-428.36,-1.95,0.392,0.28,0.26,
R42,new listing fade short,6.0,48,192,0.7,248.36,657.4,0.609,1.271,120,388.36,1.77,0.592,0.33,0.3,
R41,new listing momentum long,12.0,12,187,0.68,54.92,-258.46,0.39,1.092,116,44.95,0.23,0.431,1.74,1.74,
R42,new listing fade short,12.0,12,187,0.68,-94.92,218.46,0.572,0.858,116,-84.95,-0.43,0.552,1.01,1.01,
R41,new listing momentum long,12.0,24,187,0.68,-94.84,-577.24,0.342,0.893,116,-206.01,-1.08,0.353,1.25,1.33,
R42,new listing fade short,12.0,24,187,0.68,54.84,537.24,0.631,1.068,116,166.01,0.87,0.629,2.16,2.31,
R41,new listing momentum long,12.0,48,187,0.68,-179.72,-809.48,0.348,0.835,116,-324.35,-1.54,0.328,0.61,0.56,
R42,new listing fade short,12.0,48,187,0.68,139.72,769.48,0.636,1.151,116,284.35,1.35,0.655,0.78,0.72,
R43,age 30-90d momentum,,24,8061,29.53,-6.95,-34.29,0.473,0.974,229,-13.67,-0.83,0.45,1.42,0.53,
R43,age 30-90d momentum,,48,4040,14.8,49.71,-32.06,0.479,1.137,229,46.17,1.36,0.498,0.7,0.39,
R44,dormant awakening follow,,24,14494,53.09,-29.56,-42.03,0.458,0.874,243,-29.51,-1.3,0.395,0.07,0.35,10.0
R44,dormant awakening follow,,48,7286,26.69,-5.05,-22.45,0.483,0.983,237,-28.92,-0.92,0.435,0.93,2.01,10.0
R44,dormant awakening follow,,24,11622,42.57,-20.23,-42.02,0.458,0.912,243,-18.73,-0.95,0.387,0.07,0.48,20.0
R44,dormant awakening follow,,48,6206,22.73,-38.1,-47.81,0.466,0.882,243,-48.75,-1.69,0.395,0.08,0.25,20.0
R45,pre-delist short,,24,13,0.05,6.24,-20.0,0.462,1.035,13,6.24,0.05,0.462,1.0,11.5,
R45,pre-delist short,,48,6,0.02,78.6,110.7,0.5,1.357,6,78.6,0.3,0.5,1.0,2.19,
