round,idea,w,hold,uni,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share,events,anchor
R47,funding z + premium agree var,72.0,48.0,U60,5156,18.89,40.89,34.83,0.523,1.138,270.0,49.98,1.94,0.496,0.13,0.17,,
R47,funding z + premium agree var,72.0,48.0,U31-90,7658,28.05,53.14,40.07,0.527,1.17,270.0,62.04,2.37,0.511,0.07,0.16,,
R47,funding z + premium agree var,72.0,72.0,U60,3874,14.19,80.01,67.37,0.533,1.231,270.0,72.66,2.29,0.552,0.09,0.15,,
R47,funding z + premium agree var,72.0,72.0,U31-90,5761,21.1,84.81,79.0,0.538,1.229,270.0,80.93,2.42,0.556,0.06,0.15,,
R47,funding z + premium agree var,72.0,96.0,U60,3110,11.39,118.45,97.33,0.537,1.303,270.0,97.07,2.32,0.526,0.15,0.14,,
R47,funding z + premium agree var,72.0,96.0,U31-90,4635,16.98,131.95,127.44,0.548,1.32,270.0,119.62,3.09,0.544,0.09,0.1,,
R47,funding z + premium agree var,168.0,48.0,U60,5428,19.88,33.92,20.73,0.514,1.114,266.0,34.03,1.52,0.523,0.24,0.2,,
R47,funding z + premium agree var,168.0,48.0,U31-90,8015,29.36,35.81,25.05,0.516,1.112,266.0,41.5,1.79,0.515,0.15,0.22,,
R47,funding z + premium agree var,168.0,72.0,U60,4026,14.75,70.17,41.09,0.521,1.205,266.0,62.11,2.12,0.553,0.14,0.17,,
R47,funding z + premium agree var,168.0,72.0,U31-90,5964,21.85,73.28,57.0,0.53,1.201,266.0,66.83,2.25,0.549,0.09,0.17,,
R47,funding z + premium agree var,168.0,96.0,U60,3192,11.69,74.83,83.33,0.536,1.184,266.0,63.43,1.76,0.545,0.17,0.2,,
R47,funding z + premium agree var,168.0,96.0,U31-90,4733,17.34,81.72,98.69,0.539,1.189,266.0,72.05,2.06,0.541,0.11,0.18,,
R48,interval-change fade funding,,,,0,,,,,,,,,,,,3.0,
R49,hourly skew XS daily LS,,24.0,,2650,9.71,-34.68,-6.69,0.491,0.849,265.0,-34.68,-3.31,0.426,0.17,0.08,,
R49,hourly skew XS daily LS,,48.0,,1604,5.88,-48.87,-17.19,0.486,0.85,265.0,-54.15,-2.48,0.475,0.28,0.17,,
R50,Tuesday anchor check,,24.0,,2333,8.55,128.94,82.06,0.578,1.902,39.0,129.24,1.96,0.641,0.06,0.26,,hour0_Tue
R50,Tuesday anchor check,,24.0,,2333,8.55,128.94,82.06,0.578,1.902,39.0,129.24,1.96,0.641,0.06,0.26,,avg24h_Tue
R50,Tuesday anchor check,,24.0,,2333,8.55,-112.4,-138.33,0.39,0.63,39.0,-112.19,-1.27,0.41,0.05,0.4,,hour0_Wed
R50,Tuesday anchor check,,24.0,,2335,8.55,37.14,45.62,0.542,1.185,39.0,38.05,0.53,0.564,0.12,0.71,,hour0_Thu
R50,Tuesday anchor check,,24.0,,2336,8.56,9.66,-17.49,0.482,1.045,39.0,9.26,0.12,0.513,0.18,3.17,,hour0_Mon
