round,idea,theta,phase,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share,hold,resid_mean_bp,raw_mean_bp,mkt_mean_bp,resid_pf,sl,tp
R51,R47 theta/phase grid,0.0006,1.0,4793,17.56,87.09,90.57,0.539,1.203,266.0,76.27,2.14,0.53,0.07,0.17,,,,,,,
R51,R47 theta/phase grid,0.0006,5.0,4850,17.77,98.65,88.78,0.543,1.243,266.0,94.42,2.54,0.553,0.1,0.11,,,,,,,
R51,R47 theta/phase grid,0.0012,1.0,4561,16.71,108.48,105.2,0.541,1.259,266.0,93.79,2.51,0.541,0.11,0.15,,,,,,,
R51,R47 theta/phase grid,0.0012,5.0,4624,16.94,102.82,97.14,0.549,1.254,266.0,107.16,2.69,0.564,0.09,0.11,,,,,,,
R51,R47 theta/phase grid,0.0018,1.0,4288,15.71,107.93,98.33,0.538,1.254,266.0,82.62,2.07,0.519,0.13,0.16,,,,,,,
R51,R47 theta/phase grid,0.0018,5.0,4345,15.92,114.35,97.03,0.548,1.286,266.0,113.68,2.88,0.53,0.08,0.13,,,,,,,
R52,R47 tail 61-150,,,4561,16.71,108.48,105.2,0.541,1.259,266.0,93.79,2.51,0.541,0.11,0.15,96.0,,,,,,
R53,ablation funding only,,,5699,20.88,80.53,63.84,0.533,1.201,262.0,68.65,1.88,0.515,0.07,0.32,96.0,,,,,,
R54,ablation prem only,,,2378,8.71,-17.79,-0.98,0.5,0.963,260.0,11.23,0.24,0.519,0.44,1.51,96.0,,,,,,
R55,R47 beta-1 hedge residual,,,42268,,,,,,,,,,,,96.0,72.63,44.1,-28.53,1.181,,
R56,R47 barriers,,,8361,30.63,37.59,-520.0,0.349,1.116,266.0,34.89,1.59,0.44,0.07,0.24,,,,,,0.05,0.15
R56,R47 barriers,,,5955,21.81,67.53,-269.39,0.436,1.17,266.0,55.83,1.67,0.489,0.12,0.21,,,,,,0.08,0.0
R56,R47 barriers,,,5067,18.56,95.26,159.71,0.559,1.228,266.0,83.67,2.46,0.583,0.05,0.19,,,,,,0.0,0.15
