round,idea,stage,hold,n,per_day,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,coin_share,day_share,weekday,age,listings,events
R27g,Tuesday long universe,2023-01..2024-05,24.0,2899,5.61,58.34,-22.17,0.478,1.302,74,52.21,0.98,0.514,0.07,0.3,,,,
R27g,Tuesday long universe,2023-01..2024-05,48.0,2899,5.61,50.74,-36.12,0.475,1.202,74,32.52,0.52,0.5,0.1,0.47,,,,
R27g,Tuesday long universe,2024-06..2024-12,24.0,1261,5.89,45.96,-95.26,0.423,1.191,30,40.91,0.46,0.4,0.68,0.95,,,,
R27g,Tuesday long universe,2024-06..2024-12,48.0,1261,5.89,-38.64,-109.69,0.425,0.903,30,-40.09,-0.31,0.433,0.51,1.76,,,,
R27g,weekday baseline S1,,,2886,5.58,40.24,3.35,0.502,1.211,74,22.37,0.48,0.568,0.11,0.57,0.0,,,
R27g,weekday baseline S1,,,2892,5.59,-47.46,-52.66,0.439,0.775,74,-19.35,-0.5,0.5,0.07,0.38,1.0,,,
R27g,weekday baseline S1,,,2899,5.61,58.34,-22.17,0.478,1.302,74,52.21,0.98,0.514,0.07,0.3,2.0,,,
R27g,weekday baseline S1,,,2904,5.62,-27.41,-55.83,0.425,0.855,74,-39.21,-1.0,0.392,0.13,0.61,3.0,,,
R27g,weekday baseline S1,,,2911,5.63,31.97,14.36,0.516,1.168,74,53.83,1.05,0.595,0.13,1.04,4.0,,,
R27g,weekday baseline S1,,,2856,5.52,2.6,-12.7,0.478,1.016,73,-6.84,-0.17,0.507,1.77,9.92,5.0,,,
R27g,weekday baseline S1,,,2858,5.53,45.04,-23.57,0.466,1.336,73,46.47,1.23,0.466,0.08,0.42,6.0,,,
R42g,listing fade short,2023-01..2024-05,48.0,133,0.26,174.6,381.4,0.609,1.299,110,234.68,1.36,0.627,0.36,0.36,,6.0,133.0,
R42g,listing fade short,2023-01..2024-05,48.0,133,0.26,136.68,404.66,0.632,1.205,110,156.07,0.75,0.627,0.6,0.6,,2.0,133.0,
R42g,listing fade short,2024-06..2024-12,48.0,96,0.45,-356.09,732.04,0.646,0.699,61,-175.38,-0.5,0.656,0.87,0.93,,6.0,96.0,
R42g,listing fade short,2024-06..2024-12,48.0,96,0.45,-389.27,778.56,0.635,0.692,60,-157.14,-0.44,0.65,0.77,0.81,,2.0,96.0,
R21g,FOMC long BTC/ETH,,4.0,32,0.04,-50.41,-26.19,0.375,0.588,16,-50.41,-0.83,0.438,0.56,0.58,,,,32.0
R21g,FOMC long BTC/ETH,,8.0,32,0.04,-53.27,-94.42,0.469,0.657,16,-53.27,-0.71,0.438,0.51,0.63,,,,32.0
